review_priority,recommended_action,standard_id,standard_name_en,standard_name_zh,standard_family_en,standard_family_zh,company_id,world500_rank,company_name_en,company_name_zh,source_files,pages,sample_review_status,sample_confidence,sample_snippet_en,sample_snippet_zh,language_policy
P2_verify_non_ghg_source_quote_scope,"Keep Scope wording only as a source quotation. In UI labels and graph terminology for this non-GHG standard, use direct/indirect emissions or disclosure/assurance wording.",sbti,SBTi,SBTi,Climate target governance system,气候目标治理体系,r001_walmart,1,WALMART,沃尔玛,FY2025-Walmart-ESG-Report.pdf,30,seed_batch_01,medium,"issions across Walmart’s global operations by 2040, reducing absolute Scope 1 & 2 GHG emissions 35% by 2025 and 65% by 2030 from our 2015 base year (interim targets approved as science-based and classified as 1.5°C-aligned by Science Based","issions across Walmart’s global operations by 2040, reducing absolute Scope 1 & 2 GHG emissions 35% by 2025 and 65% by 2030 from our 2015 base year (interim ...",Non-GHG standard: use direct/indirect emissions wording in UI; preserve Scope wording only inside source quotations that require review.
P2_verify_non_ghg_source_quote_scope,"Keep Scope wording only as a source quotation. In UI labels and graph terminology for this non-GHG standard, use direct/indirect emissions or disclosure/assurance wording.",iso_14064_3,ISO 14064-3,ISO 14064-3,ISO assurance system,ISO鉴证体系,r001_walmart,1,WALMART,沃尔玛,FY2025-Walmart-ESG-Report.pdf,7,seed_batch_01,medium,rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard,rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standa...,Non-GHG standard: use direct/indirect emissions wording in UI; preserve Scope wording only inside source quotations that require review.
P2_verify_non_ghg_source_quote_scope,"Keep Scope wording only as a source quotation. In UI labels and graph terminology for this non-GHG standard, use direct/indirect emissions or disclosure/assurance wording.",iso_14040_14044,ISO 14040/14044,ISO 14040/14044,ISO life-cycle assessment system,ISO生命周期评价体系,r011_volkswagen,11,VOLKSWAGEN,大众公司,2023_Volkswagen_Group_Sustainability_Report.pdf,61,seed_batch_01,medium,"cycling emissions, have been verified externally and inde­ pendently in accordance with the ISO 14040 and ISO 14044 standards. Scope 3 also includes emissions from additional Group entities and regions in some categories that are not direct","cycling emissions, have been verified externally and inde­ pendently in accordance with the ISO 14040 and ISO 14044 standards. Scope 3 also includes emission...",Non-GHG standard: use direct/indirect emissions wording in UI; preserve Scope wording only inside source quotations that require review.
P2_verify_non_ghg_source_quote_scope,"Keep Scope wording only as a source quotation. In UI labels and graph terminology for this non-GHG standard, use direct/indirect emissions or disclosure/assurance wording.",iso_14040_14044,ISO 14040/14044,ISO 14040/14044,ISO life-cycle assessment system,ISO生命周期评价体系,r017_alphabet公司,17,Alphabet,Alphabet,google-2025-environmental-report.pdf,99,seed_batch_13,medium,"d offices, and additional capital goods purchased for Alphabet’s operations. We use a combination of the average-data, and spend-based methods, as defined by the Scope 3 Technical Guidance, as well as LCAs that are in accordance with ISO 14","d offices, and additional capital goods purchased for Alphabet’s operations. We use a combination of the average-data, and spend-based methods, as defined by...",Non-GHG standard: use direct/indirect emissions wording in UI; preserve Scope wording only inside source quotations that require review.
P2_verify_non_ghg_source_quote_scope,"Keep Scope wording only as a source quotation. In UI labels and graph terminology for this non-GHG standard, use direct/indirect emissions or disclosure/assurance wording.",iso_14067,ISO 14067,ISO 14067,ISO product carbon standard,ISO产品碳足迹标准,r017_alphabet公司,17,Alphabet,Alphabet,google-2025-environmental-report.pdf,99,seed_batch_13,medium,"d offices, and additional capital goods purchased for Alphabet’s operations. We use a combination of the average-data, and spend-based methods, as defined by the Scope 3 Technical Guidance, as well as LCAs that are in accordance with ISO 14","d offices, and additional capital goods purchased for Alphabet’s operations. We use a combination of the average-data, and spend-based methods, as defined by...",Non-GHG standard: use direct/indirect emissions wording in UI; preserve Scope wording only inside source quotations that require review.
P2_verify_non_ghg_source_quote_scope,"Keep Scope wording only as a source quotation. In UI labels and graph terminology for this non-GHG standard, use direct/indirect emissions or disclosure/assurance wording.",gri,GRI,GRI,ESG disclosure framework,ESG披露框架,r031_samsungelectronics,31,SAMSUNG ELECTRONICS,三星电子,SAMSUNG ELECTRONICS_Sustainability_report_2024_en.pdf,2,seed_batch_01,medium,"onmental Performance Available Water Resources by Region Performance by Division Facts & Figures 56 57 62 65 66 Independent Assurance Report Verification Statement on Scope 1, 2 Greenhouse Gas Emission Verification Statement on Scope 3 Gree",onmental Performance Available Water Resources by Region Performance by Division Facts & Figures 56 57 62 65 66 Independent Assurance Report Verification Sta...,Non-GHG standard: use direct/indirect emissions wording in UI; preserve Scope wording only inside source quotations that require review.
P2_verify_non_ghg_source_quote_scope,"Keep Scope wording only as a source quotation. In UI labels and graph terminology for this non-GHG standard, use direct/indirect emissions or disclosure/assurance wording.",sasb,SASB,SASB,Industry disclosure framework,行业披露框架,r031_samsungelectronics,31,SAMSUNG ELECTRONICS,三星电子,SAMSUNG ELECTRONICS_Sustainability_report_2024_en.pdf,2,seed_batch_01,medium,"onmental Performance Available Water Resources by Region Performance by Division Facts & Figures 56 57 62 65 66 Independent Assurance Report Verification Statement on Scope 1, 2 Greenhouse Gas Emission Verification Statement on Scope 3 Gree",onmental Performance Available Water Resources by Region Performance by Division Facts & Figures 56 57 62 65 66 Independent Assurance Report Verification Sta...,Non-GHG standard: use direct/indirect emissions wording in UI; preserve Scope wording only inside source quotations that require review.
P2_verify_non_ghg_source_quote_scope,"Keep Scope wording only as a source quotation. In UI labels and graph terminology for this non-GHG standard, use direct/indirect emissions or disclosure/assurance wording.",tcfd,TCFD,TCFD,Climate disclosure framework,气候披露框架,r031_samsungelectronics,31,SAMSUNG ELECTRONICS,三星电子,SAMSUNG ELECTRONICS_Sustainability_report_2024_en.pdf,2,seed_batch_01,medium,"onmental Performance Available Water Resources by Region Performance by Division Facts & Figures 56 57 62 65 66 Independent Assurance Report Verification Statement on Scope 1, 2 Greenhouse Gas Emission Verification Statement on Scope 3 Gree",onmental Performance Available Water Resources by Region Performance by Division Facts & Figures 56 57 62 65 66 Independent Assurance Report Verification Sta...,Non-GHG standard: use direct/indirect emissions wording in UI; preserve Scope wording only inside source quotations that require review.
P2_verify_non_ghg_source_quote_scope,"Keep Scope wording only as a source quotation. In UI labels and graph terminology for this non-GHG standard, use direct/indirect emissions or disclosure/assurance wording.",iso_14064_3,ISO 14064-3,ISO 14064-3,ISO assurance system,ISO鉴证体系,r032_honhaiprecisionindustry,32,HON HAI PRECISION INDUSTRY,鸿海精密工业股份有限公司,鸿海精密工业股份有限公司2024 - 中文完整版.pdf,209,seed_batch_01,medium,"169.66 2,272,277 .12 20,265,302.49 和范畴一 0.00006 0.04972 0.04978 0s — (nd Ht) 0.00264 0.32861 0.33125 i= 资诚PWC 资诚PWC 资诚PWC 诚PWC 资诚PWC 资诚PWC 必维认证(北京)有 限公司 SAE 3410确信淮有 SAE 3410确信淮有 SAE 3410确信淮有 SAE 3410确信淮有 SAE 3410确信淮有 SAE 3410确信淮有 温室气体核算体系-","169.66 2,272,277 .12 20,265,302.49 和范畴一 0.00006 0.04972 0.04978 0s — (nd Ht) 0.00264 0.32861 0.33125 i= 资诚PWC 资诚PWC 资诚PWC 诚PWC 资诚PWC 资诚PWC 必维认证(北京)有 限公司 SAE ...",Non-GHG standard: use direct/indirect emissions wording in UI; preserve Scope wording only inside source quotations that require review.
P2_verify_non_ghg_source_quote_scope,"Keep Scope wording only as a source quotation. In UI labels and graph terminology for this non-GHG standard, use direct/indirect emissions or disclosure/assurance wording.",sbti,SBTi,SBTi,Climate target governance system,气候目标治理体系,r033_cignagroup,33,CIGNA GROUP,信诺集团,2024-corporate-impact-report-CIGNA GROUP.pdf,49,seed_batch_01,medium,"ing, ahead of schedule, our goal of reducing Scope 1 and 2 emissions 50%. We largely achieved our goal through renewable electricity procurement. Next, we’ll refresh our Scope 1 and 2 emissions-reduction goal in line with the Science Based","ing, ahead of schedule, our goal of reducing Scope 1 and 2 emissions 50%. We largely achieved our goal through renewable electricity procurement. Next, we’ll...",Non-GHG standard: use direct/indirect emissions wording in UI; preserve Scope wording only inside source quotations that require review.
