company_id,world500_rank,company_name_en,company_name_zh,industry_section_code,industry_section_zh,enterprise_use_tier_code,readiness_status,readiness_status_zh,readiness_score,readiness_score_max,missing_requirement_count,missing_requirement_keys,missing_requirement_zh,direct_scope_count,direct_scope_set,scope_candidate_count,scope3_candidate_count,scope3_category_count,scope3_category_codes,standards_count,method_rows_count,evidence_ledger_count,evidence_ledger_count_raw,traceable_evidence_row_count,accepted_traceable_evidence_count,formal_traceable_evidence_count,candidate_traceable_evidence_count,missing_source_file_row_count,missing_evidence_page_row_count,missing_snippet_row_count,source_attribution_mismatch_count,source_traceability_status,source_traceability_status_zh,matched_source_file,recommended_source_file,page_count,report_match_status,review_queue_issue_type,has_matched_report,has_standard_evidence,has_method_evidence,has_data_source_or_quality,has_industry_mapping,has_source_traceability,has_direct_scope_1_2_3,has_scope2_dual_method,has_scope3_15_category_layer,has_emission_factor_application,has_gwp_version_fact,has_energy_consumption_fact,has_economic_instrument_fact,has_target_progress_chain
r001_walmart,1,WALMART,沃尔玛,F,批发和零售业,A,candidate_or_partial,候选或部分满足,8,14,6,has_data_source_or_quality|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_energy_consumption_fact|has_target_progress_chain,有数据来源或数据质量分类；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有能耗事实；目标-基准-进度链完整,3,Scope 1|Scope 2|Scope 3,0,0,4,1|2|11|12,6,18,27,27,27,27,27,0,0,0,0,0,complete,完整溯源,FY2025-Walmart-ESG-Report.pdf,,113,matched_auto_high,,True,True,True,False,True,True,True,False,False,False,True,False,True,False
r002_amazoncom,2,AMAZON.COM,亚马逊,F,批发和零售业,A,candidate_or_partial,候选或部分满足,7,14,7,has_data_source_or_quality|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_target_progress_chain,有数据来源或数据质量分类；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有 GWP 版本事实；有能耗事实；目标-基准-进度链完整,3,Scope 1|Scope 2|Scope 3,0,0,1,1,4,8,15,15,15,15,15,0,0,0,0,0,complete,完整溯源,2024-amazon-sustainability-report.pdf,,57,matched_auto_medium,match_spotcheck,True,True,True,False,True,True,True,False,False,False,False,False,True,False
r003_stategrid,3,STATE GRID,国家电网有限公司,D,电力、热力、燃气及水生产和供应业,C,source_gap,源文件缺口,1,14,13,has_matched_report|has_standard_evidence|has_method_evidence|has_data_source_or_quality|has_source_traceability|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_economic_instrument_fact|has_target_progress_chain,已匹配母公司报告；有标准/准则证据；有核算方法/活动/质量证据；有数据来源或数据质量分类；有原文页码/文件追溯；Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有 GWP 版本事实；有能耗事实；有经济/成本侧工具事实；目标-基准-进度链完整,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_parent_report,缺母公司报告,,,0,unmatched,report_unmatched,False,False,False,False,True,False,False,False,False,False,False,False,False,False
r004_saudiaramco,4,SAUDI ARAMCO,沙特阿美公司,B,采矿业,C,evidence_graph_only,仅事实图谱/证据层,7,14,7,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有 GWP 版本事实；有能耗事实；目标-基准-进度链完整,0,,0,0,0,,2,16,18,18,18,18,18,0,0,0,0,0,complete,完整溯源,2024-saudi-aramco-sustainability-report-full-en.pdf,,71,matched_auto_high,,True,True,True,True,True,True,False,False,False,False,False,False,True,False
r005_sinopecgroup,5,SINOPEC GROUP,中国石油化工集团有限公司,C,制造业,C,evidence_graph_only,仅事实图谱/证据层,8,14,6,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有 GWP 版本事实；目标-基准-进度链完整,0,,0,0,0,,1,3,4,4,4,4,4,0,0,0,0,0,complete,完整溯源,Sinopec_Group_Annual_Report_2024_en.pdf,,37,matched_manual,evidence_gap,True,True,True,True,True,True,False,False,False,False,False,True,True,False
r006_chinanationalpetroleum,6,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,采矿业,C,evidence_graph_only,仅事实图谱/证据层,5,14,9,has_method_evidence|has_data_source_or_quality|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_target_progress_chain,有核算方法/活动/质量证据；有数据来源或数据质量分类；Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有 GWP 版本事实；有能耗事实；目标-基准-进度链完整,0,,0,0,0,,1,0,1,1,1,1,1,0,0,0,0,0,complete,完整溯源,CNPC_2024_Social_Responsibility_Report.pdf,,96,matched_manual,evidence_gap,True,True,False,False,True,True,False,False,False,False,False,False,True,False
r007_apple,7,APPLE,苹果公司,C,制造业,A,candidate_or_partial,候选或部分满足,10,14,4,has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,3,Scope 1|Scope 2|Scope 3,0,0,6,1|3|5|6|7|11,3,46,55,55,55,55,55,0,0,0,0,0,complete,完整溯源,Apple_Environmental_Progress_Report_2025.pdf,,126,matched_auto_high,,True,True,True,True,True,True,True,False,False,False,True,True,True,False
r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,联合健康集团,J,金融业,A,candidate_or_partial,候选或部分满足,9,14,5,has_data_source_or_quality|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,有数据来源或数据质量分类；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,3,Scope 1|Scope 2|Scope 3,0,2,2,1|4,3,26,35,35,35,35,33,2,0,0,0,0,complete,完整溯源,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,,87,matched_auto_high,,True,True,True,False,True,True,True,False,False,False,True,True,True,False
r009_berkshirehathaway,9,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,金融业,C,source_gap,源文件缺口,1,14,13,has_matched_report|has_standard_evidence|has_method_evidence|has_data_source_or_quality|has_source_traceability|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_economic_instrument_fact|has_target_progress_chain,已匹配母公司报告；有标准/准则证据；有核算方法/活动/质量证据；有数据来源或数据质量分类；有原文页码/文件追溯；Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有 GWP 版本事实；有能耗事实；有经济/成本侧工具事实；目标-基准-进度链完整,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_parent_report,缺母公司报告,,,0,unmatched,report_unmatched,False,False,False,False,True,False,False,False,False,False,False,False,False,False
r010_cvshealth公司,10,CVS Health,CVS Health,F,批发和零售业,C,evidence_graph_only,仅事实图谱/证据层,8,14,6,has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有 GWP 版本事实；目标-基准-进度链完整,0,,0,0,5,1|2|4|6|9,6,32,38,38,38,38,38,0,0,0,0,0,complete,完整溯源,CVS Health-2024-Impact-Report-Appendix.pdf,,98,matched_auto_high,,True,True,True,True,True,True,False,False,False,False,False,True,True,False
r011_volkswagen,11,VOLKSWAGEN,大众公司,C,制造业,A,candidate_or_partial,候选或部分满足,9,14,5,has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_target_progress_chain,Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有 GWP 版本事实；目标-基准-进度链完整,3,Scope 1|Scope 2|Scope 3,0,1,7,1|4|7|9|10|11|14,6,34,44,44,44,44,43,1,0,0,0,0,complete,完整溯源,2023_Volkswagen_Group_Sustainability_Report.pdf,,136,matched_auto_high,,True,True,True,True,True,True,True,False,False,False,False,True,True,False
r012_exxonmobil,12,EXXON MOBIL,埃克森美孚,B,采矿业,C,evidence_graph_only,仅事实图谱/证据层,5,14,9,has_method_evidence|has_data_source_or_quality|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_target_progress_chain,有核算方法/活动/质量证据；有数据来源或数据质量分类；Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有 GWP 版本事实；有能耗事实；目标-基准-进度链完整,0,,0,0,0,,3,0,3,3,3,3,3,0,0,0,0,0,complete,完整溯源,EXXON MOBIL-sustainability-report-2025.pdf,,72,matched_auto_high,evidence_gap,True,True,False,False,True,True,False,False,False,False,False,False,True,False
r013_shell,13,SHELL,壳牌公司,B,采矿业,A,candidate_or_partial,候选或部分满足,10,14,4,has_direct_scope_1_2_3|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,2,Scope 1|Scope 2,1,8,4,1|3|9|11,5,57,75,75,75,75,66,9,0,0,0,0,complete,完整溯源,shell-annual-report-2024.pdf,,481,matched_auto_high,,True,True,True,True,True,True,False,True,False,False,True,True,True,False
