ledger_id,record_type,decision_bucket,decision_status,evidence_gate,auto_promote_allowed,available_rank,complete_rank,company_id,company_name_en,company_name_zh,world500_rank,industry_section_code,total_mtco2e,scope1_mtco2e,scope2_mtco2e,scope2_method_en,scope3_mtco2e,scope3_boundary_class_en,scope3_boundary_basis_en,selected_evidence_missing_elements,inventory_years,missing_scopes,candidate_scope,candidate_value_mtco2e,candidate_inventory_year,candidate_scope2_method,candidate_evidence_page,candidate_source_file,candidate_repair_priority,p0_review_bucket,p0_all_basic_signals_present,p0_scale_risk_note,safe_use_en,safe_use_zh
EMISSIONS-RANKING-0001,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,1,,r183_airbus,AIRBUS,空中客车公司,183,C,781.765,468.486,313.279,Market-Based,,,,,2023,Scope 3,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0002,ranking_row_decision,complete_comparable_accepted,accepted_complete_scope123_strong_evidence_total,scope1_selected_scope2_scope3_and_finance_boundary_all_have_strong_evidence,not_applicable,2,,r001_walmart,WALMART,沃尔玛,1,F,652.21,9.03,6.61,Market-Based,636.57,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,,,,,,,,,,,,"May enter the complete comparable total-emissions ranking and ranking graph, including explicit finance Scope 3 boundary treatment where applicable.",可进入完整可比企业总排放排行和排行图。
EMISSIONS-RANKING-0003,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,3,,r264_riotintogroup,RIO TINTO GROUP,力拓集团,264,B,574.6,,,,574.6,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,Scope 1 | Scope 2,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0004,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,4,,r268_bhpgroup,BHP GROUP,必和必拓集团,268,B,377.6,,,,377.6,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,Scope 1 | Scope 2,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0005,ranking_row_decision,complete_comparable_accepted,accepted_complete_scope123_strong_evidence_total,scope1_selected_scope2_scope3_and_finance_boundary_all_have_strong_evidence,not_applicable,5,,r091_equinor公司,Equinor,Equinor,91,D,287.952225,8.331465,1.492572,Market-Based,278.128188,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,,,,,,,,,,,,"May enter the complete comparable total-emissions ranking and ranking graph, including explicit finance Scope 3 boundary treatment where applicable.",可进入完整可比企业总排放排行和排行图。
EMISSIONS-RANKING-0006,ranking_row_decision,complete_comparable_accepted,accepted_complete_scope123_strong_evidence_total,scope1_selected_scope2_scope3_and_finance_boundary_all_have_strong_evidence,not_applicable,6,,r048_homedepot,HOME DEPOT,家得宝,48,F,194.2958,0.628,0.7338,Market-Based,192.934,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2023,,,,,,,,,,,,"May enter the complete comparable total-emissions ranking and ranking graph, including explicit finance Scope 3 boundary treatment where applicable.",可进入完整可比企业总排放排行和排行图。
EMISSIONS-RANKING-0007,ranking_row_decision,complete_comparable_accepted,accepted_complete_scope123_strong_evidence_total,scope1_selected_scope2_scope3_and_finance_boundary_all_have_strong_evidence,not_applicable,7,,r480_ecopetrol,ECOPETROL,哥伦比亚国家石油公司,480,B,163.794363,11.817212999999999,0.859892,Market-Based,151.117258,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,,,,,,,,,,,,"May enter the complete comparable total-emissions ranking and ranking graph, including explicit finance Scope 3 boundary treatment where applicable.",可进入完整可比企业总排放排行和排行图。
EMISSIONS-RANKING-0008,ranking_row_decision,partial_review_excluded,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,missing_scope_or_scope2_method_keeps_total_partial,false,8,,r230_bungeglobal,BUNGE GLOBAL,邦吉公司,230,C,138.345291,136.679303,1.665988,Unspecified,,,,Scope 2 scope2_method,2024,Scope 2 method | Scope 3 | Evidence Scope 2 scope2_method,,,,,,,,,,,"Review only. Keep this total out of the complete comparable ranking until Scope 1, selected Scope 2 value/method, Scope 3, and finance Scope 3 boundary where applicable all pass the strong-evidence gate.",仅供复核。Scope 1、选定 Scope 2 数值/方法和 Scope 3 全部通过强证据门禁前，不得进入完整可比排行。
EMISSIONS-RANKING-0009,ranking_row_decision,complete_comparable_accepted,accepted_complete_scope123_strong_evidence_total,scope1_selected_scope2_scope3_and_finance_boundary_all_have_strong_evidence,not_applicable,9,,r315_unicreditgroup,UNICREDIT GROUP,联合信贷集团,315,J,97.51461,0.024412,0.016702,Market-Based,97.473496,finance_operational_or_value_chain_scope3,Finance-sector company with Scope 3 evidence that appears operational or value-chain rather than PCAF financed-emissions evidence.,,2024,,,,,,,,,,,,"May enter the complete comparable total-emissions ranking and ranking graph, including explicit finance Scope 3 boundary treatment where applicable.",可进入完整可比企业总排放排行和排行图。
EMISSIONS-RANKING-0010,ranking_row_decision,complete_comparable_accepted,accepted_complete_scope123_strong_evidence_total,scope1_selected_scope2_scope3_and_finance_boundary_all_have_strong_evidence,not_applicable,10,,r002_amazoncom,AMAZON.COM,亚马逊,2,F,68.25,15.13,2.8,Market-Based,50.32,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,,,,,,,,,,,,"May enter the complete comparable total-emissions ranking and ranking graph, including explicit finance Scope 3 boundary treatment where applicable.",可进入完整可比企业总排放排行和排行图。
