decision_id,source_queue,decision_bucket,decision_status,company_id,company_name_en,world500_rank,series_id,series_name_en,review_priority,match_status,evidence_gate,pages,source_files,decision_reason_en,next_action_en
GHG-SERIES-ACCEPTED-0001,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r001_walmart,WALMART,1,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,7,FY2025-Walmart-ESG-Report.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0002,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r001_walmart,WALMART,1,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,7 | 34,FY2025-Walmart-ESG-Report.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0003,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r008_unitedhealthgroup,UNITEDHEALTH GROUP,8,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,33 | 80,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0004,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r008_unitedhealthgroup,UNITEDHEALTH GROUP,8,ghg_financial_industry_standard,Global GHG Accounting and Reporting Standard for the Financial Industry,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,33 | 35 | 82,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0005,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r010_cvshealth公司,CVS Health,10,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,36 | 90,CVS Health-2024-Impact-Report-Appendix.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0006,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r010_cvshealth公司,CVS Health,10,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,36 | 90,CVS Health-2024-Impact-Report-Appendix.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0007,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r013_shell,SHELL,13,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,99 | 102 | 109 | 344,shell-annual-report-2024.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0008,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r013_shell,SHELL,13,ghg_scope2_guidance,GHG Protocol Scope 2 Guidance,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,102 | 376 | 99,shell-annual-report-2024.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0009,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r013_shell,SHELL,13,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,99 | 102 | 344,shell-annual-report-2024.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
GHG-SERIES-ACCEPTED-0010,world500_ghg_series_acceptance_ledger.json,accepted,accepted_explicit_named_series_edge,r016_mckesson,MCKESSON,16,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,P0_acceptance_graph,explicit_series_citation,source_text_explicitly_names_this_ghg_protocol_series,44 | 66,McKesson Impact Report 2024.pdf,Accepted: source text explicitly names this exact controlled GHGP/PCAF standard or guidance.,Keep in the accepted GHGP fine-series graph with page/source evidence.
