trace_review_priority_rank,world500_rank,company_id,company_name_en,company_name_zh,source_trace_gap_type,source_trace_gap_type_zh,blocking_stage,required_action_zh,acceptance_criteria_zh,has_matched_report,report_match_status,matched_source_file,recommended_source_file,page_count,review_queue_issue_type,evidence_ledger_count_raw,traceable_evidence_row_count,accepted_traceable_evidence_count,formal_traceable_evidence_count,candidate_traceable_evidence_count,missing_source_file_row_count,missing_evidence_page_row_count,missing_snippet_row_count,source_attribution_mismatch_count,reviewer_confirm_parent_report,reviewer_confirm_page_text_available,reviewer_added_evidence_rows,reviewer_decision,reviewer_note_zh
1,3,r003_stategrid,STATE GRID,国家电网有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
2,9,r009_berkshirehathaway,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
3,40,r040_elevancehealth公司,Elevance Health公司,Elevance Health公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
4,43,r043_chinarailwayconstruction,CHINA RAILWAY CONSTRUCTION,中国铁道建筑集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
5,51,r051_kroger,KROGER,克罗格,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
6,64,r064_bnpparibas,BNP PARIBAS,法国巴黎银行,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,bp-sustainability-report-2024.pdf,bp-sustainability-report-2024.pdf,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
7,75,r075_shandongenergygroup,SHANDONG ENERGY GROUP,山东能源集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
8,76,r076_comcast,COMCAST,美国康卡斯特电信公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
9,80,r080_wellsfargo,WELLS FARGO,美国富国银行,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
10,81,r081_hengligroup,HENGLI GROUP,恒力集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
