review_priority,language_policy,match_status,evidence_mode,decision_bucket,evidence_gate,matched_aliases,standard_id,standard_name_en,standard_name_zh,standard_family_en,standard_family_zh,standard_color,is_ghg_series,roles_en,roles_zh,principles_en,principles_zh,company_id,world500_rank,company_name_en,company_name_zh,industry_section_code,industry_section_en,industry_section_zh,industry_color,evidence_count,pages,source_files,sample_confidence,sample_review_status,sample_snippet_en,sample_snippet_zh
P2_verify_standard_link,Non-GHG standard: use direct/indirect emissions wording in UI; preserve Scope wording only inside source quotations that require review.,source_standard_link,source_standard_evidence_pending_quality_review,review,page_traceable_standard_source_row_not_ghg_fine_series_gate,,gri,GRI,GRI,ESG disclosure framework,ESG披露框架,#2f6f63,no,Disclosure standard,披露标准,Materiality | Comparability,重要性 | 可比性,r001_walmart,1,WALMART,沃尔玛,F,Wholesale and Retail Trade,批发和零售业,#2f6f63,1,101,FY2025-Walmart-ESG-Report.pdf,medium,seed_batch_01,"Sustainability Community Ethics & Integrity Opportunity Our People: Associate Experiences and Paths of OpportunityMTT_ATT Overall Workforce Metric FY2025 FY2024 FY2023 Framework/Goal Alignment People employed, worldwide ~2.1 million ~2.1 mi",Sustainability Community Ethics & Integrity Opportunity Our People: Associate Experiences and Paths of OpportunityMTT_ATT Overall Workforce Metric FY2025 FY2...
P2_verify_standard_link,Non-GHG standard: use direct/indirect emissions wording in UI; preserve Scope wording only inside source quotations that require review.,explicit_standard_citation,accepted_page_traceable_standard_source_link,accepted,page_text_explicitly_names_standard_or_strong_alias,,sasb,SASB,SASB,Industry disclosure framework,行业披露框架,#c76b2d,no,Disclosure guideline,披露指引,Financial materiality,财务重要性,r001_walmart,1,WALMART,沃尔玛,F,Wholesale and Retail Trade,批发和零售业,#2f6f63,1,102,FY2025-Walmart-ESG-Report.pdf,medium,seed_batch_01,ustainability Community Ethics & Integrity Opportunity Our People: Associate Experiences and Paths of OpportunityMTT_ATT Workforce69 Metric FY2025 Framework/Goal Alignment Global Workforce­—Associates by country Africa 1.4% SASB CG-MR-330a.,ustainability Community Ethics & Integrity Opportunity Our People: Associate Experiences and Paths of OpportunityMTT_ATT Workforce69 Metric FY2025 Framework/...
P2_verify_standard_link,Non-GHG standard: use direct/indirect emissions wording in UI; preserve Scope wording only inside source quotations that require review.,explicit_standard_citation,accepted_page_traceable_standard_source_link,accepted,page_text_explicitly_names_standard_or_strong_alias,,ifrs_s2,IFRS S2,IFRS S2,Climate disclosure standard,气候披露标准,#315f8c,no,Disclosure standard,披露标准,Comparability | Financial materiality,可比性 | 财务重要性,r001_walmart,1,WALMART,沃尔玛,F,Wholesale and Retail Trade,批发和零售业,#2f6f63,1,2,FY2025-Walmart-ESG-Report.pdf,medium,seed_batch_01,ponse Ethics & Integrity 76 Corporate Governance 80 Ethics and Compliance 87 Responsible Use of Data and Technology 90 Human Rights 96 Responsible Engagement in Public Policy Appendix 101 ESG Data Table 107 ISSB: International Financial Rep,ponse Ethics & Integrity 76 Corporate Governance 80 Ethics and Compliance 87 Responsible Use of Data and Technology 90 Human Rights 96 Responsible Engagement...
P2_verify_non_ghg_source_quote_scope,Non-GHG standard: use direct/indirect emissions wording in UI; preserve Scope wording only inside source quotations that require review.,explicit_standard_citation,accepted_page_traceable_standard_source_link,accepted,page_text_explicitly_names_standard_or_strong_alias,,sbti,SBTi,SBTi,Climate target governance system,气候目标治理体系,#9b3b2f,no,Target validation guideline,目标审定指引,Science-based ambition,科学目标约束,r001_walmart,1,WALMART,沃尔玛,F,Wholesale and Retail Trade,批发和零售业,#2f6f63,1,30,FY2025-Walmart-ESG-Report.pdf,medium,seed_batch_01,"issions across Walmart’s global operations by 2040, reducing absolute Scope 1 & 2 GHG emissions 35% by 2025 and 65% by 2030 from our 2015 base year (interim targets approved as science-based and classified as 1.5°C-aligned by Science Based","issions across Walmart’s global operations by 2040, reducing absolute Scope 1 & 2 GHG emissions 35% by 2025 and 65% by 2030 from our 2015 base year (interim ..."
P2_verify_non_ghg_source_quote_scope,Non-GHG standard: use direct/indirect emissions wording in UI; preserve Scope wording only inside source quotations that require review.,source_standard_link,source_standard_evidence_pending_quality_review,review,page_traceable_standard_source_row_not_ghg_fine_series_gate,,iso_14064_3,ISO 14064-3,ISO 14064-3,ISO assurance system,ISO鉴证体系,#6f5b2f,no,Verification and assurance standard,核查与鉴证标准,Verifiability | Credibility,可核查性 | 可信性,r001_walmart,1,WALMART,沃尔玛,F,Wholesale and Retail Trade,批发和零售业,#2f6f63,1,7,FY2025-Walmart-ESG-Report.pdf,medium,seed_batch_01,rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard,rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standa...
P2_verify_standard_link,Non-GHG standard: use direct/indirect emissions wording in UI; preserve Scope wording only inside source quotations that require review.,source_standard_link,source_standard_evidence_pending_quality_review,review,page_traceable_standard_source_row_not_ghg_fine_series_gate,,gri,GRI,GRI,ESG disclosure framework,ESG披露框架,#2f6f63,no,Disclosure standard,披露标准,Materiality | Comparability,重要性 | 可比性,r002_amazoncom,2,AMAZON.COM,亚马逊,F,Wholesale and Retail Trade,批发和零售业,#2f6f63,1,3,2024-amazon-sustainability-report.pdf,medium,seed_batch_13,"he trust of our stakeholders. Framework Disclosures In addition to this report, we share our Sustainability Reporting Framework Summary on our website, which includes our 2024 performance against reporting frameworks including the Global Re","he trust of our stakeholders. Framework Disclosures In addition to this report, we share our Sustainability Reporting Framework Summary on our website, which..."
P2_verify_standard_link,Non-GHG standard: use direct/indirect emissions wording in UI; preserve Scope wording only inside source quotations that require review.,source_standard_link,source_standard_evidence_pending_quality_review,review,page_traceable_standard_source_row_not_ghg_fine_series_gate,,sasb,SASB,SASB,Industry disclosure framework,行业披露框架,#c76b2d,no,Disclosure guideline,披露指引,Financial materiality,财务重要性,r002_amazoncom,2,AMAZON.COM,亚马逊,F,Wholesale and Retail Trade,批发和零售业,#2f6f63,1,3,2024-amazon-sustainability-report.pdf,medium,seed_batch_13,"he trust of our stakeholders. Framework Disclosures In addition to this report, we share our Sustainability Reporting Framework Summary on our website, which includes our 2024 performance against reporting frameworks including the Global Re","he trust of our stakeholders. Framework Disclosures In addition to this report, we share our Sustainability Reporting Framework Summary on our website, which..."
P2_verify_standard_link,Non-GHG standard: use direct/indirect emissions wording in UI; preserve Scope wording only inside source quotations that require review.,source_standard_link,source_standard_evidence_pending_quality_review,review,page_traceable_standard_source_row_not_ghg_fine_series_gate,,tcfd,TCFD,TCFD,Climate disclosure framework,气候披露框架,#7a4f82,no,Disclosure recommendation,披露建议,Consistency | Materiality,一致性 | 重要性,r002_amazoncom,2,AMAZON.COM,亚马逊,F,Wholesale and Retail Trade,批发和零售业,#2f6f63,1,3,2024-amazon-sustainability-report.pdf,medium,seed_batch_13,"he trust of our stakeholders. Framework Disclosures In addition to this report, we share our Sustainability Reporting Framework Summary on our website, which includes our 2024 performance against reporting frameworks including the Global Re","he trust of our stakeholders. Framework Disclosures In addition to this report, we share our Sustainability Reporting Framework Summary on our website, which..."
P2_verify_standard_link,Non-GHG standard: use direct/indirect emissions wording in UI; preserve Scope wording only inside source quotations that require review.,source_standard_link,source_standard_evidence_pending_quality_review,review,page_traceable_standard_source_row_not_ghg_fine_series_gate,,iso_14067,ISO 14067,ISO 14067,ISO product carbon standard,ISO产品碳足迹标准,#2f6f8f,no,Methodology standard,方法学标准,Life-cycle perspective,生命周期视角,r004_saudiaramco,4,SAUDI ARAMCO,沙特阿美公司,B,Mining,采矿业,#8a5a44,1,23,2024-saudi-aramco-sustainability-report-full-en.pdf,medium,seed_batch_01,"North America to Asia. The next entity in the value chain of this pilot, Motiva’s Port Arthur Manufacturing Complex, made progress in their measurement of the product-level emissions of their base oils production by undergoing third-party v","North America to Asia. The next entity in the value chain of this pilot, Motiva’s Port Arthur Manufacturing Complex, made progress in their measurement of th..."
P2_verify_standard_link,Non-GHG standard: use direct/indirect emissions wording in UI; preserve Scope wording only inside source quotations that require review.,source_standard_link,source_standard_evidence_pending_quality_review,review,page_traceable_standard_source_row_not_ghg_fine_series_gate,,gri,GRI,GRI,ESG disclosure framework,ESG披露框架,#2f6f63,no,Disclosure standard,披露标准,Materiality | Comparability,重要性 | 可比性,r006_chinanationalpetroleum,6,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,Mining,采矿业,#8a5a44,1,2,CNPC_2024_Social_Responsibility_Report.pdf,medium,seed_batch_11,报告更加客观、全面、重点反映公司的履责实践，2024年报告加强了对“能源转 型”“科技创新”“气候变化”等重要议题的披露；对贯彻落实国家“四个革命、一个合 作”能源安全新战略以及推动实施创新驱动发展战略进行了专题阐述；对所属企业履责情况 进行实地调研，核准企业案例的真实性；在报告编写过程中广泛听取各方意见和建议，积极 回应利益相关方关切。 指南参照 本报告按照国务院国有资产监督管理委员会《关于新时代中央企业高标准履行社会责任的指 导意见》相关要求，并参照全球可持续发展标准委员,报告更加客观、全面、重点反映公司的履责实践，2024年报告加强了对“能源转 型”“科技创新”“气候变化”等重要议题的披露；对贯彻落实国家“四个革命、一个合 作”能源安全新战略以及推动实施创新驱动发展战略进行了专题阐述；对所属企业履责情况 进行实地调研，核准企业案例的真实性；在报告编写过程中广泛听取各方意见和建议，...
