世界500强排名,企业ID,企业名称（中文）,Company Name (EN),国家/地区,行业,二级细分类型,Subtype (EN),优先级,名单下载状态字段,seed匹配状态,候选文件数,best_match_score,近似推荐文件,近似推荐得分,诊断信号,Diagnostic signals (EN),建议处理动作,Recommended action (EN),原始诊断说明,诊断规则
9,r009_berkshirehathaway,伯克希尔－哈撒韦公司,BERKSHIRE HATHAWAY,美国,财产与意外保险（股份）,当前库内确实缺主报告文件,Current corpus truly lacks a parent-company main report,low,,unmatched,0,4,,0,seed 与当前候选池均未形成有效近似命中，且名单字段未标注可追索的下载/标准信号。,"Neither the seed stage nor the current candidate pool produced a meaningful approximate hit, and the registry row contains no download or standards signal.",当前先按“库内确缺”冻结，不建议硬配；仅在新增来源目录、官网补采或外部数据库补录时再重启匹配。,"Freeze this case as a corpus gap for now and do not force a match; only reopen matching when a new source directory, official-site backfill, or an external database supplement is added.",在当前库存文件中，未检出能够安全归属于“伯克希尔－哈撒韦公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
40,r040_elevancehealth公司,Elevance Health公司,Elevance Health公司,美国,保健：保险和管理医保,当前库内确实缺主报告文件,Current corpus truly lacks a parent-company main report,low,,unmatched,0,4,,0,seed 与当前候选池均未形成有效近似命中，且名单字段未标注可追索的下载/标准信号。,"Neither the seed stage nor the current candidate pool produced a meaningful approximate hit, and the registry row contains no download or standards signal.",当前先按“库内确缺”冻结，不建议硬配；仅在新增来源目录、官网补采或外部数据库补录时再重启匹配。,"Freeze this case as a corpus gap for now and do not force a match; only reopen matching when a new source directory, official-site backfill, or an external database supplement is added.",在当前库存文件中，未检出能够安全归属于“Elevance Health公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
51,r051_kroger,克罗格,KROGER,美国,食品店和杂货店,当前库内确实缺主报告文件,Current corpus truly lacks a parent-company main report,low,,unmatched,0,4,,0,seed 与当前候选池均未形成有效近似命中，且名单字段未标注可追索的下载/标准信号。,"Neither the seed stage nor the current candidate pool produced a meaningful approximate hit, and the registry row contains no download or standards signal.",当前先按“库内确缺”冻结，不建议硬配；仅在新增来源目录、官网补采或外部数据库补录时再重启匹配。,"Freeze this case as a corpus gap for now and do not force a match; only reopen matching when a new source directory, official-site backfill, or an external database supplement is added.",在当前库存文件中，未检出能够安全归属于“克罗格”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
76,r076_comcast,美国康卡斯特电信公司,COMCAST,美国,电信,当前库内确实缺主报告文件,Current corpus truly lacks a parent-company main report,low,,unmatched,0,4,,0,seed 与当前候选池均未形成有效近似命中，且名单字段未标注可追索的下载/标准信号。,"Neither the seed stage nor the current candidate pool produced a meaningful approximate hit, and the registry row contains no download or standards signal.",当前先按“库内确缺”冻结，不建议硬配；仅在新增来源目录、官网补采或外部数据库补录时再重启匹配。,"Freeze this case as a corpus gap for now and do not force a match; only reopen matching when a new source directory, official-site backfill, or an external database supplement is added.",在当前库存文件中，未检出能够安全归属于“美国康卡斯特电信公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
80,r080_wellsfargo,美国富国银行,WELLS FARGO,美国,银行：商业储蓄,当前库内确实缺主报告文件,Current corpus truly lacks a parent-company main report,low,,unmatched,0,4,,0,seed 与当前候选池均未形成有效近似命中，且名单字段未标注可追索的下载/标准信号。,"Neither the seed stage nor the current candidate pool produced a meaningful approximate hit, and the registry row contains no download or standards signal.",当前先按“库内确缺”冻结，不建议硬配；仅在新增来源目录、官网补采或外部数据库补录时再重启匹配。,"Freeze this case as a corpus gap for now and do not force a match; only reopen matching when a new source directory, official-site backfill, or an external database supplement is added.",在当前库存文件中，未检出能够安全归属于“美国富国银行”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
88,r088_freddiemac,房地美,FREDDIE MAC,美国,多元化金融,当前库内确实缺主报告文件,Current corpus truly lacks a parent-company main report,low,,unmatched,0,4,,0,seed 与当前候选池均未形成有效近似命中，且名单字段未标注可追索的下载/标准信号。,"Neither the seed stage nor the current candidate pool produced a meaningful approximate hit, and the registry row contains no download or standards signal.",当前先按“库内确缺”冻结，不建议硬配；仅在新增来源目录、官网补采或外部数据库补录时再重启匹配。,"Freeze this case as a corpus gap for now and do not force a match; only reopen matching when a new source directory, official-site backfill, or an external database supplement is added.",在当前库存文件中，未检出能够安全归属于“房地美”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
92,r092_humana,哈门那公司,HUMANA,美国,保健：保险和管理医保,当前库内确实缺主报告文件,Current corpus truly lacks a parent-company main report,low,,unmatched,0,4,,0,seed 与当前候选池均未形成有效近似命中，且名单字段未标注可追索的下载/标准信号。,"Neither the seed stage nor the current candidate pool produced a meaningful approximate hit, and the registry row contains no download or standards signal.",当前先按“库内确缺”冻结，不建议硬配；仅在新增来源目录、官网补采或外部数据库补录时再重启匹配。,"Freeze this case as a corpus gap for now and do not force a match; only reopen matching when a new source directory, official-site backfill, or an external database supplement is added.",在当前库存文件中，未检出能够安全归属于“哈门那公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
99,r099_petrobras,巴西国家石油公司,PETROBRAS,巴西,炼油,当前库内确实缺主报告文件,Current corpus truly lacks a parent-company main report,low,,unmatched,0,4,,0,seed 与当前候选池均未形成有效近似命中，且名单字段未标注可追索的下载/标准信号。,"Neither the seed stage nor the current candidate pool produced a meaningful approximate hit, and the registry row contains no download or standards signal.",当前先按“库内确缺”冻结，不建议硬配；仅在新增来源目录、官网补采或外部数据库补录时再重启匹配。,"Freeze this case as a corpus gap for now and do not force a match; only reopen matching when a new source directory, official-site backfill, or an external database supplement is added.",在当前库存文件中，未检出能够安全归属于“巴西国家石油公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
102,r102_gazprom,俄罗斯天然气工业股份公司,GAZPROM,俄罗斯,能源,当前库内确实缺主报告文件,Current corpus truly lacks a parent-company main report,low,,unmatched,0,4,,0,seed 与当前候选池均未形成有效近似命中，且名单字段未标注可追索的下载/标准信号。,"Neither the seed stage nor the current candidate pool produced a meaningful approximate hit, and the registry row contains no download or standards signal.",当前先按“库内确缺”冻结，不建议硬配；仅在新增来源目录、官网补采或外部数据库补录时再重启匹配。,"Freeze this case as a corpus gap for now and do not force a match; only reopen matching when a new source directory, official-site backfill, or an external database supplement is added.",在当前库存文件中，未检出能够安全归属于“俄罗斯天然气工业股份公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
106,r106_cofco,中粮集团有限公司,COFCO,中国,贸易,当前库内确实缺主报告文件,Current corpus truly lacks a parent-company main report,low,,unmatched,0,4,,0,seed 与当前候选池均未形成有效近似命中，且名单字段未标注可追索的下载/标准信号。,"Neither the seed stage nor the current candidate pool produced a meaningful approximate hit, and the registry row contains no download or standards signal.",当前先按“库内确缺”冻结，不建议硬配；仅在新增来源目录、官网补采或外部数据库补录时再重启匹配。,"Freeze this case as a corpus gap for now and do not force a match; only reopen matching when a new source directory, official-site backfill, or an external database supplement is added.",在当前库存文件中，未检出能够安全归属于“中粮集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
