source,target,relation,relation_zh,evidence_page
company:amazon,report:amazon__2024__sustainability_report,publishes,发布报告,
report:amazon__2024__sustainability_report,scope_status:company_level_absolute,has_scope_data_status,具有范围数据状态,
report:amazon__2024__sustainability_report,cost_status:quantified,has_cost_disclosure_status,具有成本披露状态,
company:amazon,industry_section:F,classified_as_industry_section,归入国民经济行业门类,
company:apple,report:apple__2025__environmental_progress_report,publishes,发布报告,
report:apple__2025__environmental_progress_report,scope_status:company_level_absolute_with_derivation,has_scope_data_status,具有范围数据状态,
report:apple__2025__environmental_progress_report,cost_status:qualitative_only,has_cost_disclosure_status,具有成本披露状态,
company:apple,industry_section:C,classified_as_industry_section,归入国民经济行业门类,
company:byd,report:byd__2024__sustainability_report,publishes,发布报告,
report:byd__2024__sustainability_report,scope_status:company_level_absolute,has_scope_data_status,具有范围数据状态,
report:byd__2024__sustainability_report,cost_status:qualitative_only,has_cost_disclosure_status,具有成本披露状态,
company:byd,industry_section:C,classified_as_industry_section,归入国民经济行业门类,
company:costco,report:costco__2024__climate_action_plan,publishes,发布报告,
report:costco__2024__climate_action_plan,scope_status:total_only_no_breakdown,has_scope_data_status,具有范围数据状态,
report:costco__2024__climate_action_plan,cost_status:qualitative_only,has_cost_disclosure_status,具有成本披露状态,
company:costco,industry_section:L,classified_as_industry_section,归入国民经济行业门类,
company:geely,report:geely__2024__sustainability_report,publishes,发布报告,
report:geely__2024__sustainability_report,scope_status:business_unit_only,has_scope_data_status,具有范围数据状态,
report:geely__2024__sustainability_report,cost_status:qualitative_only,has_cost_disclosure_status,具有成本披露状态,
company:geely,industry_section:C,classified_as_industry_section,归入国民经济行业门类,
company:microsoft,report:microsoft__2025__environmental_sustainability_report,publishes,发布报告,
report:microsoft__2025__environmental_sustainability_report,scope_status:company_level_share_only,has_scope_data_status,具有范围数据状态,
report:microsoft__2025__environmental_sustainability_report,cost_status:qualitative_only,has_cost_disclosure_status,具有成本披露状态,
company:microsoft,industry_section:C,classified_as_industry_section,归入国民经济行业门类,
company:totalenergies,report:totalenergies__2025__sustainability_and_climate_progress_report,publishes,发布报告,
report:totalenergies__2025__sustainability_and_climate_progress_report,scope_status:company_level_absolute,has_scope_data_status,具有范围数据状态,
report:totalenergies__2025__sustainability_and_climate_progress_report,cost_status:quantified,has_cost_disclosure_status,具有成本披露状态,
company:totalenergies,industry_section:D,classified_as_industry_section,归入国民经济行业门类,
company:unitedhealth,report:unitedhealth__2024__sustainability_report,publishes,发布报告,
report:unitedhealth__2024__sustainability_report,scope_status:company_level_absolute,has_scope_data_status,具有范围数据状态,
report:unitedhealth__2024__sustainability_report,cost_status:quantified,has_cost_disclosure_status,具有成本披露状态,
company:unitedhealth,industry_section:S,classified_as_industry_section,归入国民经济行业门类,
company:volkswagen,report:volkswagen__2023__sustainability_report,publishes,发布报告,
report:volkswagen__2023__sustainability_report,scope_status:company_level_absolute,has_scope_data_status,具有范围数据状态,
report:volkswagen__2023__sustainability_report,cost_status:qualitative_only,has_cost_disclosure_status,具有成本披露状态,
company:volkswagen,industry_section:C,classified_as_industry_section,归入国民经济行业门类,
company:walmart,report:walmart__2025__esg_report,publishes,发布报告,
report:walmart__2025__esg_report,scope_status:company_level_absolute,has_scope_data_status,具有范围数据状态,
report:walmart__2025__esg_report,cost_status:qualitative_only,has_cost_disclosure_status,具有成本披露状态,
company:walmart,industry_section:L,classified_as_industry_section,归入国民经济行业门类,
report:amazon__2024__sustainability_report,standard:ghg_protocol,uses_standard,采用标准,16
report:amazon__2024__sustainability_report,standard:gri,uses_standard,采用标准,3
report:amazon__2024__sustainability_report,standard:sasb,uses_standard,采用标准,3
report:amazon__2024__sustainability_report,standard:tcfd,uses_standard,采用标准,3
report:apple__2025__environmental_progress_report,standard:ghg_protocol,uses_standard,采用标准,104
report:apple__2025__environmental_progress_report,standard:iso_14064_3,uses_standard,采用标准,104
report:apple__2025__environmental_progress_report,standard:iso_14067,uses_standard,采用标准,106
report:apple__2025__environmental_progress_report,standard:iso_14040_14044,uses_standard,采用标准,106
report:byd__2024__sustainability_report,standard:ghg_protocol,uses_standard,采用标准,39
report:byd__2024__sustainability_report,standard:iso_14067,uses_standard,采用标准,46
report:byd__2024__sustainability_report,standard:gri,uses_standard,采用标准,3
report:byd__2024__sustainability_report,standard:iwa_48:2024,uses_standard,采用标准,153
report:costco__2024__climate_action_plan,standard:ghg_protocol,uses_standard,采用标准,2
report:costco__2024__climate_action_plan,standard:tcfd,uses_standard,采用标准,2
report:costco__2024__climate_action_plan,standard:esrs_csrd,uses_standard,采用标准,2
report:geely__2024__sustainability_report,standard:ghg_protocol,uses_standard,采用标准,39
report:geely__2024__sustainability_report,standard:gri,uses_standard,采用标准,96
report:geely__2024__sustainability_report,standard:gb_t_2589_2020,uses_standard,采用标准,39
report:microsoft__2025__environmental_sustainability_report,standard:ghg_protocol,uses_standard,采用标准,88
report:microsoft__2025__environmental_sustainability_report,standard:gri,uses_standard,采用标准,88
