review_priority,queue_priority,auto_promote_allowed,recommended_action_en,recommended_action_zh,technology_id,technology_name_en,company_id,company_name_en,company_name_zh,world500_rank,industry_section_code,industry_section_en,current_signal_status,validated_project_evidence_count,validated_project_names_en,validated_project_pages,validated_project_source_files,missing_to_project_gate,company_timeline_years,company_cost_signal_present,company_evidence_count,candidate_decision_bucket,candidate_decision_status,candidate_decision_rationale_en,candidate_decision_rationale_zh,evidence_boundary,sample_pages,sample_source_files,company_sample_snippet_en
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,battery_storage,Battery and energy storage,r329_astrazeneca,ASTRAZENECA,阿斯利康,329,C,Manufacturing,company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2024,no,4,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,13 | 13 | 13 | 13.0 | 22,Apple_Environmental_Progress_Report_2025.pdf | Apple_Environmental_Progress_Report_2025.pdf | Apple_Environmental_Progress_Report_2025.pdf | Apple_Environmental_Progress_Report_2025.pdf | ENGIE_DEU_2024_US__PDF_MEL_v3.pdf,"In 2024, we reached the significant milestone of over 60% of our global fleet being battery electric vehicles."
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,carbon_management,"Carbon management, methane, CCUS, and removals",r013_shell,SHELL,壳牌公司,13,B,Mining,company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2024,no,20,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,13 | 19 | 19 | 68 | 13,2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf,2024 performance ￮Scope 1 and 2 emissions were down by 30% compared with the 2016 reference year [A]. ￮Methane emissions intensity of 0.04% continued to be below our 0.2% target. ￮Net carbon intensity (NCI) decreased by 9.0% compared with t
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,carbon_management,"Carbon management, methane, CCUS, and removals",r023_totalenergies,TOTALENERGIES,道达尔能源公司,23,B,Mining,company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2020 | 2025,no,20,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,13 | 19 | 19 | 68 | 13,2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf,Our 2025 emissions reductions targets have been strengthened: • Methane: from -50% to -60% (vs 2020) with the deployment of continuous detection means of emissions at all our operated sites (Upstream assets operated);
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,carbon_management,"Carbon management, methane, CCUS, and removals",r025_bp,BP,英国石油公司,25,D,"Electricity, Heat, Gas and Water Production and Supply",company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2050,no,8,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,13 | 19 | 19 | 68 | 13,2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf,"Our aim for net zero operations Our aim is to reach net zero by 2050 or sooner for Scope 1 and 2 emissions within bp’s operational control (on a CO2e basis), including by maintaining ‘near-zero’a methane intensity across our operated prod"
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,carbon_management,"Carbon management, methane, CCUS, and removals",r026_microsoft,MICROSOFT,微软,26,I,"Information Transmission, Software and Information Technology Services",company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2030,no,12,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,13 | 19 | 19 | 68 | 13,2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf,2030 Target year Total target carbon emissions Projected carbon removal Retirements Emissions FY20 FY21 FY22 FY23 FY24 SCOPE 3 Direct emissions created by a company’s activities Indirect emissions from the generation of purchased electricit
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,carbon_management,"Carbon management, methane, CCUS, and removals",r066_metaplatforms公司,Meta Platforms,Meta Platforms,66,F,Wholesale and Retail Trade,company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2020 | 2021 | 2022 | 2023,no,4,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,13 | 19 | 19 | 68 | 13,2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf,"HG emissions Market-based (in metric tons CO2e) 2019 2020 2021 2022 2023 Net total 4,330,000 4,984,000 5,740,244 8,453,471 7,443,182 Carbon removal (carbon credits applied) - 145,000 90,000 80,000 53,050 Total 4,330,000 5,129,000 5,830,244"
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,carbon_management,"Carbon management, methane, CCUS, and removals",r114_royalaholddelhaize,ROYAL AHOLD DELHAIZE,皇家阿霍德德尔海兹集团,114,F,Wholesale and Retail Trade,company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2040,no,4,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,13 | 19 | 19 | 68 | 13,2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf,"For our scope 1 and 2 emissions, to achieve net zero by 2040, we will reduce at least 90% of our baseline emissions and neutralize up to 10% with carbon removals sourced outside of our value chain."
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,carbon_management,"Carbon management, methane, CCUS, and removals",r123_pepsico,PEPSICO,百事公司,123,C,Manufacturing,company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2022,no,4,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,13 | 19 | 19 | 68 | 13,2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf,need to reduce our emissions by the following (all measured against a 2022 baseline): Net-zero Baseline emissions Actual emissions Target emissions Residuals Carbon removals to balance residual emissions 50% reduction in emissions from our
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,carbon_management,"Carbon management, methane, CCUS, and removals",r169_lukoil,LUKOIL,卢克石油公司,169,D,"Electricity, Heat, Gas and Water Production and Supply",company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2050,no,8,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,13 | 19 | 19 | 68 | 13,2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf,"The Company also speaks up for the goals of the Oil & Gas Decarbonization Charter to achieve zero GHG emissions for Scope 1 and Scope 2 by 2050, near-zero methane emissions and routine APG"
P1_backfill_project_cost_and_abatement,P1,false,"The snippet has timeline signals. Backfill cost/investment and abatement-effect evidence if disclosed, otherwise keep those fields explicitly blank.",片段已有时间信号。若原文披露成本/投资和减排效果则补齐；未披露时字段必须明确留空。,carbon_management,"Carbon management, methane, CCUS, and removals",r358_omvgroup,OMV GROUP,奥地利石油天然气集团,358,D,"Electricity, Heat, Gas and Water Production and Supply",company_specific_disclosure_snippet,0,,,,project_or_measure_name | page_source_binding | implementation_stage | cost_or_investment | abatement_effect,2030 | 2050,no,24,,,,,upgrade_queue_only_disclosure_signal_until_project_gate_passes,13 | 19 | 19 | 68 | 13,2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf,2030 Zero routine flaring and venting 2050 Net-zero Scope 1 GHG emissions Absolute Target Value chain activities Own operations In scope 100% routine flaring and routine venting emissions from fully owned assets and assets where the Group’s
