decision_id,decision_status,decision_bucket,evidence_gate,company_id,world500_rank,company_name_en,company_name_zh,industry_section_code,industry_section_en,industry_section_zh,series_id,series_name_en,series_name_zh,core_whitelist,whitelist_gate,category_en,category_zh,role_en,role_zh,principle_en,principle_zh,language_policy_en,language_policy_zh,match_status,matched_aliases,evidence_count,pages,source_files,sample_review_status,sample_confidence,sample_snippet_en,sample_snippet_zh,safe_use_en,safe_use_zh
GHG-SERIES-ACCEPTED-0001,accepted_explicit_named_series_edge,accepted,source_text_explicitly_names_this_ghg_protocol_series,r001_walmart,1,WALMART,沃尔玛,F,Wholesale and Retail Trade,批发和零售业,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,GHG Protocol 企业核算与报告标准,yes,eligible_for_acceptance_if_pdf_explicitly_names_this_whitelisted_series,Standard,标准,Corporate inventory accounting standard,企业组织层面清单核算标准,"Relevance, completeness, consistency, transparency, and accuracy.",相关性、完整性、一致性、透明性和准确性。,"Within GHG Protocol evidence, this may define Scope 1 and Scope 2 corporate inventory boundaries.",仅在 GHG Protocol 证据下使用 Scope 1/2 的组织层面清单口径。,explicit_series_citation,corporate accounting and reporting standard,8,7,FY2025-Walmart-ESG-Report.pdf,seed_batch_01,medium,pleteness|Consistency|Transparency|Accuracy 相关性|完整性|一致性|透明性|准确性 rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard rting Walmart Inc. calculates its GHG emissions footpr…,pleteness|Consistency|Transparency|Accuracy 相关性|完整性|一致性|透明性|准确性 rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard rting Walmart Inc. calculates its GHG emissions footpr…,May be used as an accepted company-to-GHG-fine-series edge. Scope wording is allowed only inside this GHG Protocol evidence context.,可作为已采信的企业-GHG 细分系列关系。Scope 术语只允许在该 GHG Protocol 证据语境下使用。
GHG-SERIES-ACCEPTED-0002,accepted_explicit_named_series_edge,accepted,source_text_explicitly_names_this_ghg_protocol_series,r001_walmart,1,WALMART,沃尔玛,F,Wholesale and Retail Trade,批发和零售业,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,yes,eligible_for_acceptance_if_pdf_explicitly_names_this_whitelisted_series,Standard,标准,Value-chain emissions accounting standard,价值链排放核算标准,Scope 3 categories are GHG Protocol-specific category language.,Scope 3 类别是 GHG Protocol 特有的类别口径。,Scope 3 and Scope 3 category names are only used for GHG Protocol evidence.,Scope 3 及十五类类别口径只在 GHG Protocol 证据下使用。,explicit_series_citation,corporate value chain\s*\(scope 3\),10,7 | 34,FY2025-Walmart-ESG-Report.pdf,seed_batch_01,medium,|准确性 rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol…,|准确性 rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol…,May be used as an accepted company-to-GHG-fine-series edge. Scope wording is allowed only inside this GHG Protocol evidence context.,可作为已采信的企业-GHG 细分系列关系。Scope 术语只允许在该 GHG Protocol 证据语境下使用。
GHG-SERIES-ACCEPTED-0003,accepted_explicit_named_series_edge,accepted,source_text_explicitly_names_this_ghg_protocol_series,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,联合健康集团,J,Finance,金融业,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,GHG Protocol 企业核算与报告标准,yes,eligible_for_acceptance_if_pdf_explicitly_names_this_whitelisted_series,Standard,标准,Corporate inventory accounting standard,企业组织层面清单核算标准,"Relevance, completeness, consistency, transparency, and accuracy.",相关性、完整性、一致性、透明性和准确性。,"Within GHG Protocol evidence, this may define Scope 1 and Scope 2 corporate inventory boundaries.",仅在 GHG Protocol 证据下使用 Scope 1/2 的组织层面清单口径。,explicit_series_citation,corporate accounting and reporting standard,6,33 | 80,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,pdf_explicit_series_citation,pdf_page_backfill,"of our new science-aligned climate targets, we have re-established all climate targets and recasted the following values with a 2023 base year. In accordance with the GHG Protocol Corporate Accounting and Reporting Standard, Scope 3 Standard and the Science Based Targets initiative’s Corporate Near-Term Criteria, these base year values will be subject to re…","of our new science-aligned climate targets, we have re-established all climate targets and recasted the following values with a 2023 base year. In accordance with the GHG Protocol Corporate Accounting and Reporting Standard, Scope 3 Standard and the Science Based Targets initiative’s Corporate Near-Term Criteria, these base year values will be subject to re…",May be used as an accepted company-to-GHG-fine-series edge. Scope wording is allowed only inside this GHG Protocol evidence context.,可作为已采信的企业-GHG 细分系列关系。Scope 术语只允许在该 GHG Protocol 证据语境下使用。
GHG-SERIES-ACCEPTED-0004,accepted_explicit_named_series_edge,accepted,source_text_explicitly_names_this_ghg_protocol_series,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,联合健康集团,J,Finance,金融业,ghg_financial_industry_standard,Global GHG Accounting and Reporting Standard for the Financial Industry,金融行业全球温室气体核算与报告标准,yes,eligible_for_acceptance_if_pdf_explicitly_names_this_whitelisted_series,Sector standard / guidance,行业标准/指南,Financial-industry financed-emissions methodology,金融行业投融资排放方法学,Measure financed emissions for loans and investments when explicitly cited.,原文明示时用于贷款和投资的投融资排放测算。,Use financed-emissions wording rather than corporate operational Scope totals.,使用投融资排放口径，不改写为企业运营 Scope 总量。,explicit_series_citation,partnership for carbon accounting financials,8,33 | 35 | 82,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,seed_batch_01,medium,"lity-report.pdf Scope 3 范围 3 Expanded from source page text for direct-use Scope evidence. ons primarily from products sold by UHG’s retail pharmacy operations. 9 In line with the Partnership for Carbon Accounting Financials (PCAF) standard, estimated emissions are composed of asset classes such as corporate bonds, loans, equities, and sovereign debt and as…","lity-report.pdf Scope 3 范围 3 Expanded from source page text for direct-use Scope evidence. ons primarily from products sold by UHG’s retail pharmacy operations. 9 In line with the Partnership for Carbon Accounting Financials (PCAF) standard, estimated emissions are composed of asset classes such as corporate bonds, loans, equities, and sovereign debt and as…",May be used as an accepted company-to-GHG-fine-series edge. Scope wording is allowed only inside this GHG Protocol evidence context.,可作为已采信的企业-GHG 细分系列关系。Scope 术语只允许在该 GHG Protocol 证据语境下使用。
GHG-SERIES-ACCEPTED-0005,accepted_explicit_named_series_edge,accepted,source_text_explicitly_names_this_ghg_protocol_series,r010_cvshealth公司,10,CVS Health,CVS Health,F,Wholesale and Retail Trade,批发和零售业,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,GHG Protocol 企业核算与报告标准,yes,eligible_for_acceptance_if_pdf_explicitly_names_this_whitelisted_series,Standard,标准,Corporate inventory accounting standard,企业组织层面清单核算标准,"Relevance, completeness, consistency, transparency, and accuracy.",相关性、完整性、一致性、透明性和准确性。,"Within GHG Protocol evidence, this may define Scope 1 and Scope 2 corporate inventory boundaries.",仅在 GHG Protocol 证据下使用 Scope 1/2 的组织层面清单口径。,explicit_series_citation,corporate accounting and reporting standard,8,36 | 90,CVS Health-2024-Impact-Report-Appendix.pdf,pdf_explicit_series_citation,pdf_page_backfill,estment of infrastructure and maintenance. • Greenhouse Gas Emissions: CVS Health calculates its greenhouse gas emissions footprint in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard. Scope 2 emissions are calculated using both a locatio…,estment of infrastructure and maintenance. • Greenhouse Gas Emissions: CVS Health calculates its greenhouse gas emissions footprint in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard. Scope 2 emissions are calculated using both a locatio…,May be used as an accepted company-to-GHG-fine-series edge. Scope wording is allowed only inside this GHG Protocol evidence context.,可作为已采信的企业-GHG 细分系列关系。Scope 术语只允许在该 GHG Protocol 证据语境下使用。
GHG-SERIES-ACCEPTED-0006,accepted_explicit_named_series_edge,accepted,source_text_explicitly_names_this_ghg_protocol_series,r010_cvshealth公司,10,CVS Health,CVS Health,F,Wholesale and Retail Trade,批发和零售业,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,yes,eligible_for_acceptance_if_pdf_explicitly_names_this_whitelisted_series,Standard,标准,Value-chain emissions accounting standard,价值链排放核算标准,Scope 3 categories are GHG Protocol-specific category language.,Scope 3 类别是 GHG Protocol 特有的类别口径。,Scope 3 and Scope 3 category names are only used for GHG Protocol evidence.,Scope 3 及十五类类别口径只在 GHG Protocol 证据下使用。,explicit_series_citation,corporate value chain\s*\(scope 3\),6,36 | 90,CVS Health-2024-Impact-Report-Appendix.pdf,pdf_explicit_series_citation,pdf_page_backfill,"Emissions: CVS Health calculates its greenhouse gas emissions footprint in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard. Scope 2 emissions are calculated using both a location-based and market-based approach, with an annual process in…","Emissions: CVS Health calculates its greenhouse gas emissions footprint in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard. Scope 2 emissions are calculated using both a location-based and market-based approach, with an annual process in…",May be used as an accepted company-to-GHG-fine-series edge. Scope wording is allowed only inside this GHG Protocol evidence context.,可作为已采信的企业-GHG 细分系列关系。Scope 术语只允许在该 GHG Protocol 证据语境下使用。
GHG-SERIES-ACCEPTED-0007,accepted_explicit_named_series_edge,accepted,source_text_explicitly_names_this_ghg_protocol_series,r013_shell,13,SHELL,壳牌公司,B,Mining,采矿业,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,GHG Protocol 企业核算与报告标准,yes,eligible_for_acceptance_if_pdf_explicitly_names_this_whitelisted_series,Standard,标准,Corporate inventory accounting standard,企业组织层面清单核算标准,"Relevance, completeness, consistency, transparency, and accuracy.",相关性、完整性、一致性、透明性和准确性。,"Within GHG Protocol evidence, this may define Scope 1 and Scope 2 corporate inventory boundaries.",仅在 GHG Protocol 证据下使用 Scope 1/2 的组织层面清单口径。,explicit_series_citation,corporate accounting and reporting standard,9,99 | 102 | 109 | 344,shell-annual-report-2024.pdf,seed_batch_01,medium,"ent Report. [C] Emissions from the purchase of electricity, heat, steam and cooling for our own use globally, calculated using a market-based method as defined by the GHG Protocol Corporate Accounting and Reporting Standard. [D] Emi Page 109 reports market-based Total global energy indirect Scope 2 emissions under the operational control boundary at 8 MtCO2…","ent Report. [C] Emissions from the purchase of electricity, heat, steam and cooling for our own use globally, calculated using a market-based method as defined by the GHG Protocol Corporate Accounting and Reporting Standard. [D] Emi Page 109 reports market-based Total global energy indirect Scope 2 emissions under the operational control boundary at 8 MtCO2…",May be used as an accepted company-to-GHG-fine-series edge. Scope wording is allowed only inside this GHG Protocol evidence context.,可作为已采信的企业-GHG 细分系列关系。Scope 术语只允许在该 GHG Protocol 证据语境下使用。
GHG-SERIES-ACCEPTED-0008,accepted_explicit_named_series_edge,accepted,source_text_explicitly_names_this_ghg_protocol_series,r013_shell,13,SHELL,壳牌公司,B,Mining,采矿业,ghg_scope2_guidance,GHG Protocol Scope 2 Guidance,GHG Protocol Scope 2 指南,yes,eligible_for_acceptance_if_pdf_explicitly_names_this_whitelisted_series,Guidance,指南,Purchased electricity and energy method guidance,外购电力与能源口径指南,Location-based and market-based Scope 2 reporting are separated when cited.,原文显式引用时区分位置法与市场法 Scope 2 披露。,Scope 2 market-based and location-based language is treated as GHG-specific.,Scope 2 市场法/位置法术语只在 GHG Protocol 语境下使用。,explicit_series_citation,scope 2 guidance,6,102 | 376 | 99,shell-annual-report-2024.pdf,pdf_explicit_series_citation,pdf_page_backfill,"mported cooling or compressed air used for energy purposes. Scope 2 emissions are calculated using the market- and location-based methods separately as defined by the GHG Protocol Scope 2 Guidance. Scope 2 emissions are presented on a gross basis. Carbon credits Our target to halve total Scope 1 and 2 GHG emissions by 2030 has been set on a net basis, inclu…","mported cooling or compressed air used for energy purposes. Scope 2 emissions are calculated using the market- and location-based methods separately as defined by the GHG Protocol Scope 2 Guidance. Scope 2 emissions are presented on a gross basis. Carbon credits Our target to halve total Scope 1 and 2 GHG emissions by 2030 has been set on a net basis, inclu…",May be used as an accepted company-to-GHG-fine-series edge. Scope wording is allowed only inside this GHG Protocol evidence context.,可作为已采信的企业-GHG 细分系列关系。Scope 术语只允许在该 GHG Protocol 证据语境下使用。
GHG-SERIES-ACCEPTED-0009,accepted_explicit_named_series_edge,accepted,source_text_explicitly_names_this_ghg_protocol_series,r013_shell,13,SHELL,壳牌公司,B,Mining,采矿业,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,yes,eligible_for_acceptance_if_pdf_explicitly_names_this_whitelisted_series,Standard,标准,Value-chain emissions accounting standard,价值链排放核算标准,Scope 3 categories are GHG Protocol-specific category language.,Scope 3 类别是 GHG Protocol 特有的类别口径。,Scope 3 and Scope 3 category names are only used for GHG Protocol evidence.,Scope 3 及十五类类别口径只在 GHG Protocol 证据下使用。,explicit_series_citation,corporate value chain\s*\(scope 3\),6,99 | 102 | 344,shell-annual-report-2024.pdf,pdf_explicit_series_citation,pdf_page_backfill,"distribution [E, F] 3 3 3 — Scope 3, Category 11: use of sold products [G] 845 878 909 1,252 1,084 1,123 1,163 1,520 [A] Categorised using the definitions from the GHG Protocol's Corporate Value Chain (Scope 3) Standard. [B] Ipieca notes that due to the diversity of Scope 3 emissions, sources and the fact that these emissions occur outside the company's bou…","distribution [E, F] 3 3 3 — Scope 3, Category 11: use of sold products [G] 845 878 909 1,252 1,084 1,123 1,163 1,520 [A] Categorised using the definitions from the GHG Protocol's Corporate Value Chain (Scope 3) Standard. [B] Ipieca notes that due to the diversity of Scope 3 emissions, sources and the fact that these emissions occur outside the company's bou…",May be used as an accepted company-to-GHG-fine-series edge. Scope wording is allowed only inside this GHG Protocol evidence context.,可作为已采信的企业-GHG 细分系列关系。Scope 术语只允许在该 GHG Protocol 证据语境下使用。
GHG-SERIES-ACCEPTED-0010,accepted_explicit_named_series_edge,accepted,source_text_explicitly_names_this_ghg_protocol_series,r016_mckesson,16,MCKESSON,麦克森公司,F,Wholesale and Retail Trade,批发和零售业,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,GHG Protocol 企业核算与报告标准,yes,eligible_for_acceptance_if_pdf_explicitly_names_this_whitelisted_series,Standard,标准,Corporate inventory accounting standard,企业组织层面清单核算标准,"Relevance, completeness, consistency, transparency, and accuracy.",相关性、完整性、一致性、透明性和准确性。,"Within GHG Protocol evidence, this may define Scope 1 and Scope 2 corporate inventory boundaries.",仅在 GHG Protocol 证据下使用 Scope 1/2 的组织层面清单口径。,explicit_series_citation,corporate accounting and reporting standard,6,44 | 66,McKesson Impact Report 2024.pdf,pdf_explicit_series_citation,pdf_page_backfill,"lieves provide objective bases for measuring and reporting. Management of McKesson asserts that the GHG disclosures are presented in accordance with the Greenhouse Gas Protocol: A Corporate Accounting and Reporting Standard (Revised Edition), published by the World Resources Institute/ World Business Council for Sustainable Development (the ‘GHG Protocol”).…","lieves provide objective bases for measuring and reporting. Management of McKesson asserts that the GHG disclosures are presented in accordance with the Greenhouse Gas Protocol: A Corporate Accounting and Reporting Standard (Revised Edition), published by the World Resources Institute/ World Business Council for Sustainable Development (the ‘GHG Protocol”).…",May be used as an accepted company-to-GHG-fine-series edge. Scope wording is allowed only inside this GHG Protocol evidence context.,可作为已采信的企业-GHG 细分系列关系。Scope 术语只允许在该 GHG Protocol 证据语境下使用。
