company_id,company_name,world500_rank,industry_section_code,industry_section_name_zh,industry_section_name_en,missing_reason,missing_scope1,missing_scope2,missing_scope3,missing_year,missing_unit,missing_boundary,next_action
r004_saudiaramco,SAUDI ARAMCO,4,B,采矿业,Mining,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r005_sinopecgroup,SINOPEC GROUP,5,C,制造业,Manufacturing,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r006_chinanationalpetroleum,CHINA NATIONAL PETROLEUM,6,B,采矿业,Mining,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r010_cvshealth公司,CVS Health,10,F,批发和零售业,Wholesale and Retail Trade,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r011_volkswagen,VOLKSWAGEN,11,C,制造业,Manufacturing,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r012_exxonmobil,EXXON MOBIL,12,B,采矿业,Mining,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r014_chinastateconstructionengineering,CHINA STATE CONSTRUCTION ENGINEERING,14,E,建筑业,Construction,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r015_toyotamotor,TOYOTA MOTOR,15,C,制造业,Manufacturing,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r016_mckesson,MCKESSON,16,F,批发和零售业,Wholesale and Retail Trade,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r017_alphabet公司,Alphabet,17,I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",partial_strong_evidence_total_excluded_from_complete_scope123_ranking,false,false,true,false,false,true,补齐缺失 Scope 或 Scope 2 方法后再入完整主榜
r018_cencora公司,Cencora,18,F,批发和零售业,Wholesale and Retail Trade,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r019_trafiguragroup,TRAFIGURA GROUP,19,F,批发和零售业,Wholesale and Retail Trade,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r020_costcowholesale,COSTCO WHOLESALE,20,F,批发和零售业,Wholesale and Retail Trade,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r021_jpmorganchase,JPMORGAN CHASE,21,J,金融业,Finance,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r022_industrialandcommercialbankofchina,INDUSTRIAL & COMMERCIAL BANK OF CHINA,22,J,金融业,Finance,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r023_totalenergies,TOTALENERGIES,23,B,采矿业,Mining,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r024_glencore,GLENCORE,24,B,采矿业,Mining,partial_strong_evidence_total_excluded_from_complete_scope123_ranking,false,true,true,false,false,true,补齐缺失 Scope 或 Scope 2 方法后再入完整主榜
r025_bp,BP,25,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r026_microsoft,MICROSOFT,26,I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r027_cardinalhealth,CARDINAL HEALTH,27,F,批发和零售业,Wholesale and Retail Trade,partial_strong_evidence_total_excluded_from_complete_scope123_ranking,false,true,true,false,false,true,补齐缺失 Scope 或 Scope 2 方法后再入完整主榜
r028_stellantis集团,Stellantis,28,C,制造业,Manufacturing,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r029_chevron,CHEVRON,29,B,采矿业,Mining,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r030_chinaconstructionbank,CHINA CONSTRUCTION BANK,30,J,金融业,Finance,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r031_samsungelectronics,SAMSUNG ELECTRONICS,31,C,制造业,Manufacturing,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r032_honhaiprecisionindustry,HON HAI PRECISION INDUSTRY,32,C,制造业,Manufacturing,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r033_cignagroup,CIGNA GROUP,33,J,金融业,Finance,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r034_agriculturalbankofchina,AGRICULTURAL BANK OF CHINA,34,J,金融业,Finance,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r035_chinarailwayengineeringgroup,CHINA RAILWAY ENGINEERING GROUP,35,E,建筑业,Construction,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r036_fordmotor,FORD MOTOR,36,C,制造业,Manufacturing,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r037_bankofchina,BANK OF CHINA,37,J,金融业,Finance,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r038_bankofamerica,BANK OF AMERICA,38,J,金融业,Finance,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r039_generalmotors,GENERAL MOTORS,39,C,制造业,Manufacturing,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r041_bmwgroup,BMW GROUP,41,C,制造业,Manufacturing,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r042_mercedesbenzgroup,MERCEDES-BENZ GROUP,42,C,制造业,Manufacturing,partial_strong_evidence_total_excluded_from_complete_scope123_ranking,false,true,true,false,false,true,补齐缺失 Scope 或 Scope 2 方法后再入完整主榜
r044_chinabaowusteelgroup,CHINA BAOWU STEEL GROUP,44,C,制造业,Manufacturing,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r045_citigroup,CITIGROUP,45,J,金融业,Finance,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r047_jdcom,JD.COM,47,F,批发和零售业,Wholesale and Retail Trade,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r049_electricitédefrance,ELECTRICITÉ DE FRANCE,49,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",partial_strong_evidence_total_excluded_from_complete_scope123_ranking,false,false,true,false,false,true,补齐缺失 Scope 或 Scope 2 方法后再入完整主榜
r050_marathonpetroleum,MARATHON PETROLEUM,50,C,制造业,Manufacturing,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r052_phillips66公司,Phillips 66,52,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r053_pinganinsurance,PING AN INSURANCE,53,J,金融业,Finance,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r054_sinochemholdings,SINOCHEM HOLDINGS,54,C,制造业,Manufacturing,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r055_chinamobilecommunications,CHINA MOBILE COMMUNICATIONS,55,I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r056_chinanationaloffshoreoil,CHINA NATIONAL OFFSHORE OIL,56,B,采矿业,Mining,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
r057_hondamotor,HONDA MOTOR,57,C,制造业,Manufacturing,no_complete_scope123_total_in_current_published_graph,true,true,true,true,true,true,回到企业报告核证页或排放表逐项核验 Scope 1、selected Scope 2、Scope 3、年份、单位和边界
