世界500强排名,企业ID,企业名称（中文）,Company Name (EN),国家/地区,行业,二级细分类型,Subtype (EN),优先级,名单下载状态字段,seed匹配状态,候选文件数,best_match_score,近似推荐文件,近似推荐得分,诊断信号,Diagnostic signals (EN),建议处理动作,Recommended action (EN),原始诊断说明,诊断规则
3,r003_stategrid,国家电网有限公司,STATE GRID,中国,公用设施,值得二次检索补库,Worth secondary retrieval and corpus backfill,high,P,seed_review_needed,9,13,,0,名单字段已标注报告下载状态：P；seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2024_ALLSTATE SustainabilityReport_FINAL.pdf；当前候选池仍有 9 个近似候选项；当前 best_match_score=13,Registry download-status field is populated: P; Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2024_ALLSTATE SustainabilityReport_FINAL.pdf; Current candidate pool still contains 9 approximate candidates; Current best_match_score=13,高优先：优先回查原始下载台账/文件转存是否遗漏；再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"High priority: First re-check the original download ledger or transfer directory for a missed file; Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“国家电网有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
43,r043_chinarailwayconstruction,中国铁道建筑集团有限公司,CHINA RAILWAY CONSTRUCTION,中国,工程与建筑,值得二次检索补库,Worth secondary retrieval and corpus backfill,high,P,seed_review_needed,4,13,,0,名单字段已标注报告下载状态：P；seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2024-CHINA VANKE-sustainability-report.pdf；当前候选池仍有 4 个近似候选项；当前 best_match_score=13,Registry download-status field is populated: P; Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2024-CHINA VANKE-sustainability-report.pdf; Current candidate pool still contains 4 approximate candidates; Current best_match_score=13,高优先：优先回查原始下载台账/文件转存是否遗漏；再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"High priority: First re-check the original download ledger or transfer directory for a missed file; Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“中国铁道建筑集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
171,r171_shenghongholdinggroup,盛虹控股集团有限公司,SHENGHONG HOLDING GROUP,中国,化学品,值得二次检索补库,Worth secondary retrieval and corpus backfill,high,P,seed_review_needed,51,13,,0,名单字段已标注报告下载状态：P；seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 51 个近似候选项；当前 best_match_score=13,Registry download-status field is populated: P; Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 51 approximate candidates; Current best_match_score=13,高优先：优先回查原始下载台账/文件转存是否遗漏；再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"High priority: First re-check the original download ledger or transfer directory for a missed file; Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“盛虹控股集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
232,r232_industrialbank,兴业银行股份有限公司,INDUSTRIAL BANK,中国,银行：商业储蓄,值得二次检索补库,Worth secondary retrieval and corpus backfill,high,P,seed_review_needed,11,13,,0,名单字段已标注报告下载状态：P；seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-BANK OF NEW YORK MELLON sustainability-report.pdf；当前候选池仍有 11 个近似候选项；当前 best_match_score=13,Registry download-status field is populated: P; Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-BANK OF NEW YORK MELLON sustainability-report.pdf; Current candidate pool still contains 11 approximate candidates; Current best_match_score=13,高优先：优先回查原始下载台账/文件转存是否遗漏；再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"High priority: First re-check the original download ledger or transfer directory for a missed file; Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“兴业银行股份有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
233,r233_poscoholdings,浦项制铁控股公司,POSCO HOLDINGS,韩国,金属产品,值得二次检索补库,Worth secondary retrieval and corpus backfill,high,P,seed_review_needed,9,16,,0,名单字段已标注报告下载状态：P；seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2024_SOMPO HOLDINGS_sustainability_report.pdf；当前候选池仍有 9 个近似候选项；当前 best_match_score=16,Registry download-status field is populated: P; Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2024_SOMPO HOLDINGS_sustainability_report.pdf; Current candidate pool still contains 9 approximate candidates; Current best_match_score=16,高优先：优先回查原始下载台账/文件转存是否遗漏；再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"High priority: First re-check the original download ledger or transfer directory for a missed file; Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“浦项制铁控股公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
256,r256_statepowerinvestment,国家电力投资集团有限公司,STATE POWER INVESTMENT,中国,能源,值得二次检索补库,Worth secondary retrieval and corpus backfill,high,P,seed_review_needed,10,13,,0,名单字段已标注报告下载状态：P；seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2024_ALLSTATE SustainabilityReport_FINAL.pdf；当前候选池仍有 10 个近似候选项；当前 best_match_score=13,Registry download-status field is populated: P; Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2024_ALLSTATE SustainabilityReport_FINAL.pdf; Current candidate pool still contains 10 approximate candidates; Current best_match_score=13,高优先：优先回查原始下载台账/文件转存是否遗漏；再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"High priority: First re-check the original download ledger or transfer directory for a missed file; Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“国家电力投资集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
274,r274_deutschebahn,德国联邦铁路公司,DEUTSCHE BAHN,德国,铁路运输,值得二次检索补库,Worth secondary retrieval and corpus backfill,high,P,seed_matched,2,16,nachhaltigkeitskennzahlen_DB_2024.pdf,27,名单字段已标注报告下载状态：P；seed 阶段出现过候选命中：seed_matched，seed 候选文件为 Deutsche_Bank_Annual_Report_2024.pdf；当前候选池仍有 2 个近似候选项；当前 best_match_score=16；review 队列里出现过近似推荐文件：nachhaltigkeitskennzahlen_DB_2024.pdf,Registry download-status field is populated: P; Seed stage produced a candidate hit: seed_matched; seed candidate file: Deutsche_Bank_Annual_Report_2024.pdf; Current candidate pool still contains 2 approximate candidates; Current best_match_score=16; Review queue contains a higher-scored approximate recommendation: nachhaltigkeitskennzahlen_DB_2024.pdf,高优先：优先回查原始下载台账/文件转存是否遗漏；再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"High priority: First re-check the original download ledger or transfer directory for a missed file; Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“德国联邦铁路公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
362,r362_generaldynamics,通用动力,GENERAL DYNAMICS,美国,航天与防务,值得二次检索补库,Worth secondary retrieval and corpus backfill,high,P,seed_review_needed,2,13,,0,名单字段已标注报告下载状态：P；seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 GENERAL ELECTRIC-Aerospace 2025-sustainability-report.pdf；当前候选池仍有 2 个近似候选项；当前 best_match_score=13,Registry download-status field is populated: P; Seed stage produced a candidate hit: seed_review_needed; seed candidate file: GENERAL ELECTRIC-Aerospace 2025-sustainability-report.pdf; Current candidate pool still contains 2 approximate candidates; Current best_match_score=13,高优先：优先回查原始下载台账/文件转存是否遗漏；再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"High priority: First re-check the original download ledger or transfer directory for a missed file; Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“通用动力”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
383,r383_jiangsushaganggroup,江苏沙钢集团有限公司,JIANGSU SHAGANG GROUP,中国,金属产品,值得二次检索补库,Worth secondary retrieval and corpus backfill,high,P,seed_review_needed,41,13,,0,名单字段已标注报告下载状态：P；seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 41 个近似候选项；当前 best_match_score=13,Registry download-status field is populated: P; Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 41 approximate candidates; Current best_match_score=13,高优先：优先回查原始下载台账/文件转存是否遗漏；再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"High priority: First re-check the original download ledger or transfer directory for a missed file; Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“江苏沙钢集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
393,r393_fairfaxfinancialholdings,加拿大枫信金融控股公司,FAIRFAX FINANCIAL HOLDINGS,加拿大,财产与意外保险（股份）,值得二次检索补库,Worth secondary retrieval and corpus backfill,high,名字有误,seed_review_needed,19,16,,0,名单字段已标注报告下载状态：名字有误；seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2024_SOMPO HOLDINGS_sustainability_report.pdf；当前候选池仍有 19 个近似候选项；当前 best_match_score=16,Registry download-status field is populated: 名字有误; Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2024_SOMPO HOLDINGS_sustainability_report.pdf; Current candidate pool still contains 19 approximate candidates; Current best_match_score=16,高优先：优先回查原始下载台账/文件转存是否遗漏；再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"High priority: First re-check the original download ledger or transfer directory for a missed file; Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“加拿大枫信金融控股公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
