priority_rank,priority_group,priority_group_zh,world500_rank,company_id,company_name_en,company_name_zh,readiness_status,readiness_status_zh,readiness_score,readiness_score_max,missing_requirement_count,primary_workstream,primary_workstream_zh,missing_workstreams,missing_workstreams_zh,missing_requirement_keys,missing_requirement_zh,direct_scope_set,scope_candidate_count,scope3_candidate_count,scope3_category_count,next_action_zh,acceptance_note_zh
1,P1_near_ready_candidate_review,优先核验高分候选公司,91,r091_equinor公司,Equinor,Equinor,candidate_or_partial,候选或部分满足,11,14,3,P2_scope3_category_values,P2 Scope 3 15 类类别值/筛查,P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,Scope 1|Scope 2|Scope 3,0,0,13,优先人工核验候选数值，确认边界、年份、单位、口径和原文页码后提升为直接采信层，再补 Scope 3 15 类、因子、GWP、能耗、经济工具和目标链。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
2,P1_near_ready_candidate_review,优先核验高分候选公司,168,r168_torontodominionbank,TORONTO-DOMINION BANK,多伦多道明银行,candidate_or_partial,候选或部分满足,11,14,3,P2_scope3_category_values,P2 Scope 3 15 类类别值/筛查,P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,Scope 1|Scope 2|Scope 3,1,0,2,优先人工核验候选数值，确认边界、年份、单位、口径和原文页码后提升为直接采信层，再补 Scope 3 15 类、因子、GWP、能耗、经济工具和目标链。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
3,P1_near_ready_candidate_review,优先核验高分候选公司,297,r297_sanofi,SANOFI,赛诺菲,candidate_or_partial,候选或部分满足,11,14,3,P2_scope3_category_values,P2 Scope 3 15 类类别值/筛查,P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,Scope 1|Scope 2|Scope 3,0,0,9,优先人工核验候选数值，确认边界、年份、单位、口径和原文页码后提升为直接采信层，再补 Scope 3 15 类、因子、GWP、能耗、经济工具和目标链。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
4,P1_near_ready_candidate_review,优先核验高分候选公司,350,r350_telefónica,TELEFÓNICA,西班牙电话公司,candidate_or_partial,候选或部分满足,11,14,3,P2_scope3_category_values,P2 Scope 3 15 类类别值/筛查,P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,Scope 1|Scope 2|Scope 3,0,4,5,优先人工核验候选数值，确认边界、年份、单位、口径和原文页码后提升为直接采信层，再补 Scope 3 15 类、因子、GWP、能耗、经济工具和目标链。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
5,P1_near_ready_candidate_review,优先核验高分候选公司,480,r480_ecopetrol,ECOPETROL,哥伦比亚国家石油公司,candidate_or_partial,候选或部分满足,11,14,3,P2_scope3_category_values,P2 Scope 3 15 类类别值/筛查,P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,Scope 1|Scope 2|Scope 3,0,0,2,优先人工核验候选数值，确认边界、年份、单位、口径和原文页码后提升为直接采信层，再补 Scope 3 15 类、因子、GWP、能耗、经济工具和目标链。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
6,P1_near_ready_candidate_review,优先核验高分候选公司,7,r007_apple,APPLE,苹果公司,candidate_or_partial,候选或部分满足,10,14,4,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,Scope 1|Scope 2|Scope 3,0,0,6,优先人工核验候选数值，确认边界、年份、单位、口径和原文页码后提升为直接采信层，再补 Scope 3 15 类、因子、GWP、能耗、经济工具和目标链。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
7,P1_near_ready_candidate_review,优先核验高分候选公司,13,r013_shell,SHELL,壳牌公司,candidate_or_partial,候选或部分满足,10,14,4,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,Scope 1|Scope 2,1,8,4,优先人工核验候选数值，确认边界、年份、单位、口径和原文页码后提升为直接采信层，再补 Scope 3 15 类、因子、GWP、能耗、经济工具和目标链。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
8,P1_near_ready_candidate_review,优先核验高分候选公司,17,r017_alphabet公司,Alphabet,Alphabet,candidate_or_partial,候选或部分满足,10,14,4,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,Scope 1|Scope 2|Scope 3,0,8,8,优先人工核验候选数值，确认边界、年份、单位、口径和原文页码后提升为直接采信层，再补 Scope 3 15 类、因子、GWP、能耗、经济工具和目标链。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
9,P1_near_ready_candidate_review,优先核验高分候选公司,96,r096_nestlé,NESTLÉ,雀巢公司,candidate_or_partial,候选或部分满足,10,14,4,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,Scope 1|Scope 2,1,0,0,优先人工核验候选数值，确认边界、年份、单位、口径和原文页码后提升为直接采信层，再补 Scope 3 15 类、因子、GWP、能耗、经济工具和目标链。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
10,P1_near_ready_candidate_review,优先核验高分候选公司,125,r125_ptt,PTT,泰国国家石油有限公司,candidate_or_partial,候选或部分满足,10,14,4,P2_scope3_category_values,P2 Scope 3 15 类类别值/筛查,P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_scope3_15_category_layer|has_emission_factor_application|has_energy_consumption_fact|has_target_progress_chain,Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有能耗事实；目标-基准-进度链完整,Scope 1|Scope 2|Scope 3,0,0,0,优先人工核验候选数值，确认边界、年份、单位、口径和原文页码后提升为直接采信层，再补 Scope 3 15 类、因子、GWP、能耗、经济工具和目标链。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
11,P1_near_ready_candidate_review,优先核验高分候选公司,264,r264_riotintogroup,RIO TINTO GROUP,力拓集团,candidate_or_partial,候选或部分满足,10,14,4,P2_direct_emission_values,P2 Scope 1/2/3 直接采信值,P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_direct_scope_1_2_3|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,Scope 1/2/3 均有直接采信绝对值；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,Scope 3,3,1,4,优先人工核验候选数值，确认边界、年份、单位、口径和原文页码后提升为直接采信层，再补 Scope 3 15 类、因子、GWP、能耗、经济工具和目标链。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
