sankey_flow_key,company_id,company_name_en,company_name_zh,world500_rank,industry_section_code,industry_section_name_zh,industry_section_name_en,company_workbench_industry_section_code,company_workbench_industry_section_name_zh,company_workbench_industry_section_name_en,industry_consistency_status,standard_system,internal_standard_id,display_standard_name_zh,display_standard_name_en,decision_bucket,evidence_gate,evidence_mode,match_status,evidence_page,source_file,snippet_en,snippet_zh,confidence,review_status,matched_aliases
iso_14064::J,r252_bancobradesco,BANCO BRADESCO,巴西布拉德斯科银行,252,J,金融业,Finance,J,金融业,Finance,consistent_with_company_workbench,ISO,iso_14064,ISO 14064,ISO 14064,accepted,page_text_explicitly_names_standard_or_strong_alias,accepted_page_traceable_standard_source_link,explicit_standard_citation,46,2024 BANCO BRADESCO ESG Report.pdf,"Through the annual greenhouse gas inventory, we track the evolution of our operational emissions since 2006, following the guidelines of the ABNT ISO 14064-1 standard and, since 2008, incorporating the specifications of the Brazilian GHG Pr","Through the annual greenhouse gas inventory, we track the evolution of our operational emissions since 2006, following the guidelines of the ABNT ISO 14064-1...",medium,seed_batch_06,
iso_14064::F,r392_coop集团,Coop,Coop,392,F,批发和零售业,Wholesale and Retail Trade,F,批发和零售业,Wholesale and Retail Trade,consistent_with_company_workbench,ISO,iso_14064,ISO 14064,ISO 14064,accepted,page_text_explicitly_names_standard_or_strong_alias,accepted_page_traceable_standard_source_link,explicit_standard_citation,216,COOP GROUP Fortschrittsbericht-Nachhaltigkeit-2024_en.pdf,We used the “operational control” approach as per the Green­ house Gas (GHG) Protocol to calculate CO2e emissions. The Scope 3 emissions were calculated in accordance with ISO 14064 and the GHG Protocol guidelines. Detailed informa­ tion on,We used the “operational control” approach as per the Green­ house Gas (GHG) Protocol to calculate CO2e emissions. The Scope 3 emissions were calculated in a...,medium,seed_batch_08,
iso_14064::C,r444_quantacomputer,QUANTA COMPUTER,广达电脑公司,444,C,制造业,Manufacturing,C,制造业,Manufacturing,consistent_with_company_workbench,ISO,iso_14064,ISO 14064,ISO 14064,accepted,page_text_explicitly_names_standard_or_strong_alias,accepted_page_traceable_standard_source_link,explicit_standard_citation,14,Quanta_ESG_CN_2023.pdf,12 關於報告書 廣達承諾及利害關係人溝通 永續治理誠信經營 以人為本多元職場 關愛地球綠色永續 永續供應鏈管理 關愛社會文化均富 附錄 使命 聯合國永續目標 對應之廣達永續目標 2023年成果 環境保護 SDG 13 氣候行動 完備減緩調適行動，以因應 氣候變遷及其影響 致力減少廢棄物，降低對環境的 衝擊。 遵守各營運據點當地環保法規。 呼應全球控制升溫1.5℃，訂定並 達成科學減碳目標。 5. 各廠區均取得ISO 14064，ISO 14001。台灣、上海、重慶取得ISO,12 關於報告書 廣達承諾及利害關係人溝通 永續治理誠信經營 以人為本多元職場 關愛地球綠色永續 永續供應鏈管理 關愛社會文化均富 附錄 使命 聯合國永續目標 對應之廣達永續目標 2023年成果 環境保護 SDG 13 氣候行動 完備減緩調適行動，以因應 氣候變遷及其影響 致力減少廢棄物，降低對環境的 衝擊。 遵...,medium,seed_batch_14,
iso_14067::C,r451_crrcgroup,CRRC GROUP,中国中车集团有限公司,451,C,制造业,Manufacturing,C,制造业,Manufacturing,consistent_with_company_workbench,ISO,iso_14067,ISO 14067,ISO 14067,accepted,page_text_explicitly_names_standard_or_strong_alias,accepted_page_traceable_standard_source_link,explicit_standard_citation,49,中国中车2024ESG报告.pdf,48 ISO 14067 产品碳足迹证书 案例：公司举办碳资产碳足迹培训班 2024 年3 月，公司举办“碳资产碳足迹培训班”，65 家子公司共计124 人参 加。培训内容涉及碳市场现状与分析、碳资产交易与管理、绿电绿证申领、碳足迹 标准。 举办碳资产碳足迹培训班  零碳场景示范建设 开展零碳场景示范建设工作，打造4 个零碳工厂和5 个零碳车间。长客 股份公司、唐山公司2 家子公司荣获“2024 年中国工业碳达峰”“领跑者 企业”称号。  轨道交通装备绿色转型 持续促进能,48 ISO 14067 产品碳足迹证书 案例：公司举办碳资产碳足迹培训班 2024 年3 月，公司举办“碳资产碳足迹培训班”，65 家子公司共计124 人参 加。培训内容涉及碳市场现状与分析、碳资产交易与管理、绿电绿证申领、碳足迹 标准。 举办碳资产碳足迹培训班  零碳场景示范建设 开展零碳场景示范建设工作，...,medium,seed_batch_10,
gb_t_24067_2024::C,r467_tongweigroup,TONGWEI GROUP,通威集团有限公司,467,C,制造业,Manufacturing,C,制造业,Manufacturing,corrected_by_excel_industry_review,GB/T,gb_t_24067_2024,GB/T 24067-2024,GB/T 24067-2024,accepted,page_text_explicitly_names_standard_or_strong_alias,accepted_page_traceable_standard_source_link,explicit_standard_citation,14,2024 TONGWEI GROUP ESG report.pdf,"ng renew- able energy power production and consumption"". • In September 2024, MEE released the national standard GB/T 24067-2024, Greenhouse gases-Carbon footprint of products-Requirements and guidelines for quantiﬁcation. This standard suc","ng renew- able energy power production and consumption"". • In September 2024, MEE released the national standard GB/T 24067-2024, Greenhouse gases-Carbon foo...",medium,seed_batch_10,
iso_14067::B,r479_schlumberger,SCHLUMBERGER,斯伦贝谢公司,479,B,采矿业,Mining,B,采矿业,Mining,corrected_by_excel_industry_review,ISO,iso_14067,ISO 14067,ISO 14067,accepted,page_text_explicitly_names_standard_or_strong_alias,accepted_page_traceable_standard_source_link,explicit_standard_citation,16,SCHLUMBERGER-sustainability-report-2024.pdf,"Scope 3 in Our Value Chain continued The Environmental Steward (TES) Application Deployed in 2024 and to be adopted by all engineering teams, the TES app formalizes adherence to our ISO 14067-aligned Life Cycle Assessment (LCA) method, enab","Scope 3 in Our Value Chain continued The Environmental Steward (TES) Application Deployed in 2024 and to be adopted by all engineering teams, the TES app for...",medium,seed_batch_10,
iso_14064::B,r480_ecopetrol,ECOPETROL,哥伦比亚国家石油公司,480,B,采矿业,Mining,B,采矿业,Mining,consistent_with_company_workbench,ISO,iso_14064,ISO 14064,ISO 14064,accepted,page_text_explicitly_names_standard_or_strong_alias,accepted_page_traceable_standard_source_link,explicit_standard_citation,297,2024-ECOPETROL-integrated-management-report.pdf,"st prevention, revenues, tax incentives, among others 132,600,000,000 243,000,000,000 431,403,799,438 % of operations covered 100 100 100 Climate Change Ecopetrol’s atmospheric emissions inventory is structured in accordance with ISO 14064-","st prevention, revenues, tax incentives, among others 132,600,000,000 243,000,000,000 431,403,799,438 % of operations covered 100 100 100 Climate Change Ecop...",medium,seed_batch_10,
ghg_corporate_standard::F,r001_walmart,WALMART,沃尔玛,1,F,批发和零售业,Wholesale and Retail Trade,F,批发和零售业,Wholesale and Retail Trade,consistent_with_company_workbench,GHG Protocol,ghg_corporate_standard,GHG Protocol 企业核算与报告标准,GHG Protocol Corporate Accounting and Reporting Standard,accepted,source_text_explicitly_names_this_ghg_protocol_series,accepted_explicit_ghg_fine_series_edge,explicit_series_citation,7,FY2025-Walmart-ESG-Report.pdf,pleteness|Consistency|Transparency|Accuracy 相关性|完整性|一致性|透明性|准确性 rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard rting Walmart Inc. calculates its GHG emissions footpr…,pleteness|Consistency|Transparency|Accuracy 相关性|完整性|一致性|透明性|准确性 rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard rting Walmart Inc. calculates its GHG emissions footpr…,medium,accepted_explicit_named_series_edge,corporate accounting and reporting standard
ghg_scope3_standard::F,r001_walmart,WALMART,沃尔玛,1,F,批发和零售业,Wholesale and Retail Trade,F,批发和零售业,Wholesale and Retail Trade,consistent_with_company_workbench,GHG Protocol,ghg_scope3_standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,accepted,source_text_explicitly_names_this_ghg_protocol_series,accepted_explicit_ghg_fine_series_edge,explicit_series_citation,7 | 34,FY2025-Walmart-ESG-Report.pdf,|准确性 rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol…,|准确性 rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol…,medium,accepted_explicit_named_series_edge,corporate value chain\s*\(scope 3\)
ghg_corporate_standard::J,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,8,J,金融业,Finance,J,金融业,Finance,consistent_with_company_workbench,GHG Protocol,ghg_corporate_standard,GHG Protocol 企业核算与报告标准,GHG Protocol Corporate Accounting and Reporting Standard,accepted,source_text_explicitly_names_this_ghg_protocol_series,accepted_explicit_ghg_fine_series_edge,explicit_series_citation,33 | 80,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,"of our new science-aligned climate targets, we have re-established all climate targets and recasted the following values with a 2023 base year. In accordance with the GHG Protocol Corporate Accounting and Reporting Standard, Scope 3 Standard and the Science Based Targets initiative’s Corporate Near-Term Criteria, these base year values will be subject to re…","of our new science-aligned climate targets, we have re-established all climate targets and recasted the following values with a 2023 base year. In accordance with the GHG Protocol Corporate Accounting and Reporting Standard, Scope 3 Standard and the Science Based Targets initiative’s Corporate Near-Term Criteria, these base year values will be subject to re…",pdf_page_backfill,accepted_explicit_named_series_edge,corporate accounting and reporting standard
