company_id,company_name_en,company_name_zh,rank,world500_rank,source_file,source_path,page,snippet_or_recognition_basis,snippet_en,snippet_zh,recognition_basis_en,recognition_basis_zh,acceptance_status,acceptance_status_en,acceptance_status_zh,recommended_action,not_accepted_review_bucket,carbon_signal_in_rejected_text,evidence_category_key,fact_type_en,label_en,value_text,unit,review_status,carbon_context_detected,reviewer_decision,reviewer_note
r001_walmart,WALMART,沃尔玛,1,1,FY2025-Walmart-ESG-Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\FY2025-Walmart-ESG-Report.pdf,101,"Sustainability Community Ethics & Integrity Opportunity Our People: Associate Experiences and Paths of OpportunityMTT_ATT Overall Workforce Metric FY2025 FY2024 FY2023 Framework/Goal Alignment People employed, worldwide ~2.1 million ~2.1 mi","Sustainability Community Ethics & Integrity Opportunity Our People: Associate Experiences and Paths of OpportunityMTT_ATT Overall Workforce Metric FY2025 FY2024 FY2023 Framework/Goal Alignment People employed, worldwide ~2.1 million ~2.1 mi",Sustainability Community Ethics & Integrity Opportunity Our People: Associate Experiences and Paths of OpportunityMTT_ATT Overall Workforce Metric FY2025 FY2...,Structured standard tag: GRI; Standard role: Disclosure standard,结构化标准标注：GRI；标准角色：披露标准,not_accepted_non_carbon_context,Rejected: no clear carbon / GHG / Scope context,不可采信：缺少明确碳/GHG/Scope 语境,"Keep out of accepted accounting data. Re-check only for miscoding, source attribution, or missing carbon context; if useful, re-extract as a new candidate rather than upgrading this row.",true_reject_priority,no,not_accepted_evidence,Standard reference,GRI,,,seed_batch_01,False,,
r001_walmart,WALMART,沃尔玛,1,1,FY2025-Walmart-ESG-Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\FY2025-Walmart-ESG-Report.pdf,102,ustainability Community Ethics & Integrity Opportunity Our People: Associate Experiences and Paths of OpportunityMTT_ATT Workforce69 Metric FY2025 Framework/Goal Alignment Global Workforce­—Associates by country Africa 1.4% SASB CG-MR-330a.,ustainability Community Ethics & Integrity Opportunity Our People: Associate Experiences and Paths of OpportunityMTT_ATT Workforce69 Metric FY2025 Framework/Goal Alignment Global Workforce­—Associates by country Africa 1.4% SASB CG-MR-330a.,ustainability Community Ethics & Integrity Opportunity Our People: Associate Experiences and Paths of OpportunityMTT_ATT Workforce69 Metric FY2025 Framework/...,Structured standard tag: SASB; Standard role: Disclosure guideline,结构化标准标注：SASB；标准角色：披露指引,not_accepted_non_carbon_context,Rejected: no clear carbon / GHG / Scope context,不可采信：缺少明确碳/GHG/Scope 语境,"Keep out of accepted accounting data. Re-check only for miscoding, source attribution, or missing carbon context; if useful, re-extract as a new candidate rather than upgrading this row.",true_reject_priority,no,not_accepted_evidence,Standard reference,SASB,,,seed_batch_01,False,,
r002_amazoncom,AMAZON.COM,亚马逊,2,2,2024-amazon-sustainability-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2024-amazon-sustainability-report.pdf,3,"he trust of our stakeholders. Framework Disclosures In addition to this report, we share our Sustainability Reporting Framework Summary on our website, which includes our 2024 performance against reporting frameworks including the Global Re","he trust of our stakeholders. Framework Disclosures In addition to this report, we share our Sustainability Reporting Framework Summary on our website, which includes our 2024 performance against reporting frameworks including the Global Re","he trust of our stakeholders. Framework Disclosures In addition to this report, we share our Sustainability Reporting Framework Summary on our website, which...",Structured standard tag: GRI; Standard role: Disclosure standard,结构化标准标注：GRI；标准角色：披露标准,not_accepted_non_carbon_context,Rejected: no clear carbon / GHG / Scope context,不可采信：缺少明确碳/GHG/Scope 语境,"Keep out of accepted accounting data. Re-check only for miscoding, source attribution, or missing carbon context; if useful, re-extract as a new candidate rather than upgrading this row.",true_reject_priority,no,not_accepted_evidence,Standard reference,GRI,,,seed_batch_13,False,,
r002_amazoncom,AMAZON.COM,亚马逊,2,2,2024-amazon-sustainability-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2024-amazon-sustainability-report.pdf,3,"he trust of our stakeholders. Framework Disclosures In addition to this report, we share our Sustainability Reporting Framework Summary on our website, which includes our 2024 performance against reporting frameworks including the Global Re","he trust of our stakeholders. Framework Disclosures In addition to this report, we share our Sustainability Reporting Framework Summary on our website, which includes our 2024 performance against reporting frameworks including the Global Re","he trust of our stakeholders. Framework Disclosures In addition to this report, we share our Sustainability Reporting Framework Summary on our website, which...",Structured standard tag: SASB; Standard role: Disclosure guideline,结构化标准标注：SASB；标准角色：披露指引,not_accepted_non_carbon_context,Rejected: no clear carbon / GHG / Scope context,不可采信：缺少明确碳/GHG/Scope 语境,"Keep out of accepted accounting data. Re-check only for miscoding, source attribution, or missing carbon context; if useful, re-extract as a new candidate rather than upgrading this row.",true_reject_priority,no,not_accepted_evidence,Standard reference,SASB,,,seed_batch_13,False,,
r006_chinanationalpetroleum,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,6,6,CNPC_2024_Social_Responsibility_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\CNPC_2024_Social_Responsibility_Report.pdf,2,报告更加客观、全面、重点反映公司的履责实践，2024年报告加强了对“能源转 型”“科技创新”“气候变化”等重要议题的披露；对贯彻落实国家“四个革命、一个合 作”能源安全新战略以及推动实施创新驱动发展战略进行了专题阐述；对所属企业履责情况 进行实地调研，核准企业案例的真实性；在报告编写过程中广泛听取各方意见和建议，积极 回应利益相关方关切。 指南参照 本报告按照国务院国有资产监督管理委员会《关于新时代中央企业高标准履行社会责任的指 导意见》相关要求，并参照全球可持续发展标准委员,报告更加客观、全面、重点反映公司的履责实践，2024年报告加强了对“能源转 型”“科技创新”“气候变化”等重要议题的披露；对贯彻落实国家“四个革命、一个合 作”能源安全新战略以及推动实施创新驱动发展战略进行了专题阐述；对所属企业履责情况 进行实地调研，核准企业案例的真实性；在报告编写过程中广泛听取各方意见和建议，积极 回应利益相关方关切。 指南参照 本报告按照国务院国有资产监督管理委员会《关于新时代中央企业高标准履行社会责任的指 导意见》相关要求，并参照全球可持续发展标准委员,报告更加客观、全面、重点反映公司的履责实践，2024年报告加强了对“能源转 型”“科技创新”“气候变化”等重要议题的披露；对贯彻落实国家“四个革命、一个合 作”能源安全新战略以及推动实施创新驱动发展战略进行了专题阐述；对所属企业履责情况 进行实地调研，核准企业案例的真实性；在报告编写过程中广泛听取各方意见和建议，...,Structured standard tag: GRI; Standard role: Disclosure standard,结构化标准标注：GRI；标准角色：披露标准,not_accepted_non_carbon_context,Rejected: no clear carbon / GHG / Scope context,不可采信：缺少明确碳/GHG/Scope 语境,"Re-check this rejected standard-reference row because the snippet still contains a carbon/GHG/Scope signal. If the page truly supports a carbon-accounting fact, re-extract it as a new method/standard candidate with source context; do not directly promote this rejected row.",salvage_review,yes,not_accepted_evidence,Standard reference,GRI,,,seed_batch_11,False,,
r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,8,8,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\UNITEDHEALTH GROUP—2024-sustainability-report.pdf,85,"Sustainability Accounting Standards Board (SASB) Index The Sustainability Accounting Standards Board (SASB) is an independent, standards-setting organization that has developed voluntary industry-specific standards for companies to disclose","Sustainability Accounting Standards Board (SASB) Index The Sustainability Accounting Standards Board (SASB) is an independent, standards-setting organization that has developed voluntary industry-specific standards for companies to disclose","Sustainability Accounting Standards Board (SASB) Index The Sustainability Accounting Standards Board (SASB) is an independent, standards-setting organization...",Structured standard tag: SASB; Standard role: Disclosure guideline,结构化标准标注：SASB；标准角色：披露指引,not_accepted_non_carbon_context,Rejected: no clear carbon / GHG / Scope context,不可采信：缺少明确碳/GHG/Scope 语境,"Keep out of accepted accounting data. Re-check only for miscoding, source attribution, or missing carbon context; if useful, re-extract as a new candidate rather than upgrading this row.",true_reject_priority,no,not_accepted_evidence,Standard reference,SASB,,,seed_batch_01,False,,
r010_cvshealth公司,CVS Health,CVS Health,10,10,CVS Health-2024-Impact-Report-Appendix.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\CVS Health-2024-Impact-Report-Appendix.pdf,2,ritization Assessment 09 Stakeholder Engagement 12 United Nations Sustainable Development Goals 15 Tracking Our Progress 17 Human Capital Data 28 Our Commitment to Human Rights 35 Environmental Data Indices 40 About this Report 42 Global Re,ritization Assessment 09 Stakeholder Engagement 12 United Nations Sustainable Development Goals 15 Tracking Our Progress 17 Human Capital Data 28 Our Commitment to Human Rights 35 Environmental Data Indices 40 About this Report 42 Global Re,ritization Assessment 09 Stakeholder Engagement 12 United Nations Sustainable Development Goals 15 Tracking Our Progress 17 Human Capital Data 28 Our Commitm...,Structured standard tag: GRI; Standard role: Disclosure standard,结构化标准标注：GRI；标准角色：披露标准,not_accepted_non_carbon_context,Rejected: no clear carbon / GHG / Scope context,不可采信：缺少明确碳/GHG/Scope 语境,"Keep out of accepted accounting data. Re-check only for miscoding, source attribution, or missing carbon context; if useful, re-extract as a new candidate rather than upgrading this row.",true_reject_priority,no,not_accepted_evidence,Standard reference,GRI,,,seed_batch_01,False,,
r010_cvshealth公司,CVS Health,CVS Health,10,10,CVS Health-2024-Impact-Report-Appendix.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\CVS Health-2024-Impact-Report-Appendix.pdf,2,ritization Assessment 09 Stakeholder Engagement 12 United Nations Sustainable Development Goals 15 Tracking Our Progress 17 Human Capital Data 28 Our Commitment to Human Rights 35 Environmental Data Indices 40 About this Report 42 Global Re,ritization Assessment 09 Stakeholder Engagement 12 United Nations Sustainable Development Goals 15 Tracking Our Progress 17 Human Capital Data 28 Our Commitment to Human Rights 35 Environmental Data Indices 40 About this Report 42 Global Re,ritization Assessment 09 Stakeholder Engagement 12 United Nations Sustainable Development Goals 15 Tracking Our Progress 17 Human Capital Data 28 Our Commitm...,Structured standard tag: SASB; Standard role: Disclosure guideline,结构化标准标注：SASB；标准角色：披露指引,not_accepted_non_carbon_context,Rejected: no clear carbon / GHG / Scope context,不可采信：缺少明确碳/GHG/Scope 语境,"Keep out of accepted accounting data. Re-check only for miscoding, source attribution, or missing carbon context; if useful, re-extract as a new candidate rather than upgrading this row.",true_reject_priority,no,not_accepted_evidence,Standard reference,SASB,,,seed_batch_01,False,,
r011_volkswagen,VOLKSWAGEN,大众公司,11,11,2023_Volkswagen_Group_Sustainability_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2023_Volkswagen_Group_Sustainability_Report.pdf,3,Volkswagen Group Sustainability ­Communication 2023 A N N U A L R E P O R T 2023 S U S TA I N A B I L I T Y R E P O R T Information Accompanying the Reporting ESG KPIs Indicators along our focus topics are clearly presented in Excel. GRI i,Volkswagen Group Sustainability ­Communication 2023 A N N U A L R E P O R T 2023 S U S TA I N A B I L I T Y R E P O R T Information Accompanying the Reporting ESG KPIs Indicators along our focus topics are clearly presented in Excel. GRI i,Volkswagen Group Sustainability ­Communication 2023 A N N U A L R E P O R T 2023 S U S TA I N A B I L I T Y R E P O R T Information Accompanying the Reporti...,Structured standard tag: GRI; Standard role: Disclosure standard,结构化标准标注：GRI；标准角色：披露标准,not_accepted_non_carbon_context,Rejected: no clear carbon / GHG / Scope context,不可采信：缺少明确碳/GHG/Scope 语境,"Keep out of accepted accounting data. Re-check only for miscoding, source attribution, or missing carbon context; if useful, re-extract as a new candidate rather than upgrading this row.",true_reject_priority,no,not_accepted_evidence,Standard reference,GRI,,,seed_batch_01,False,,
r011_volkswagen,VOLKSWAGEN,大众公司,11,11,2023_Volkswagen_Group_Sustainability_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2023_Volkswagen_Group_Sustainability_Report.pdf,3,Volkswagen Group Sustainability ­Communication 2023 A N N U A L R E P O R T 2023 S U S TA I N A B I L I T Y R E P O R T Information Accompanying the Reporting ESG KPIs Indicators along our focus topics are clearly presented in Excel. GRI i,Volkswagen Group Sustainability ­Communication 2023 A N N U A L R E P O R T 2023 S U S TA I N A B I L I T Y R E P O R T Information Accompanying the Reporting ESG KPIs Indicators along our focus topics are clearly presented in Excel. GRI i,Volkswagen Group Sustainability ­Communication 2023 A N N U A L R E P O R T 2023 S U S TA I N A B I L I T Y R E P O R T Information Accompanying the Reporti...,Structured standard tag: SASB; Standard role: Disclosure guideline,结构化标准标注：SASB；标准角色：披露指引,not_accepted_non_carbon_context,Rejected: no clear carbon / GHG / Scope context,不可采信：缺少明确碳/GHG/Scope 语境,"Keep out of accepted accounting data. Re-check only for miscoding, source attribution, or missing carbon context; if useful, re-extract as a new candidate rather than upgrading this row.",true_reject_priority,no,not_accepted_evidence,Standard reference,SASB,,,seed_batch_01,False,,
