review_batch,priority,company_id,company_name_en,company_name_zh,sector_focus,field_checked,field_type,report_expected_value,asset_value,unit,evidence_page_expected,evidence_page_asset,source_file,source_kind,acceptance_tier,status,issue_label,reviewer_note
oil_gas_focus_2026-05-05,P0,r025_bp,BP,英国石油公司,Oil and gas,Scope 1 operational boundary,scope,32.8,32.8 MtCO2e,MtCO2e,50,50,bp-sustainability-report-2024.pdf,,A1 structured company-level absolute value; directly usable,asset_match,,BP selected sustainability metrics table; operational boundary.
oil_gas_focus_2026-05-05,P0,r025_bp,BP,英国石油公司,Oil and gas,Scope 2 market-based operational boundary,scope,0.8,0.8 MtCO2e,MtCO2e,50,50,bp-sustainability-report-2024.pdf,,A1 structured company-level absolute value; directly usable,asset_match,,BP selected sustainability metrics table; operational boundary.
oil_gas_focus_2026-05-05,P1,r025_bp,BP,英国石油公司,Oil and gas,Scope 1 equity boundary,scope,32.2,32.2 MtCO2e,MtCO2e,50,50,bp-sustainability-report-2024.pdf,,A1 structured company-level absolute value; directly usable,asset_match,,"Same table, equity boundary; keep separate from operational boundary."
oil_gas_focus_2026-05-05,P1,r025_bp,BP,英国石油公司,Oil and gas,Scope 2 market-based equity boundary,scope,1.3,1.3 MtCO2e,MtCO2e,50,50,bp-sustainability-report-2024.pdf,,A1 structured company-level absolute value; directly usable,asset_match,,"Same table, equity boundary; keep separate from operational boundary."
oil_gas_focus_2026-05-05,P1,r025_bp,BP,英国石油公司,Oil and gas,Scope 3 Category 11 upstream production carbon,scope3,322,,MtCO2,26,,bp-sustainability-report-2024.pdf,,,asset_missing,missing_numeric_candidate,"Boundary is retired upstream oil and gas production aim, not full-company Scope 3 total."
oil_gas_focus_2026-05-05,P0,r013_shell,SHELL,壳牌公司,Oil and gas,Scope 1 operational control,scope,50,50.0 MtCO2e,MtCO2e,109,109,shell-annual-report-2024.pdf,,A1 structured company-level absolute value; directly usable,asset_match,,"UK regulatory disclosure table, operational control boundary."
oil_gas_focus_2026-05-05,P0,r013_shell,SHELL,壳牌公司,Oil and gas,Scope 2 market-based operational control,scope,8,8.0 MtCO2e,MtCO2e,109,109,shell-annual-report-2024.pdf,,A1 structured company-level absolute value; directly usable,asset_match,,Market-based Scope 2 row.
oil_gas_focus_2026-05-05,P0,r013_shell,SHELL,壳牌公司,Oil and gas,Scope 2 location-based operational control,scope,8,8.0 MtCO2e,MtCO2e,109,109,shell-annual-report-2024.pdf,,A1 structured company-level absolute value; directly usable,asset_match,,Location-based Scope 2 row.
oil_gas_focus_2026-05-05,P0,r013_shell,SHELL,壳牌公司,Oil and gas,Scope 3 Category 11 use of sold products,scope3,845,845 MtCO2e,MtCO2e,99,99,shell-annual-report-2024.pdf,report_page_scan,C1 explicit category value with industry-comparable coverage; high-priority review,asset_match,,Main energy product sales Scope 3 category table.
oil_gas_focus_2026-05-05,P1,r013_shell,SHELL,壳牌公司,Oil and gas,Scope 3 Category 1 purchased goods and services,scope3,119,119 MtCO2e,MtCO2e,99,99,shell-annual-report-2024.pdf,report_page_scan,C1 explicit category value with industry-comparable coverage; high-priority review,asset_match,,Main energy product sales Scope 3 category table.
