review_priority,evidence_strength,match_status,company_id,world500_rank,company_name_en,company_name_zh,industry_section_code,industry_section_en,industry_section_zh,series_id,series_name_en,series_name_zh,core_whitelist,whitelist_gate,category_en,category_zh,role_en,role_zh,principle_en,principle_zh,language_policy_en,language_policy_zh,evidence_gate,matched_aliases,evidence_count,pages,source_files,sample_confidence,sample_review_status,sample_snippet_en,sample_snippet_zh
P0_upgrade_contextual_to_explicit,contextual_review_required,contextual_scope_inventory_mapping,r002_amazoncom,2,AMAZON.COM,亚马逊,F,Wholesale and Retail Trade,批发和零售业,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,GHG Protocol 企业核算与报告标准,yes,eligible_for_acceptance_if_pdf_explicitly_names_this_whitelisted_series,Standard,标准,Corporate inventory accounting standard,企业组织层面清单核算标准,"Relevance, completeness, consistency, transparency, and accuracy.",相关性、完整性、一致性、透明性和准确性。,"Within GHG Protocol evidence, this may define Scope 1 and Scope 2 corporate inventory boundaries.",仅在 GHG Protocol 证据下使用 Scope 1/2 的组织层面清单口径。,no_explicit_whitelisted_series_name_in_page_text,,3,16,2024-amazon-sustainability-report.pdf,medium,seed_batch_13,"mber of services, regions, and time periods, and this transparency allows customers to identify areas of higher emissions and implement targeted optimizations to reduce their footprint. We continued to advocate for updated carbon accounting","mber of services, regions, and time periods, and this transparency allows customers to identify areas of higher emissions and implement targeted optimization..."
P0_upgrade_contextual_to_explicit,contextual_review_required,contextual_scope_inventory_mapping,r002_amazoncom,2,AMAZON.COM,亚马逊,F,Wholesale and Retail Trade,批发和零售业,ghg_scope2_guidance,GHG Protocol Scope 2 Guidance,GHG Protocol Scope 2 指南,yes,eligible_for_acceptance_if_pdf_explicitly_names_this_whitelisted_series,Guidance,指南,Purchased electricity and energy method guidance,外购电力与能源口径指南,Location-based and market-based Scope 2 reporting are separated when cited.,原文显式引用时区分位置法与市场法 Scope 2 披露。,Scope 2 market-based and location-based language is treated as GHG-specific.,Scope 2 市场法/位置法术语只在 GHG Protocol 语境下使用。,no_explicit_whitelisted_series_name_in_page_text,,3,16,2024-amazon-sustainability-report.pdf,medium,seed_batch_13,"mber of services, regions, and time periods, and this transparency allows customers to identify areas of higher emissions and implement targeted optimizations to reduce their footprint. We continued to advocate for updated carbon accounting","mber of services, regions, and time periods, and this transparency allows customers to identify areas of higher emissions and implement targeted optimization..."
P0_upgrade_contextual_to_explicit,contextual_review_required,contextual_scope_inventory_mapping,r002_amazoncom,2,AMAZON.COM,亚马逊,F,Wholesale and Retail Trade,批发和零售业,ghg_scope3_calculation_guidance,GHG Protocol Scope 3 Calculation Guidance,GHG Protocol Scope 3 计算指南,yes,eligible_for_acceptance_if_pdf_explicitly_names_this_whitelisted_series,Guidance,指南,Scope 3 inventory calculation guidance,Scope 3 清单计算指南,Companion calculation guidance for completing Scope 3 inventories.,配套计算指南，用于完成 Scope 3 清单。,Scope 3 categories are GHG-specific and only shown when the source uses that wording.,Scope 3 类别是 GHG 特有口径，仅在原文如此使用时展示。,no_explicit_whitelisted_series_name_in_page_text,,3,16,2024-amazon-sustainability-report.pdf,medium,seed_batch_13,"mber of services, regions, and time periods, and this transparency allows customers to identify areas of higher emissions and implement targeted optimizations to reduce their footprint. We continued to advocate for updated carbon accounting","mber of services, regions, and time periods, and this transparency allows customers to identify areas of higher emissions and implement targeted optimization..."
P0_upgrade_contextual_to_explicit,contextual_review_required,contextual_scope_inventory_mapping,r002_amazoncom,2,AMAZON.COM,亚马逊,F,Wholesale and Retail Trade,批发和零售业,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,yes,eligible_for_acceptance_if_pdf_explicitly_names_this_whitelisted_series,Standard,标准,Value-chain emissions accounting standard,价值链排放核算标准,Scope 3 categories are GHG Protocol-specific category language.,Scope 3 类别是 GHG Protocol 特有的类别口径。,Scope 3 and Scope 3 category names are only used for GHG Protocol evidence.,Scope 3 及十五类类别口径只在 GHG Protocol 证据下使用。,no_explicit_whitelisted_series_name_in_page_text,,3,16,2024-amazon-sustainability-report.pdf,medium,seed_batch_13,"mber of services, regions, and time periods, and this transparency allows customers to identify areas of higher emissions and implement targeted optimizations to reduce their footprint. We continued to advocate for updated carbon accounting","mber of services, regions, and time periods, and this transparency allows customers to identify areas of higher emissions and implement targeted optimization..."
P0_upgrade_contextual_to_explicit,contextual_review_required,contextual_scope_inventory_mapping,r007_apple,7,APPLE,苹果公司,C,Manufacturing,制造业,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,GHG Protocol 企业核算与报告标准,yes,eligible_for_acceptance_if_pdf_explicitly_names_this_whitelisted_series,Standard,标准,Corporate inventory accounting standard,企业组织层面清单核算标准,"Relevance, completeness, consistency, transparency, and accuracy.",相关性、完整性、一致性、透明性和准确性。,"Within GHG Protocol evidence, this may define Scope 1 and Scope 2 corporate inventory boundaries.",仅在 GHG Protocol 证据下使用 Scope 1/2 的组织层面清单口径。,no_explicit_whitelisted_series_name_in_page_text,,3,100,Apple_Environmental_Progress_Report_2025.pdf,medium,seed_batch_01,"ee data center in Iowa, bringing our total Apple-owned data center count to eight. We worked with local partners, including the City of Waukee and MidAmerican Energy, to source and provide wind energy for the site. 4 Emissions avoided are c","ee data center in Iowa, bringing our total Apple-owned data center count to eight. We worked with local partners, including the City of Waukee and MidAmerica..."
P0_upgrade_contextual_to_explicit,contextual_review_required,contextual_scope_inventory_mapping,r007_apple,7,APPLE,苹果公司,C,Manufacturing,制造业,ghg_product_standard,GHG Protocol Product Life Cycle Accounting and Reporting Standard,GHG Protocol 产品生命周期核算与报告标准,yes,eligible_for_acceptance_if_pdf_explicitly_names_this_whitelisted_series,Standard,标准,Product life-cycle accounting standard,产品生命周期核算标准,Product-level life-cycle boundary; not a corporate Scope 1/2/3 total by itself.,产品层生命周期边界，本身不等同于企业 Scope 1/2/3 总量。,Use product life-cycle wording unless the source also cites corporate Scope accounting.,除非原文同时引用组织层 Scope 核算，否则使用产品生命周期口径。,no_explicit_whitelisted_series_name_in_page_text,,3,100,Apple_Environmental_Progress_Report_2025.pdf,medium,seed_batch_01,"ee data center in Iowa, bringing our total Apple-owned data center count to eight. We worked with local partners, including the City of Waukee and MidAmerican Energy, to source and provide wind energy for the site. 4 Emissions avoided are c","ee data center in Iowa, bringing our total Apple-owned data center count to eight. We worked with local partners, including the City of Waukee and MidAmerica..."
P0_upgrade_contextual_to_explicit,contextual_review_required,contextual_scope_inventory_mapping,r007_apple,7,APPLE,苹果公司,C,Manufacturing,制造业,ghg_scope2_guidance,GHG Protocol Scope 2 Guidance,GHG Protocol Scope 2 指南,yes,eligible_for_acceptance_if_pdf_explicitly_names_this_whitelisted_series,Guidance,指南,Purchased electricity and energy method guidance,外购电力与能源口径指南,Location-based and market-based Scope 2 reporting are separated when cited.,原文显式引用时区分位置法与市场法 Scope 2 披露。,Scope 2 market-based and location-based language is treated as GHG-specific.,Scope 2 市场法/位置法术语只在 GHG Protocol 语境下使用。,no_explicit_whitelisted_series_name_in_page_text,,3,100,Apple_Environmental_Progress_Report_2025.pdf,medium,seed_batch_01,"ee data center in Iowa, bringing our total Apple-owned data center count to eight. We worked with local partners, including the City of Waukee and MidAmerican Energy, to source and provide wind energy for the site. 4 Emissions avoided are c","ee data center in Iowa, bringing our total Apple-owned data center count to eight. We worked with local partners, including the City of Waukee and MidAmerica..."
P0_upgrade_contextual_to_explicit,contextual_review_required,contextual_scope_inventory_mapping,r007_apple,7,APPLE,苹果公司,C,Manufacturing,制造业,ghg_scope3_calculation_guidance,GHG Protocol Scope 3 Calculation Guidance,GHG Protocol Scope 3 计算指南,yes,eligible_for_acceptance_if_pdf_explicitly_names_this_whitelisted_series,Guidance,指南,Scope 3 inventory calculation guidance,Scope 3 清单计算指南,Companion calculation guidance for completing Scope 3 inventories.,配套计算指南，用于完成 Scope 3 清单。,Scope 3 categories are GHG-specific and only shown when the source uses that wording.,Scope 3 类别是 GHG 特有口径，仅在原文如此使用时展示。,no_explicit_whitelisted_series_name_in_page_text,,3,100,Apple_Environmental_Progress_Report_2025.pdf,medium,seed_batch_01,"ee data center in Iowa, bringing our total Apple-owned data center count to eight. We worked with local partners, including the City of Waukee and MidAmerican Energy, to source and provide wind energy for the site. 4 Emissions avoided are c","ee data center in Iowa, bringing our total Apple-owned data center count to eight. We worked with local partners, including the City of Waukee and MidAmerica..."
P0_upgrade_contextual_to_explicit,contextual_review_required,contextual_scope_inventory_mapping,r011_volkswagen,11,VOLKSWAGEN,大众公司,C,Manufacturing,制造业,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,GHG Protocol 企业核算与报告标准,yes,eligible_for_acceptance_if_pdf_explicitly_names_this_whitelisted_series,Standard,标准,Corporate inventory accounting standard,企业组织层面清单核算标准,"Relevance, completeness, consistency, transparency, and accuracy.",相关性、完整性、一致性、透明性和准确性。,"Within GHG Protocol evidence, this may define Scope 1 and Scope 2 corporate inventory boundaries.",仅在 GHG Protocol 证据下使用 Scope 1/2 的组织层面清单口径。,no_explicit_whitelisted_series_name_in_page_text,,3,62,2023_Volkswagen_Group_Sustainability_Report.pdf,medium,seed_batch_01,"inum content (since 2022). Transparency on CO₂ Emissions as a Basis for Improvements Every year, we calculate the Group’s carbon footprint using the Scope 1 to 3 inventory, in line with the requirements of the internationally accepted Green","inum content (since 2022). Transparency on CO₂ Emissions as a Basis for Improvements Every year, we calculate the Group’s carbon footprint using the Scope 1 ..."
P0_upgrade_contextual_to_explicit,contextual_review_required,contextual_scope_inventory_mapping,r011_volkswagen,11,VOLKSWAGEN,大众公司,C,Manufacturing,制造业,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,yes,eligible_for_acceptance_if_pdf_explicitly_names_this_whitelisted_series,Standard,标准,Value-chain emissions accounting standard,价值链排放核算标准,Scope 3 categories are GHG Protocol-specific category language.,Scope 3 类别是 GHG Protocol 特有的类别口径。,Scope 3 and Scope 3 category names are only used for GHG Protocol evidence.,Scope 3 及十五类类别口径只在 GHG Protocol 证据下使用。,no_explicit_whitelisted_series_name_in_page_text,,3,62,2023_Volkswagen_Group_Sustainability_Report.pdf,medium,seed_batch_01,"inum content (since 2022). Transparency on CO₂ Emissions as a Basis for Improvements Every year, we calculate the Group’s carbon footprint using the Scope 1 to 3 inventory, in line with the requirements of the internationally accepted Green","inum content (since 2022). Transparency on CO₂ Emissions as a Basis for Improvements Every year, we calculate the Group’s carbon footprint using the Scope 1 ..."
