priority,requirement_id,issue_id,company_id,company_name_en,company_name_zh,world500_rank,open_queue_rows,queue_files,queue_types,review_priorities,evidence_boundaries,acceptance_gate_en,safe_next_action_zh,safe_next_action_en,sample_source_files,sample_pages,sample_snippet_en
P0,R1_GHG_FINE_SERIES_AND_STANDARD_COMPANY_MAPPING,ghg_protocol_fine_series,r007_apple,APPLE,苹果公司,7,11,assets/data/world500/workbench/world500_ghg_contextual_series_review_queue.csv | assets/data/world500/workbench/world500_ghg_p1_named_series_missing_queue.csv | assets/data/world500/workbench/world500_ghg_p2_low_evidence_contextual_edge_queue.csv | assets/data/world500/workbench/world500_ghg_out_of_whitelist_series_review_queue.csv,P0_upgrade_contextual_to_explicit | P1_find_named_series_source | P1_named_series_missing_from_sample | P2_low_evidence_contextual_edge | P0_isolate_out_of_whitelist_ghg_reference,P0_upgrade_contextual_to_explicit | P1_find_named_series_source | P1_named_series_missing_from_sample | P2_low_evidence_contextual_edge | P0_isolate_out_of_whitelist_ghg_reference,,Only explicitly named GHG Protocol series citations can be upgraded to strong standard-company-series edges; contextual edges must stay review-only or be demoted.,逐条回到 PDF 页级证据，能显式命名具体 GHG 系列的升级；不能命名的降级或删除。,Return to page-level PDF text. Upgrade only if the concrete GHG Protocol series is explicitly named; otherwise keep review-only or demote the edge.,Apple_Environmental_Progress_Report_2025.pdf,100,"ee data center in Iowa, bringing our total Apple-owned data center count to eight. We worked with local partners, including the City of Waukee and MidAmerican Energy, to source and provide wind energy for the site. 4 Emissions avoided are c"
P0,R1_GHG_FINE_SERIES_AND_STANDARD_COMPANY_MAPPING,ghg_protocol_fine_series,r234_panasonicholdings,PANASONIC HOLDINGS,松下控股公司,234,11,assets/data/world500/workbench/world500_ghg_contextual_series_review_queue.csv | assets/data/world500/workbench/world500_ghg_p1_named_series_missing_queue.csv | assets/data/world500/workbench/world500_ghg_p2_low_evidence_contextual_edge_queue.csv | assets/data/world500/workbench/world500_ghg_out_of_whitelist_series_review_queue.csv,P0_upgrade_contextual_to_explicit | P1_find_named_series_source | P1_named_series_missing_from_sample | P2_low_evidence_contextual_edge | P0_isolate_out_of_whitelist_ghg_reference,P0_upgrade_contextual_to_explicit | P1_find_named_series_source | P1_named_series_missing_from_sample | P2_low_evidence_contextual_edge | P0_isolate_out_of_whitelist_ghg_reference,,Only explicitly named GHG Protocol series citations can be upgraded to strong standard-company-series edges; contextual edges must stay review-only or be demoted.,逐条回到 PDF 页级证据，能显式命名具体 GHG 系列的升级；不能命名的降级或删除。,Return to page-level PDF text. Upgrade only if the concrete GHG Protocol series is explicitly named; otherwise keep review-only or demote the edge.,2025_Sustainability Date Book PANASONIC HOLDINGS.pdf,17,on the ecosystem to become nature positive. (See page 68) - Procurement of sustainable raw materials. - Green space of operating units that contribute to biodiversity. - Products and services that contribute to biodiversity. *1 Classificati
P0,R1_GHG_FINE_SERIES_AND_STANDARD_COMPANY_MAPPING,ghg_protocol_fine_series,r011_volkswagen,VOLKSWAGEN,大众公司,11,10,assets/data/world500/workbench/world500_ghg_contextual_series_review_queue.csv | assets/data/world500/workbench/world500_ghg_p1_named_series_missing_queue.csv | assets/data/world500/workbench/world500_ghg_p2_low_evidence_contextual_edge_queue.csv,P0_upgrade_contextual_to_explicit | P1_find_named_series_source | P1_named_series_missing_from_sample | P2_low_evidence_contextual_edge,P0_upgrade_contextual_to_explicit | P1_find_named_series_source | P1_named_series_missing_from_sample | P2_low_evidence_contextual_edge,,Only explicitly named GHG Protocol series citations can be upgraded to strong standard-company-series edges; contextual edges must stay review-only or be demoted.,逐条回到 PDF 页级证据，能显式命名具体 GHG 系列的升级；不能命名的降级或删除。,Return to page-level PDF text. Upgrade only if the concrete GHG Protocol series is explicitly named; otherwise keep review-only or demote the edge.,2023_Volkswagen_Group_Sustainability_Report.pdf,62,"inum content (since 2022). Transparency on CO₂ Emissions as a Basis for Improvements Every year, we calculate the Group’s carbon footprint using the Scope 1 to 3 inventory, in line with the requirements of the internationally accepted Green"
P0,R1_GHG_FINE_SERIES_AND_STANDARD_COMPANY_MAPPING,ghg_protocol_fine_series,r061_valeroenergy,VALERO ENERGY,瓦莱罗能源公司,61,10,assets/data/world500/workbench/world500_ghg_contextual_series_review_queue.csv | assets/data/world500/workbench/world500_ghg_p1_named_series_missing_queue.csv | assets/data/world500/workbench/world500_ghg_p2_low_evidence_contextual_edge_queue.csv,P0_upgrade_contextual_to_explicit | P1_find_named_series_source | P1_named_series_missing_from_sample | P2_low_evidence_contextual_edge,P0_upgrade_contextual_to_explicit | P1_find_named_series_source | P1_named_series_missing_from_sample | P2_low_evidence_contextual_edge,,Only explicitly named GHG Protocol series citations can be upgraded to strong standard-company-series edges; contextual edges must stay review-only or be demoted.,逐条回到 PDF 页级证据，能显式命名具体 GHG 系列的升级；不能命名的降级或删除。,Return to page-level PDF text. Upgrade only if the concrete GHG Protocol series is explicitly named; otherwise keep review-only or demote the edge.,VALERO ENERGY-2024 ESG Report 0823 FINAL pages.pdf,14,"onducted in accordance with ISO 19011 or the equivalent. In 2023, more than 50 independent verifications were conducted on our low-carbon fuels production, some of which included a partial or full traceability review of the supply chain. Wh"
P0,R1_GHG_FINE_SERIES_AND_STANDARD_COMPANY_MAPPING,ghg_protocol_fine_series,r123_pepsico,PEPSICO,百事公司,123,10,assets/data/world500/workbench/world500_ghg_contextual_series_review_queue.csv | assets/data/world500/workbench/world500_ghg_p1_named_series_missing_queue.csv | assets/data/world500/workbench/world500_ghg_p2_low_evidence_contextual_edge_queue.csv,P0_upgrade_contextual_to_explicit | P1_find_named_series_source | P1_named_series_missing_from_sample | P2_low_evidence_contextual_edge,P0_upgrade_contextual_to_explicit | P1_find_named_series_source | P1_named_series_missing_from_sample | P2_low_evidence_contextual_edge,,Only explicitly named GHG Protocol series citations can be upgraded to strong standard-company-series edges; contextual edges must stay review-only or be demoted.,逐条回到 PDF 页级证据，能显式命名具体 GHG 系列的升级；不能命名的降级或删除。,Return to page-level PDF text. Upgrade only if the concrete GHG Protocol series is explicitly named; otherwise keep review-only or demote the edge.,PEPSICO-2024-esg-summary-esg-performance-metrics.pdf,21,"ith industry standards, advocating for supportive government policies and understanding the views of diverse stakeholders will influence the progress we are able to make in working towards our targets. 1 Goal tracks Scope 1 and 2 emissions"
P0,R1_GHG_FINE_SERIES_AND_STANDARD_COMPANY_MAPPING,ghg_protocol_fine_series,r140_tesco,TESCO,乐购,140,10,assets/data/world500/workbench/world500_ghg_contextual_series_review_queue.csv | assets/data/world500/workbench/world500_ghg_p1_named_series_missing_queue.csv | assets/data/world500/workbench/world500_ghg_p2_low_evidence_contextual_edge_queue.csv,P0_upgrade_contextual_to_explicit | P1_find_named_series_source | P1_named_series_missing_from_sample | P2_low_evidence_contextual_edge,P0_upgrade_contextual_to_explicit | P1_find_named_series_source | P1_named_series_missing_from_sample | P2_low_evidence_contextual_edge,,Only explicitly named GHG Protocol series citations can be upgraded to strong standard-company-series edges; contextual edges must stay review-only or be demoted.,逐条回到 PDF 页级证据，能显式命名具体 GHG 系列的升级；不能命名的降级或删除。,Return to page-level PDF text. Upgrade only if the concrete GHG Protocol series is explicitly named; otherwise keep review-only or demote the edge.,tesco-sustainability-report-2025.pdf,10,"Scope 3 methodology We continually work to improve our footprint data to comply with the SBTi guidelines and the GHG Protocol. Our footprint calculations were mainly based on secondary emissions factors, in line with the industry, but we’re"
P0,R1_GHG_FINE_SERIES_AND_STANDARD_COMPANY_MAPPING,ghg_protocol_fine_series,r183_airbus,AIRBUS,空中客车公司,183,10,assets/data/world500/workbench/world500_ghg_contextual_series_review_queue.csv | assets/data/world500/workbench/world500_ghg_p1_named_series_missing_queue.csv | assets/data/world500/workbench/world500_ghg_p2_low_evidence_contextual_edge_queue.csv,P0_upgrade_contextual_to_explicit | P1_find_named_series_source | P1_named_series_missing_from_sample | P2_low_evidence_contextual_edge,P0_upgrade_contextual_to_explicit | P1_find_named_series_source | P1_named_series_missing_from_sample | P2_low_evidence_contextual_edge,,Only explicitly named GHG Protocol series citations can be upgraded to strong standard-company-series edges; contextual edges must stay review-only or be demoted.,逐条回到 PDF 页级证据，能显式命名具体 GHG 系列的升级；不能命名的降级或删除。,Return to page-level PDF text. Upgrade only if the concrete GHG Protocol series is explicitly named; otherwise keep review-only or demote the edge.,AIRBUS-pm_38_711_711991-us758j55ai.pdf,4,". Calculation includes contractual instruments (Biomethane Guarantees of Origines) as part of Scope 1 emissions, calculated based on biomethane emission factors instead of natural gas. This approach will be refined as further related guidan"
P0,R1_GHG_FINE_SERIES_AND_STANDARD_COMPANY_MAPPING,ghg_protocol_fine_series,r195_americanexpress,AMERICAN EXPRESS,美国运通公司,195,10,assets/data/world500/workbench/world500_ghg_contextual_series_review_queue.csv | assets/data/world500/workbench/world500_ghg_p1_named_series_missing_queue.csv | assets/data/world500/workbench/world500_ghg_p2_low_evidence_contextual_edge_queue.csv,P0_upgrade_contextual_to_explicit | P1_find_named_series_source | P1_named_series_missing_from_sample | P2_low_evidence_contextual_edge,P0_upgrade_contextual_to_explicit | P1_find_named_series_source | P1_named_series_missing_from_sample | P2_low_evidence_contextual_edge,,Only explicitly named GHG Protocol series citations can be upgraded to strong standard-company-series edges; contextual edges must stay review-only or be demoted.,逐条回到 PDF 页级证据，能显式命名具体 GHG 系列的升级；不能命名的降级或删除。,Return to page-level PDF text. Upgrade only if the concrete GHG Protocol series is explicitly named; otherwise keep review-only or demote the edge.,AMERICAN EXPRESS_AXP_2023_2024_ESG_Report.pdf,66,uare feet; FTE: Full-time Equivalent; $M USD: millions of dollars. 2 Energy usage is based on a combination of metered energy consumption billing data and estimated energy consumption data based on energy intensity per square footage standa
P0,R1_GHG_FINE_SERIES_AND_STANDARD_COMPANY_MAPPING,ghg_protocol_fine_series,r416_mitsubishielectric,MITSUBISHI ELECTRIC,三菱电机股份有限公司,416,10,assets/data/world500/workbench/world500_ghg_contextual_series_review_queue.csv | assets/data/world500/workbench/world500_ghg_p1_named_series_missing_queue.csv | assets/data/world500/workbench/world500_ghg_p2_low_evidence_contextual_edge_queue.csv,P0_upgrade_contextual_to_explicit | P1_find_named_series_source | P1_named_series_missing_from_sample | P2_low_evidence_contextual_edge,P0_upgrade_contextual_to_explicit | P1_find_named_series_source | P1_named_series_missing_from_sample | P2_low_evidence_contextual_edge,,Only explicitly named GHG Protocol series citations can be upgraded to strong standard-company-series edges; contextual edges must stay review-only or be demoted.,逐条回到 PDF 页级证据，能显式命名具体 GHG 系列的升级；不能命名的降级或删除。,Return to page-level PDF text. Upgrade only if the concrete GHG Protocol series is explicitly named; otherwise keep review-only or demote the edge.,MITSUBISHI ELECTRIC integrated_report2024_en.pdf,69,"essage Value Creation Foundation Enhancement Data 68 Foundation Enhancement Metrics and Targets The Mitsubishi Electric Group calculates and tracks greenhouse gas emissions (Scope 1, 2 and 3) in its value chain. For calculation and assessme"
P0,R1_GHG_FINE_SERIES_AND_STANDARD_COMPANY_MAPPING,ghg_protocol_fine_series,r425_olamgroup,OLAM GROUP,新加坡奥兰集团,425,10,assets/data/world500/workbench/world500_ghg_contextual_series_review_queue.csv | assets/data/world500/workbench/world500_ghg_p1_named_series_missing_queue.csv | assets/data/world500/workbench/world500_ghg_p2_low_evidence_contextual_edge_queue.csv,P0_upgrade_contextual_to_explicit | P1_find_named_series_source | P1_named_series_missing_from_sample | P2_low_evidence_contextual_edge,P0_upgrade_contextual_to_explicit | P1_find_named_series_source | P1_named_series_missing_from_sample | P2_low_evidence_contextual_edge,,Only explicitly named GHG Protocol series citations can be upgraded to strong standard-company-series edges; contextual edges must stay review-only or be demoted.,逐条回到 PDF 页级证据，能显式命名具体 GHG 系列的升级；不能命名的降级或删除。,Return to page-level PDF text. Upgrade only if the concrete GHG Protocol series is explicitly named; otherwise keep review-only or demote the edge.,OLAM GROUP_annual_report_2024.pdf,99,"ions by 30.3% by 2030. Measuring Olam Group’s carbon footprint is the first step in informing our climate transition approach. To improve the accuracy of carbon footprint measurements, we use corporate footprint accounting tools and process"
