company_id,world500_rank,company_name_zh,company_name_en,diagnosis_category_zh,diagnosis_category_en,evidence_file,evidence_path,evidence_type,diagnosis_note_zh,diagnosis_note_en,confidence_level,diagnosis_rule
r170_shaanxicoalandchemicalindustry,170,陕西煤业化工集团有限责任公司,SHAANXI COAL & CHEMICAL INDUSTRY,仅发现子公司/关联主体文件,Only subsidiary or affiliated-entity files found,陕西煤业股份有限公司2024 年年度报告.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\陕西煤业股份有限公司2024 年年度报告.pdf,annual_report,库内仅发现“陕西煤业股份有限公司”年度报告，属于集团下属上市主体材料，不能直接等同于“陕西煤业化工集团”母公司主报告。,"Only the annual report of Shaanxi Coal Industry Co., Ltd. was found. This is a listed affiliated entity rather than the parent-group main report.",high,manual_affiliate_shaancxi_coal
r173_chinapolygroup,173,中国保利集团有限公司,CHINA POLY GROUP,仅发现子公司/关联主体文件,Only subsidiary or affiliated-entity files found,2024-保利发展可持续发展报告.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2024-保利发展可持续发展报告.pdf,sustainability_report,库内仅发现“保利发展”可持续发展报告，属于保利体系关联上市主体，不能直接作为“中国保利集团”母公司主报告。,"Only the sustainability report of Poly Developments was found. This is an affiliated listed entity, not the parent-group main report of China Poly Group.",high,manual_affiliate_poly_development
r385_cheryholdinggroup,385,奇瑞控股集团有限公司,CHERY HOLDING GROUP,仅发现子公司/关联主体文件,Only subsidiary or affiliated-entity files found,2024年奇瑞汽车esg报告.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2024年奇瑞汽车esg报告.pdf,other,库内仅见“奇瑞汽车”ESG 报告，属于奇瑞体系经营主体材料，不能直接等同于“奇瑞控股集团”母公司主报告。,Only the ESG report of Chery Automobile was found. It belongs to an operating entity in the Chery system and cannot be treated as the parent-group main report.,high,manual_affiliate_chery_auto
r429_hailianggroup,429,海亮集团有限公司,HAILIANG GROUP,仅发现子公司/关联主体文件,Only subsidiary or affiliated-entity files found,海亮股份：2024年度环境、社会及公司治理（ESG）报告.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\海亮股份：2024年度环境、社会及公司治理（ESG）报告.pdf,esg_report,库内仅发现“海亮股份”ESG 报告，属于上市子公司材料，不能直接等同于“海亮集团”母公司主报告。,Only the ESG report of Hailiang Shares was found. This is a listed subsidiary document rather than the parent-group main report.,high,manual_affiliate_hailiang_shares
r470_shouganggroup,470,首钢集团有限公司,SHOUGANG GROUP,仅发现子公司/关联主体文件,Only subsidiary or affiliated-entity files found,2024首钢股份可持续发展报告.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2024首钢股份可持续发展报告.pdf,sustainability_report,库内仅发现“首钢股份”可持续发展报告，属于集团下属上市主体材料，不能直接等同于“首钢集团”母公司主报告。,"Only the sustainability report of Shougang Co., Ltd. was found. This is a listed affiliated entity rather than the parent-group main report.",high,manual_affiliate_shougang_shares
r475_hunanironandsteelgroup,475,湖南钢铁集团有限公司,HUNAN IRON & STEEL GROUP,仅发现子公司/关联主体文件,Only subsidiary or affiliated-entity files found,000932_华菱钢铁_2025-03-22_华菱钢铁：湖南华菱钢铁股份有限公司2024年度可持续发展报告.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\000932_华菱钢铁_2025-03-22_华菱钢铁：湖南华菱钢铁股份有限公司2024年度可持续发展报告.pdf,sustainability_report,库内仅发现“湖南华菱钢铁股份有限公司”可持续发展报告，属于集团体系下上市主体材料，不能直接等同于“湖南钢铁集团”母公司主报告。,"Only the sustainability report of Hunan Valin Steel Co., Ltd. was found. This is an affiliated listed entity rather than the parent-group main report.",high,manual_affiliate_hualing
r102_gazprom,102,俄罗斯天然气工业股份公司,GAZPROM,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“俄罗斯天然气工业股份公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'GAZPROM'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r106_cofco,106,中粮集团有限公司,COFCO,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“中粮集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'COFCO'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r109_pemex,109,墨西哥石油公司,PEMEX,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“墨西哥石油公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'PEMEX'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r118_créditagricole,118,法国农业信贷银行,CRÉDIT AGRICOLE,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“法国农业信贷银行”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'CRÉDIT AGRICOLE'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r138_zhejiangrongshengholdinggroup,138,浙江荣盛控股集团有限公司,ZHEJIANG RONGSHENG HOLDING GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“浙江荣盛控股集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'ZHEJIANG RONGSHENG HOLDING GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
