action_rank,review_priority,world500_rank,company_id,company_name_en,company_name_zh,scope_en,scope_zh,basis_en,basis_zh,boundary_en,boundary_zh,value_text,unit_raw,value_mtco2e,needed_for_scope_1_2_3_completion,quick_win_for_direct_scope_completion,likely_reject_or_reextract,direct_scope_count,existing_direct_scope_set,verification_status,verification_reason_zh,source_kind,binding_mode,evidence_page,source_file,source_path,snippet_en,review_check_company_report,review_check_inventory_page,review_check_latest_year,review_check_unit,review_check_scope2_method,review_check_boundary,reviewer_decision,manual_emissions_ready,manual_note_zh
1,,13,r013_shell,SHELL,壳牌公司,Scope 3,范围3,,,,,154,MtCO2e,154.0,True,False,True,2,Scope 1|Scope 2,review_required,数值未锚定到已匹配报告页面全文；Scope 3 类别项或 Scope 1/2/3 合计项不能作为 Scope 3 总量采信；油气企业多口径数值需要人工边界复核,evidence_snippet_fallback,table_column_anchor,99,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,"See ""Basis of preparation - absolute Scope 1, 2 and 3 emissions"" on page 100-101. [D] In 2024, we revised Scope 3 Category 1 for 2023 (from 154 million tonnes CO2e to 130 million tonnes CO2e), for 2022 (from 144 million tonnes CO2e to 136 m",,,,,,,,,
2,,36,r036_fordmotor,FORD MOTOR,福特汽车公司,Scope 1,范围1,,,,,7,tCO2e,7e-06,True,False,True,2,Scope 2|Scope 3,review_required,缺少有效的 MtCO2e 折算值,report_page_anchor,year_table_row_anchor,237,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,"...f sold products - vehicle use (WTW) 7 292,127,000 Category 15 - Investments 3 - - 15,972,000 Scope 1 and 2 (market-based) Emissions from Unconsolidated Investee Facilities - - 322,000 Scope 3 Vehicle Use Emissions from Vehicles Sold by Unconsolidated Investees - - 15,650,000 Tota",,,,,,,,,
3,,36,r036_fordmotor,FORD MOTOR,福特汽车公司,Scope 1,范围1,,,Operational control boundary,运营控制边界,2,tCO2e,2e-06,True,False,True,2,Scope 2|Scope 3,review_required,缺少有效的 MtCO2e 折算值,report_page_anchor,table_column_anchor,192,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,"...port 2025 192 Gross Scopes 1, 2, 3, and Total GHG Emissions Footnote ESRS Metric 2024 Global Scope 1 GHG Emissions (metric tons CO2e) Gross Scope 1 GHG emissions 2 E1-6 44a & 48a 870,091 Consolidated accounting group E1-6 50a 870,091 Unconsolidated, where Ford has operational con",,,,,,,,,
4,,66,r066_metaplatforms公司,Meta Platforms,Meta Platforms,Scope 2,范围2,,,,,"1,658",tCO2e,0.001658,True,False,True,2,Scope 1|Scope 3,review_required,缺少有效的 MtCO2e 折算值；Scope 2 未明确市场法/位置法口径,report_page_scan,year_table_row_anchor,78,Meta-2024-Sustainability-Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\Meta-2024-Sustainability-Report.pdf,"...4,330,000 5,129,000 5,830,244 8,533,471 7,496,232 Scope 1 44,000 29,000 55,173 66,934 48,952 Scope 2 208,000 9,000 2,487 273 1,658 Scope 3 4,078,000 5,091,000 5,772,583 8,466,264 7,445,621 Location-based (in metric tons CO2e) 2019 2020 2021 2022 2023 Total 6,295,000 8,559,000 10,",,,,,,,,,
5,,195,r195_americanexpress,AMERICAN EXPRESS,美国运通公司,Scope 3,范围3,,,,,6,tCO2e,6e-06,True,False,True,2,Scope 1|Scope 2,review_required,缺少有效的 MtCO2e 折算值；Scope 3 类别项或 Scope 1/2/3 合计项不能作为 Scope 3 总量采信,report_page_scan,table_column_anchor,67,AMERICAN EXPRESS_AXP_2023_2024_ESG_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\AMERICAN EXPRESS_AXP_2023_2024_ESG_Report.pdf,"... (Location-Based) MTCO2e 93,687 85,188 Scope 2 - Indirect (Market-Based)4 MTCO2e 2,269 2,266 Scope 3 Category 5: Waste Generated in Operations5 MTCO2e 807 569 Category 6: Business Travel6 MTCO2e 18,064 11,454 Total Greenhouse Gas Emissions7 Total Scope 1 & 2 (Location-Based) Emis",,,,,,,,,
6,,317,r317_tokyoelectricpower,TOKYO ELECTRIC POWER,东京电力公司,Scope 3,范围3,,,,,0,ktCO2,,True,False,True,2,Scope 1|Scope 2,review_required,候选质量不是 high；单位不能稳定折算为 CO2e,report_page_scan,table_column_anchor,103,TOKYO ELECTRIC POWER TP2024_en_web_print.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\TOKYO ELECTRIC POWER TP2024_en_web_print.pdf,"...ssions (*1) Scope 1 ktCO2-eq 203 205 211 Scope 2 (location based) ktCO2-eq 5,773 4,913 5,981 Scope 3 ktCO2-eq － 106,401 116,330 C1.0 Land/freshwater/ocean- use change Total spatial footprint Total surface area controlled/managed by the organisation, where the organisation has con",,,,,,,,,
7,,450,r450_sap公司,SAP,SAP,Scope 1,范围1,,,,,3,MtCO2,,True,False,True,2,Scope 2|Scope 3,review_required,候选质量不是 high；单位不能稳定折算为 CO2e,report_page_scan,year_table_row_anchor,339,SAP integrated_report2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\SAP integrated_report2024.pdf,"...96.4 92.8 93.2 95.3 Customer Net Promoter Score7 12 9 7 10 4 Gross greenhouse gas emissions (scope 1, 2, 3 / market-based) (in million tons CO2 equivalents) 6.9 6.9 NA NA NA 1 Based on SAP Group results, according to IFRS, unless otherwise stated. 2 From 2024, we updated our non-",,,,,,,,,
8,,266,r266_prudentialfinancial,PRUDENTIAL FINANCIAL,保德信金融集团,Scope 2,范围2,Market-Based,市场法,,,"255,541",TCO2E,0.25554099999999996,True,True,False,1,Scope 3,review_required,数值缺少稳定的表格/年份锚定,report_page_anchor,sentence_unit_binding,45,Prudential-s-2024-Sustainability-Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\Prudential-s-2024-Sustainability-Report.pdf,"...FROM RENEWABLE SOURCES VIA CONTRACTUAL AGREEMENTS 13,609 TCO2E SCOPE 1 EMISSIONS 9,307 TCO2E SCOPE 2 EMISSIONS (MARKET-BASED) 255,541 TCO2E SCOPE 3 EMISSIONS 2024 Sustainability Report 45 Additional Information Environmental Stewardship Investing Sustainably Governance Our Cultur",,,,,,,,,
9,,329,r329_astrazeneca,ASTRAZENECA,阿斯利康,Scope 3,范围3,,,,,"1,846",ktCO2e,1.846,True,True,False,1,Scope 1,review_required,数值缺少稳定的表格/年份锚定,report_page_scan,sentence_unit_binding,129,AstraZeneca_AR_2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\AstraZeneca_AR_2024.pdf,"...5bn $35.5bn Relative TSR 20% Median Upper Quartile Sustainability 10% Value Chain emissions (Scope 3) 1,846 ktCO2e 1,434 ktCO2e Regulatory events measure NME and major life-cycle management approvals (taking into account the first approval over the performance period). NME Phase ",,,,,,,,,
10,,166,r166_vinci,VINCI,万喜集团,Scope 3,范围3,,,,,49,million tonnes of CO2,,True,True,True,1,Scope 1,review_required,候选质量不是 high；单位不能稳定折算为 CO2e；数值缺少稳定的表格/年份锚定；上下文像基准/目标/进度值，不是清单排放值,report_page_scan,sentence_unit_binding,31,VINCI-2024_workforce_related_environmental_and_social_information.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\VINCI-2024_workforce_related_environmental_and_social_information.pdf,"...41 Indirect greenhouse gas emissions In 2019, the baseline year, VINCI’s indirect emissions (Scope 3), adjusted for acquisitions and disposals over the period, totalled approximately 49 million tonnes of CO2 (adjusted for acquisitions and disposals). At 31 December 2024, the Grou",,,,,,,,,
11,,189,r189_itaúunibancoholding,ITAÚ UNIBANCO HOLDING,伊塔乌联合银行控股公司,Scope 3,范围3,,,,,"38,263",tCO2e,0.038263,True,True,True,1,Scope 1,review_required,数值缺少稳定的表格/年份锚定；上下文像基准/目标/进度值，不是清单排放值,report_page_scan,sentence_unit_binding,115,ITAÚ UNIBANCO HOLDING ESG Report 2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\ITAÚ UNIBANCO HOLDING ESG Report 2024.pdf,"...ive plans to reduce these emissions. 3 Baseline 2023: Scope 1 and scope 2 - 18,738 tCO2e and Scope 3 - 38,263 tCO2e. Message from the CEO Sustainability in business Environmental Social Governance ESG Report 2024 | Itaú Unibanco Holding S.A 115",,,,,,,,,
12,,264,r264_riotintogroup,RIO TINTO GROUP,力拓集团,Scope 2,范围2,Location-Based,位置法,,,30.8,Mt CO2e,30.8,True,True,True,1,Scope 3,review_required,数值缺少稳定的表格/年份锚定；Scope 1 + Scope 2 合计值不能作为单一 Scope 数值采信,report_page_anchor,sentence_unit_binding,323,2024-RIO TINTO GROUP-annual-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2024-RIO TINTO GROUP-annual-report.pdf,"...nable assurance opinion: Scope 1 and 2 GHG Emissions In our opinion, Total gross Scope 1 and Scope 2 (Location-Based) Greenhouse Gas (GHG) Emissions (equity basis) of 30.8 Mt CO2e and Total gross Scope 1 and Scope 2 (Market-Based) Greenhouse Gas (GHG) Emissions (equity basis) of ",,,,,,,,,
