批次ID,世界500强排名,企业ID,企业名称（中文）,Company Name (EN),国家/地区,行业,二级细分类型,Subtype (EN),优先级,名单下载状态字段,seed匹配状态,候选文件数,best_match_score,近似推荐文件,近似推荐得分,诊断信号,Diagnostic signals (EN),建议处理动作,Recommended action (EN),原始诊断说明,诊断规则
world500_retrieval_batch_02_candidate,75,r075_shandongenergygroup,山东能源集团有限公司,SHANDONG ENERGY GROUP,中国,采矿、原油生产,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,44,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 44 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 44 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“山东能源集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,81,r081_hengligroup,恒力集团有限公司,HENGLI GROUP,中国,纺织,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,41,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 41 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 41 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“恒力集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,83,r083_chinapostgroup,中国邮政集团有限公司,CHINA POST GROUP,中国,邮件、包裹及货物包装运输,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,44,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 44 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 44 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“中国邮政集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,138,r138_zhejiangrongshengholdinggroup,浙江荣盛控股集团有限公司,ZHEJIANG RONGSHENG HOLDING GROUP,中国,化学品,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,51,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 51 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 51 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“浙江荣盛控股集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,142,r142_xiamenitgholdinggroup,厦门国贸控股集团有限公司,XIAMEN ITG HOLDING GROUP,中国,贸易,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,51,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 51 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 51 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“厦门国贸控股集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,147,r147_aviationindustrycorpofchina,中国航空工业集团有限公司,AVIATION INDUSTRY CORP. OF CHINA,中国,航天与防务,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_matched,34,16,,0,seed 阶段出现过候选命中：seed_matched，seed 候选文件为 2025 DAIWA HOUSE INDUSTRY_Sustainability_All.pdf；当前候选池仍有 34 个近似候选项；当前 best_match_score=16,Seed stage produced a candidate hit: seed_matched; seed candidate file: 2025 DAIWA HOUSE INDUSTRY_Sustainability_All.pdf; Current candidate pool still contains 34 approximate candidates; Current best_match_score=16,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“中国航空工业集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,155,r155_energytransfer公司,Energy Transfer公司,Energy Transfer公司,美国,管道运输,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,3,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023_SUNCOR ENERGY_sustainability_report.pdf；当前候选池仍有 3 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023_SUNCOR ENERGY_sustainability_report.pdf; Current candidate pool still contains 3 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“Energy Transfer公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,160,r160_chinanorthindustriesgroup,中国兵器工业集团有限公司,CHINA NORTH INDUSTRIES GROUP,中国,航天与防务,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_matched,46,16,,0,seed 阶段出现过候选命中：seed_matched，seed 候选文件为 2024-LYONDELLBASELL INDUSTRIES-sustainability-report.pdf；当前候选池仍有 46 个近似候选项；当前 best_match_score=16,Seed stage produced a candidate hit: seed_matched; seed candidate file: 2024-LYONDELLBASELL INDUSTRIES-sustainability-report.pdf; Current candidate pool still contains 46 approximate candidates; Current best_match_score=16,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“中国兵器工业集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,161,r161_pacificconstructiongroup,太平洋建设集团有限公司,PACIFIC CONSTRUCTION GROUP,中国,工程与建筑,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,41,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 41 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 41 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“太平洋建设集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,175,r175_shandongweiqiaopioneeringgroup,山东魏桥创业集团有限公司,SHANDONG WEIQIAO PIONEERING GROUP,中国,纺织,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,41,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 41 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 41 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“山东魏桥创业集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
