company_id,company_name,world500_rank,industry_section_code,industry_section_name_zh,industry_section_name_en,source_type_primary_or_secondary,evidence_layer,reported_ratio,source_file,page,snippet,matched_keyword,calculation_method_context,is_explicit_reported_ratio,is_supplier_specific_data,is_spend_based,is_average_data,is_source_mix_inference,confidence,review_status
r026_microsoft,MICROSOFT,26,I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",primary,explicit_reported_primary_data_percentage,70,2025-Microsoft-Environmental-Sustainability-Report-PDF.pdf,24,"epresentativeness of assessments, with 70%... By integrating this primary data into product environmental LCAs, Microsoft has increased the representativeness of assessments, with 70% of the carbon footprint for devices informed by primary data—a significant improvement over the typica",explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,medium,seed_batch_01
r036_fordmotor,FORD MOTOR,36,C,制造业,Manufacturing,primary,explicit_reported_primary_data_percentage,7,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,193,Primary data Primary data obtained from suppliers or value chain partners has been used to calculate 7% of significant scope 3 GHG emissions (E1-6 AR 46g). Primary data obtained from suppliers or value chain partners has been used to calculate 7% of significant scope 3 GHG emissions (E1-6 AR ... Primary data obtained from suppliers or value chain partners has been used to calculate 7% of significant scope 3 GHG emis…,explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,medium,seed_batch_02
r082_allianz,ALLIANZ,82,J,金融业,Finance,primary,explicit_reported_primary_data_percentage,34,en-allianz-group-annual-report-2024.pdf,102,Primary data The percentage of Scope 3 emissions in our GHG inventory calculated using primary data is 34 % across our proprietary investments and own operations. The percentage of Scope 3 emissions in our GHG inventory calculated using primary data is 34 % across our proprietary investments and own... The percentage of Scope 3 emissions in our GHG inventory calculated using primary data is 34 % across our proprieta…,explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,medium,seed_batch_03
r091_equinor公司,Equinor,91,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",primary,explicit_reported_primary_data_percentage,2,annual-report-2024-equinor.pdf,120,Primary data 缁撴瀯鍖栨暟鎹川閲忔爣璁帮細推导值； The remaining categories (2% of total scope 3 emissions) are based on primary data. The remaining categories (2% of total scope 3 emissions) are based on primary data. The remaining categories (2% of total scope 3 emissions) are based on primary data.,explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,medium,seed_batch_03
r097_enel,ENEL,97,I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",primary,explicit_reported_primary_data_percentage,7,ENEL-integrated-annual-report_2024.pdf,147,"% of Scope 3 emissions were calculated with primary data on emission factors supplied by suppliers, collected using EPD (Environmental Prod- uct Declaration) systems o... In 2024, 7% of Scope 3 emissions were calculated with primary data on emission factors supplied by suppliers, collected using EPD (Enviro... In 2024, 7% of Scope 3 emissions were calculated with primary data on emission factors supplied by suppli",explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,medium,seed_batch_13
r132_orlen,ORLEN,132,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",primary,explicit_reported_primary_data_percentage,,Management Board on the Operations of ORLEN Group 2024.pdf.coredownload.pdf,161,"The extent to which the undertaking’s Scope 3 GHG emissions are measured using primary data obtained is 0% – at the current stage of deve... The extent to which the undertaking’s Scope 3 GHG emissions are measured using primary data obtained is 0% – at the current stage of development of the organisation’s data collection and carbon footprint calculation processes, only literatu",explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,medium,seed_batch_04
r205_deutschebank,DEUTSCHE BANK,205,J,金融业,Finance,primary,explicit_reported_primary_data_percentage,41,Deutsche_Bank_Annual_Report_2024.pdf,312,"s over time – As of year-end 2024, the share of primary data used for t... Methodology and data changes may significantly impact the estimates over time – As of year-end 2024, the share of primary data used for the calculation of Scope 1 and 2 was 41%, and 17% for Scope 3 financed emissions, on a total loan commit",explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,medium,seed_batch_12
r247_repsol,REPSOL,247,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",primary,explicit_reported_primary_data_percentage,91.7,REPSOL consolidated-statement-non-financial-information-sustainability-information-2024.pdf,136,"data pr... Other considerations • The percentage of Scope 3 emissions calculated using primary data obtained from suppliers or other partners in the... Other considerations • The percentage of Scope 3 emissions calculated using primary data obtained from suppliers or other partners in the value chain is 91.7%, including data provided by flight travel agencies for category 6, category 15 em",explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,medium,seed_batch_06
r350_telefónica,TELEFÓNICA,350,I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",primary,explicit_reported_primary_data_percentage,72,2024TELEFÓNICA consolidated-management-report.pdf,111,"Primary data E1-6_25 During the reporting year, the percentage of Scope 3 emissions calculated using primary data was 72%. E1-6_25 During the reporting year, the percentage of Scope 3 emissions calculated using primary data was 72%. E1-6_25 During the reporting year, the percentage of Scope 3 emissions calculated using primary data was 72%.",explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,medium,seed_batch_08
r374_lufthansagroup,LUFTHANSA GROUP,374,G,交通运输、仓储和邮政业,"Transport, Storage and Post",primary,explicit_reported_primary_data_percentage,89.47,LH-AR-2024-e.pdf,180,Primary data Investments The percentage of primary data used for all Scope 3 emissions is 89.47%. Investments The percentage of primary data used for all Scope 3 emissions is 89.47%. Investments The percentage of primary data used for all Scope 3 emissions is 89.47%.,explicit reported primary data percentage,Explicit reported primary-data percentage,true,false,false,false,false,medium,seed_batch_12
