priority_rank,priority_group,priority_group_zh,world500_rank,company_id,company_name_en,company_name_zh,readiness_status,readiness_status_zh,readiness_score,readiness_score_max,missing_requirement_count,primary_workstream,primary_workstream_zh,missing_workstreams,missing_workstreams_zh,missing_requirement_keys,missing_requirement_zh,direct_scope_set,scope_candidate_count,scope3_candidate_count,scope3_category_count,next_action_zh,acceptance_note_zh
352,P0_source_recovery,先补报告源匹配,292,r292_shanghaipudongdevelopmentbank,SHANGHAI PUDONG DEVELOPMENT BANK,上海浦东发展银行股份有限公司,source_gap,源文件缺口,5,14,9,P0_source_matching,P0 报告源匹配,P0_source_matching|P1_evidence_extraction|P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P0 报告源匹配；P1 证据抽取与原文追溯；P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_matched_report|has_standard_evidence|has_method_evidence|has_data_source_or_quality|has_source_traceability|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_target_progress_chain,已匹配母公司报告；有标准/准则证据；有核算方法/活动/质量证据；有数据来源或数据质量分类；有原文页码/文件追溯；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；目标-基准-进度链完整,Scope 1|Scope 2|Scope 3,0,0,0,先补母公司 ESG/气候/可持续发展报告匹配，确认源文件、报告年份、页码索引和企业别名后再抽取。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
353,P0_source_recovery,先补报告源匹配,304,r304_capitalonefinancial,CAPITAL ONE FINANCIAL,第一资本金融公司,source_gap,源文件缺口,4,14,10,P0_source_matching,P0 报告源匹配,P0_source_matching|P1_evidence_extraction|P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P0 报告源匹配；P1 证据抽取与原文追溯；P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_matched_report|has_standard_evidence|has_method_evidence|has_data_source_or_quality|has_source_traceability|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_energy_consumption_fact|has_target_progress_chain,已匹配母公司报告；有标准/准则证据；有核算方法/活动/质量证据；有数据来源或数据质量分类；有原文页码/文件追溯；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有能耗事实；目标-基准-进度链完整,Scope 1|Scope 2|Scope 3,0,0,0,先补母公司 ESG/气候/可持续发展报告匹配，确认源文件、报告年份、页码索引和企业别名后再抽取。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
354,P0_source_recovery,先补报告源匹配,316,r316_energiebadenwürttemberg,ENERGIE BADEN-WÜRTTEMBERG,巴登-符腾堡州能源公司,source_gap,源文件缺口,3,14,11,P0_source_matching,P0 报告源匹配,P0_source_matching|P1_evidence_extraction|P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P0 报告源匹配；P1 证据抽取与原文追溯；P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_matched_report|has_standard_evidence|has_method_evidence|has_data_source_or_quality|has_source_traceability|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_target_progress_chain,已匹配母公司报告；有标准/准则证据；有核算方法/活动/质量证据；有数据来源或数据质量分类；有原文页码/文件追溯；Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有 GWP 版本事实；目标-基准-进度链完整,Scope 3,0,0,0,先补母公司 ESG/气候/可持续发展报告匹配，确认源文件、报告年份、页码索引和企业别名后再抽取。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
355,P0_source_recovery,先补报告源匹配,3,r003_stategrid,STATE GRID,国家电网有限公司,source_gap,源文件缺口,1,14,13,P0_source_matching,P0 报告源匹配,P0_source_matching|P1_evidence_extraction|P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P0 报告源匹配；P1 证据抽取与原文追溯；P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_matched_report|has_standard_evidence|has_method_evidence|has_data_source_or_quality|has_source_traceability|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_economic_instrument_fact|has_target_progress_chain,已匹配母公司报告；有标准/准则证据；有核算方法/活动/质量证据；有数据来源或数据质量分类；有原文页码/文件追溯；Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有 GWP 版本事实；有能耗事实；有经济/成本侧工具事实；目标-基准-进度链完整,,0,0,0,先补母公司 ESG/气候/可持续发展报告匹配，确认源文件、报告年份、页码索引和企业别名后再抽取。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
356,P0_source_recovery,先补报告源匹配,9,r009_berkshirehathaway,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,source_gap,源文件缺口,1,14,13,P0_source_matching,P0 报告源匹配,P0_source_matching|P1_evidence_extraction|P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P0 报告源匹配；P1 证据抽取与原文追溯；P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_matched_report|has_standard_evidence|has_method_evidence|has_data_source_or_quality|has_source_traceability|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_economic_instrument_fact|has_target_progress_chain,已匹配母公司报告；有标准/准则证据；有核算方法/活动/质量证据；有数据来源或数据质量分类；有原文页码/文件追溯；Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有 GWP 版本事实；有能耗事实；有经济/成本侧工具事实；目标-基准-进度链完整,,0,0,0,先补母公司 ESG/气候/可持续发展报告匹配，确认源文件、报告年份、页码索引和企业别名后再抽取。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
357,P0_source_recovery,先补报告源匹配,40,r040_elevancehealth公司,Elevance Health公司,Elevance Health公司,source_gap,源文件缺口,1,14,13,P0_source_matching,P0 报告源匹配,P0_source_matching|P1_evidence_extraction|P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P0 报告源匹配；P1 证据抽取与原文追溯；P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_matched_report|has_standard_evidence|has_method_evidence|has_data_source_or_quality|has_source_traceability|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_economic_instrument_fact|has_target_progress_chain,已匹配母公司报告；有标准/准则证据；有核算方法/活动/质量证据；有数据来源或数据质量分类；有原文页码/文件追溯；Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有 GWP 版本事实；有能耗事实；有经济/成本侧工具事实；目标-基准-进度链完整,,0,0,0,先补母公司 ESG/气候/可持续发展报告匹配，确认源文件、报告年份、页码索引和企业别名后再抽取。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
358,P0_source_recovery,先补报告源匹配,43,r043_chinarailwayconstruction,CHINA RAILWAY CONSTRUCTION,中国铁道建筑集团有限公司,source_gap,源文件缺口,1,14,13,P0_source_matching,P0 报告源匹配,P0_source_matching|P1_evidence_extraction|P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P0 报告源匹配；P1 证据抽取与原文追溯；P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_matched_report|has_standard_evidence|has_method_evidence|has_data_source_or_quality|has_source_traceability|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_economic_instrument_fact|has_target_progress_chain,已匹配母公司报告；有标准/准则证据；有核算方法/活动/质量证据；有数据来源或数据质量分类；有原文页码/文件追溯；Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有 GWP 版本事实；有能耗事实；有经济/成本侧工具事实；目标-基准-进度链完整,,0,0,0,先补母公司 ESG/气候/可持续发展报告匹配，确认源文件、报告年份、页码索引和企业别名后再抽取。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
359,P0_source_recovery,先补报告源匹配,51,r051_kroger,KROGER,克罗格,source_gap,源文件缺口,1,14,13,P0_source_matching,P0 报告源匹配,P0_source_matching|P1_evidence_extraction|P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P0 报告源匹配；P1 证据抽取与原文追溯；P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_matched_report|has_standard_evidence|has_method_evidence|has_data_source_or_quality|has_source_traceability|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_economic_instrument_fact|has_target_progress_chain,已匹配母公司报告；有标准/准则证据；有核算方法/活动/质量证据；有数据来源或数据质量分类；有原文页码/文件追溯；Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有 GWP 版本事实；有能耗事实；有经济/成本侧工具事实；目标-基准-进度链完整,,0,0,0,先补母公司 ESG/气候/可持续发展报告匹配，确认源文件、报告年份、页码索引和企业别名后再抽取。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
360,P0_source_recovery,先补报告源匹配,64,r064_bnpparibas,BNP PARIBAS,法国巴黎银行,source_gap,源文件缺口,1,14,13,P0_source_matching,P0 报告源匹配,P0_source_matching|P1_evidence_extraction|P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P0 报告源匹配；P1 证据抽取与原文追溯；P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_matched_report|has_standard_evidence|has_method_evidence|has_data_source_or_quality|has_source_traceability|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_economic_instrument_fact|has_target_progress_chain,已匹配母公司报告；有标准/准则证据；有核算方法/活动/质量证据；有数据来源或数据质量分类；有原文页码/文件追溯；Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有 GWP 版本事实；有能耗事实；有经济/成本侧工具事实；目标-基准-进度链完整,,0,0,0,先补母公司 ESG/气候/可持续发展报告匹配，确认源文件、报告年份、页码索引和企业别名后再抽取。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
361,P0_source_recovery,先补报告源匹配,75,r075_shandongenergygroup,SHANDONG ENERGY GROUP,山东能源集团有限公司,source_gap,源文件缺口,1,14,13,P0_source_matching,P0 报告源匹配,P0_source_matching|P1_evidence_extraction|P2_direct_emission_values|P2_scope3_category_values|P3_calculation_inputs|P4_target_progress_chain,P0 报告源匹配；P1 证据抽取与原文追溯；P2 Scope 1/2/3 直接采信值；P2 Scope 3 15 类类别值/筛查；P3 核算输入链：因子/GWP/能耗/经济工具；P4 目标-基准-进度链,has_matched_report|has_standard_evidence|has_method_evidence|has_data_source_or_quality|has_source_traceability|has_direct_scope_1_2_3|has_scope2_dual_method|has_scope3_15_category_layer|has_emission_factor_application|has_gwp_version_fact|has_energy_consumption_fact|has_economic_instrument_fact|has_target_progress_chain,已匹配母公司报告；有标准/准则证据；有核算方法/活动/质量证据；有数据来源或数据质量分类；有原文页码/文件追溯；Scope 1/2/3 均有直接采信绝对值；Scope 2 市场法/位置法双口径可见；Scope 3 15 类值或筛查完整；EmissionRecord 已引用排放因子；有 GWP 版本事实；有能耗事实；有经济/成本侧工具事实；目标-基准-进度链完整,,0,0,0,先补母公司 ESG/气候/可持续发展报告匹配，确认源文件、报告年份、页码索引和企业别名后再抽取。,不得把候选值直接标记为完整满足；每个缺项必须回填可追溯的报告页码、口径、单位、年份和结构化表/边。
