work_item_no,priority,requirement_id,issue_id,issue_status_key,requirement_status_key,can_claim_requirement_complete,queue_file,queue_rows,next_action_zh,blocking_risk_zh,acceptance_gate_en
1,P0,R1_GHG_FINE_SERIES_AND_STANDARD_COMPANY_MAPPING,ghg_protocol_fine_series,partial,partial,False,assets/data/world500/workbench/world500_ghg_contextual_series_review_queue.csv,454,逐条回到 PDF 页级证据，能显式命名具体 GHG 系列的升级；不能命名的降级或删除。,如果不降级上下文弱边，GHG 细分图会被误读为强证据企业-系列关系。,Only explicitly named GHG Protocol series citations can be upgraded to strong standard-company-series edges; contextual edges must stay review-only or be demoted.
2,P0,R1_GHG_FINE_SERIES_AND_STANDARD_COMPANY_MAPPING,ghg_protocol_fine_series,partial,partial,False,assets/data/world500/workbench/world500_ghg_explicit_series_candidate_queue.csv,0,逐条回到 PDF 页级证据，能显式命名具体 GHG 系列的升级；不能命名的降级或删除。,如果不降级上下文弱边，GHG 细分图会被误读为强证据企业-系列关系。,Only explicitly named GHG Protocol series citations can be upgraded to strong standard-company-series edges; contextual edges must stay review-only or be demoted.
3,P0,R1_GHG_FINE_SERIES_AND_STANDARD_COMPANY_MAPPING,ghg_protocol_fine_series,partial,partial,False,assets/data/world500/workbench/world500_ghg_p0_overmapped_contextual_edge_queue.csv,0,逐条回到 PDF 页级证据，能显式命名具体 GHG 系列的升级；不能命名的降级或删除。,如果不降级上下文弱边，GHG 细分图会被误读为强证据企业-系列关系。,Only explicitly named GHG Protocol series citations can be upgraded to strong standard-company-series edges; contextual edges must stay review-only or be demoted.
4,P0,R1_GHG_FINE_SERIES_AND_STANDARD_COMPANY_MAPPING,ghg_protocol_fine_series,partial,partial,False,assets/data/world500/workbench/world500_ghg_p1_named_series_missing_queue.csv,169,逐条回到 PDF 页级证据，能显式命名具体 GHG 系列的升级；不能命名的降级或删除。,如果不降级上下文弱边，GHG 细分图会被误读为强证据企业-系列关系。,Only explicitly named GHG Protocol series citations can be upgraded to strong standard-company-series edges; contextual edges must stay review-only or be demoted.
5,P0,R1_GHG_FINE_SERIES_AND_STANDARD_COMPANY_MAPPING,ghg_protocol_fine_series,partial,partial,False,assets/data/world500/workbench/world500_ghg_p2_low_evidence_contextual_edge_queue.csv,285,逐条回到 PDF 页级证据，能显式命名具体 GHG 系列的升级；不能命名的降级或删除。,如果不降级上下文弱边，GHG 细分图会被误读为强证据企业-系列关系。,Only explicitly named GHG Protocol series citations can be upgraded to strong standard-company-series edges; contextual edges must stay review-only or be demoted.
6,P0,R1_GHG_FINE_SERIES_AND_STANDARD_COMPANY_MAPPING,ghg_protocol_fine_series,partial,partial,False,assets/data/world500/workbench/world500_ghg_out_of_whitelist_series_review_queue.csv,19,逐条回到 PDF 页级证据，能显式命名具体 GHG 系列的升级；不能命名的降级或删除。,如果不降级上下文弱边，GHG 细分图会被误读为强证据企业-系列关系。,Only explicitly named GHG Protocol series citations can be upgraded to strong standard-company-series edges; contextual edges must stay review-only or be demoted.
7,P2,R1_GHG_FINE_SERIES_AND_STANDARD_COMPANY_MAPPING,standard_company_relationships,implemented_with_evidence_quality_risk,partial,False,,0,抽样复核标准-企业边的页码与 snippet 完整度，优先处理低置信/弱片段。,结构完整但边证据不均衡，弱 snippet 会影响图谱可信度。,"Standard-company edges need page-level source, complete snippet, and evidence-strength review before being treated as high-confidence links."
8,P0,R2_TOTAL_EMISSIONS_RANKING_DESC,emissions_ranking,partial,partial,False,assets/data/world500/workbench/world500_emissions_complete_ranking_verification_queue.csv,16,按 Scope 1、Scope 2 方法/数值、Scope 3 缺口队列补齐完整强证据总量。,partial 总量若混入主排行，会导致企业总排放排序不可比。,"Only companies with complete strong Scope 1 + selected Scope 2 value/method + Scope 3 evidence, plus explicit finance Scope 3 boundary where applicable, can enter the comparable total-emissions ranking."
9,P0,R2_TOTAL_EMISSIONS_RANKING_DESC,emissions_ranking,partial,partial,False,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv,24,按 Scope 1、Scope 2 方法/数值、Scope 3 缺口队列补齐完整强证据总量。,partial 总量若混入主排行，会导致企业总排放排序不可比。,"Only companies with complete strong Scope 1 + selected Scope 2 value/method + Scope 3 evidence, plus explicit finance Scope 3 boundary where applicable, can enter the comparable total-emissions ranking."
10,P0,R2_TOTAL_EMISSIONS_RANKING_DESC,emissions_ranking,partial,partial,False,assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv,50,按 Scope 1、Scope 2 方法/数值、Scope 3 缺口队列补齐完整强证据总量。,partial 总量若混入主排行，会导致企业总排放排序不可比。,"Only companies with complete strong Scope 1 + selected Scope 2 value/method + Scope 3 evidence, plus explicit finance Scope 3 boundary where applicable, can enter the comparable total-emissions ranking."
