review_priority,recommended_action,accepted_edge,strict_named_series_ids,accepted_replacement_series_ids,company_id,company_name_en,company_name_zh,world500_rank,series_id,name_en,name_zh,match_status,source_file,page,page_window,document_match_pages,snippet_en,recognition_basis_en,recognition_basis_zh
P1,P1_demote_raw_explicit_to_contextual_review_no_strict_alias,no,,,r007_apple,APPLE,苹果公司,7,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,pdf_explicit_series_citation,Apple_Environmental_Progress_Report_2025.pdf,100,"[99, 100, 101]","[106, 125]","Advocacy Environmental Initiatives Introduction Contents Green Bond Impact Report Data 101 2025 Environmental Progress Report Appendix Comprehensive Carbon Footprint Letter of Assurance Client: Apple Inc. 1 Letter of Assurance Comprehensive Carbon Footprint – Scope 3: Product related Carbon Footprint for Fiscal Year 2024 Fraunhofer IZM reviewed Apple’s scope 3 carbon footprint data related to the products manufactured and sold by Apple Inc. in fiscal year 2024. 1 Summary This review checks transparency of data and calculations, appropriateness of supporting product related data and assumptions, and overall plaus…",PDF page backfill: mapped from the cited GHG Protocol evidence page plus adjacent page text; not promoted to direct-use emissions value.,PDF 页级回查：基于已引用的 GHG Protocol 证据页及相邻页文本映射；不提升为直接采信排放值。
P1,P1_demote_raw_explicit_to_contextual_review_no_strict_alias,no,,,r007_apple,APPLE,苹果公司,7,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,pdf_explicit_series_citation,Apple_Environmental_Progress_Report_2025.pdf,106,[106],[106],"Comprehensive Carbon Footprint Letter of Assurance Client: Apple Inc. 1 Letter of Assurance Comprehensive Carbon Footprint – Scope 3: Product related Carbon Footprint for Fiscal Year 2024 Fraunhofer IZM reviewed Apple’s scope 3 carbon footprint data related to the products manufactured and sold by Apple Inc. in fiscal year 2024. 1 Summary This review checks transparency of data and calculations, appropriateness of supporting product related data and assumptions, and overall plausibility of the calculated comprehensive annual carbon footprint comprised of emissions derived from the life cycle assessment (LCA) of …","PDF full-document exact-series scan: the report page names a controlled GHG Protocol/PCAF fine standard in an accounting, reporting, methodology, or assurance context; this does not promote emissions values.",PDF 全文精确系列扫描：报告页在核算、报告、方法或鉴证语境中命名受控 GHG Protocol/PCAF 细分标准；该记录不提升排放数值。
P1,P1_demote_raw_explicit_to_contextual_review_no_strict_alias,no,,,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,8,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,pdf_explicit_series_citation,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,33,"[32, 33, 34]","[35, 80, 82]","ess is aligned with climate science. By 2030, we expect 77% of our suppliers by emissions covering purchased goods and services and upstream transportation and distribution will have set their own science-based targets. This is a critical step toward reducing Scope 3 emissions — the largest portion of our carbon footprint — and achieving net zero. • Our updated Supplier Code of Conduct encourages suppliers to track, report and minimize their emissions, set science-based reduction targets aligned with limiting global warming to 1.5°C above preindustrial levels and engage with their own value chain partners on sus…",PDF page backfill: mapped from the cited GHG Protocol evidence page plus adjacent page text; not promoted to direct-use emissions value.,PDF 页级回查：基于已引用的 GHG Protocol 证据页及相邻页文本映射；不提升为直接采信排放值。
P1,P1_demote_raw_explicit_to_contextual_review_no_strict_alias,no,,,r016_mckesson,MCKESSON,麦克森公司,16,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,pdf_explicit_series_citation,McKesson Impact Report 2024.pdf,44,"[43, 44, 45]",[66],e GHG emissions across our value chain and to work with our suppliers in connection with our SBTi targets. McKesson is taking steps designed to reduce both our direct (Scope 1 and 2) GHG emissions and those produced in our upstream and downstream value chain (Scope 3). We also engage with the National Academies of Medicine and the Association for Health Care Resource & Materials Management of the American Hospital Association on reducing GHG emissions. See Overview in ESG Markers section of this report for more fiscal year reported data and details about our assurance process and Scope 3 category-specific inform…,PDF page backfill: mapped from the cited GHG Protocol evidence page plus adjacent page text; not promoted to direct-use emissions value.,PDF 页级回查：基于已引用的 GHG Protocol 证据页及相邻页文本映射；不提升为直接采信排放值。
P1,P1_demote_raw_explicit_to_contextual_review_no_strict_alias,no,,,r030_chinaconstructionbank,CHINA CONSTRUCTION BANK,中国建设银行股份有限公司,30,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,pdf_explicit_series_citation,CCB_2024_Sustainability_Report.pdf,54,[54],[54],"onal Power Grids in China were used. In 2024, electricity emission factors were updated to provincial emission factors in the Announcement on the Release of 2022 Electricity Carbon Dioxide Emission Factors. 3. Others include ethanol, fuel oil, and other fuel. Scope 3 2024 2023 Greenhouse gas emissions (tons of carbon dioxide) 20,288.51 17,602.43 Annual emissions per employee (Scope 3) (tons of carbon dioxide/person) 0.05 0.05 Purchased goods and services-paper Paper emissions (tons of carbon dioxide) 19,415.90 17,602.43 Annual paper emissions per employee (tons of carbon dioxide) 0.05 0.05 Waste from operation E…","PDF full-document exact-series scan: the report page names a controlled GHG Protocol/PCAF fine standard in an accounting, reporting, methodology, or assurance context; this does not promote emissions values.",PDF 全文精确系列扫描：报告页在核算、报告、方法或鉴证语境中命名受控 GHG Protocol/PCAF 细分标准；该记录不提升排放数值。
P1,P1_demote_raw_explicit_to_contextual_review_no_strict_alias,no,,,r048_homedepot,HOME DEPOT,家得宝,48,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,pdf_explicit_series_citation,2024_ESG_Report_The_Home_Depot.pdf,45,"[44, 45, 46]",,"Building on our prior climate action initiatives, we also recently updated our carbon emissions reduction targets to align with climate science and a 1.5-degree trajectory. We now plan to reduce our combined absolute Scopes 1 and 2 emissions and our absolute Scope 3 Category 11 (“Use of Sold Products”) emissions by 42%, each by the end of fiscal year 2030 from a fiscal 2020 base year. Our new targets were validated by the Science Based Targets initiative (SBTi) and continue our momentum to drive climate action throughout our value chain. Our Company’s ability to achieve our carbon emissions reduction targets wil…",PDF page backfill: mapped from the cited GHG Protocol evidence page plus adjacent page text; not promoted to direct-use emissions value.,PDF 页级回查：基于已引用的 GHG Protocol 证据页及相邻页文本映射；不提升为直接采信排放值。
P1,P1_demote_raw_explicit_to_contextual_review_no_acceptance_context,no,ghg_corporate_standard,,r049_electricitédefrance,ELECTRICITÉ DE FRANCE,法国电力公司,49,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,pdf_explicit_series_citation,edf-urd-annual-financial-report-2024-en-accessible.pdf,193,"[192, 193, 194]","[193, 674]","iples/ (3) GHG Protocol Corporate Accounting and Reporting Standard, WRI-WBCSD, 2015. Sustainability Statement and Vigilance plan Support the decarbonisation of the gas customer portfolio EDF’s fossil gas sales to end customers contribute significantly to its Scope 3 emissions (see section 3.2.2.1.3.1 “Group carbon footprint - annual GHG emissions”). However, reducing the Group’s emissions by simply transferring gas sales contracts to other suppliers is of little value in terms of overall emissions to the atmosphere. The EDF group is therefore committed to actively supporting its gas customers in their journey t…",PDF page backfill: mapped from the cited GHG Protocol evidence page plus adjacent page text; not promoted to direct-use emissions value.,PDF 页级回查：基于已引用的 GHG Protocol 证据页及相邻页文本映射；不提升为直接采信排放值。
P1,P1_demote_raw_explicit_to_contextual_review_no_strict_alias,no,,,r097_enel,ENEL,意大利国家电力公司,97,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,pdf_explicit_series_citation,ENEL-integrated-annual-report_2024.pdf,131,"[130, 131, 132]",[145],"Structured standard tag: GHG Protocol; Standard role: Accounting standard pe 1, including CO2, CH4 and N2O) from power generation and the Group’s indirect GHG emissions (Scope 3) from the generation of electricity purchased and sold to end customers (which is an element of subcategory 3 - Fuel- and Energy- Relate ENEL-integrated-annual-report_2024.pdf Actions for managing the impacts, risks and opportunities connected with climate change 130 INTEGRATED ANNUAL REPORT 2024 SCOPE 1 AND 3 GHG EMISSIONS INTENSITY RELATING TO INTEGRATED POWER (gCO2eq/kWh) 2017(¹) 2023(2) 2024(3) 2025 2026 2027 2030 2040 135 135 125 73…",PDF page backfill: mapped from the cited GHG Protocol evidence page plus adjacent page text; not promoted to direct-use emissions value.,PDF 页级回查：基于已引用的 GHG Protocol 证据页及相邻页文本映射；不提升为直接采信排放值。
P1,P1_demote_raw_explicit_to_contextual_review_no_strict_alias,no,,,r097_enel,ENEL,意大利国家电力公司,97,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,pdf_explicit_series_citation,ENEL-integrated-annual-report_2024.pdf,145,[145],[145],"climate change 145 4. Climate change INTEGRATED ANNUAL REPORT 2024 The following Scope 3 categories of the GHG Proto- col are currently excluded from the Enel inventory of greenhouse gas (GHG) emissions. • Category 5 (waste generated in operations): Enel is currently developing the calculation method and the process for collecting the data, therefore it may be reported in the future if relevant. • Category 8 (upstream leased assets): the GHG emis- sions related to buildings and offices are already considered in the Scope 1 and Scope 2 calculations. • Category 9 (downstream transportation and dis- tribution): not…","PDF full-document exact-series scan: the report page names a controlled GHG Protocol/PCAF fine standard in an accounting, reporting, methodology, or assurance context; this does not promote emissions values.",PDF 全文精确系列扫描：报告页在核算、报告、方法或鉴证语境中命名受控 GHG Protocol/PCAF 细分标准；该记录不提升排放数值。
P1,P1_demote_raw_explicit_to_contextual_review_no_strict_alias,no,,,r105_boschgroup,BOSCH GROUP,博世集团,105,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,pdf_explicit_series_citation,bosch-sustainability-report-2024.pdf,17,[17],[17],"sions with carbon credits. In 2024, residual emissions of roughly 531,300 metric tons of CO₂ were offset by carbon credits. This represents a decrease of 8.5 percent on the prior year’s level (see the “Environment | Climate action” section). Lowering absolute scope 3 CO₂ emissions by 30 percent by 2030 (baseline year 2018) Since 2018, we have cut our scope 3 emissions by around 27 percent, down to 335 million metric tons of CO₂ in 2023. In this process, we are focusing on the categories that make up around 98 percent of our scope 3 emissions: upstream emissions in the Bosch value chain primarily concern purchase…","PDF full-document exact-series scan: the report page names a controlled GHG Protocol/PCAF fine standard in an accounting, reporting, methodology, or assurance context; this does not promote emissions values.",PDF 全文精确系列扫描：报告页在核算、报告、方法或鉴证语境中命名受控 GHG Protocol/PCAF 细分标准；该记录不提升排放数值。
