validation_status,missing_fields,evidence_boundary,technology_id,technology_name_en,company_id,company_name_en,company_name_zh,world500_rank,industry_section_code,industry_section_en,subtype_id,subtype_en,project_name_en,measure_name_en,implementation_stage,timeline_years,cost_or_investment_en,cost_or_investment_review_note_en,cost_evidence_status,abatement_effect_en,evidence_page,source_file,report_title_en,snippet_en
valid_project_evidence,,page_level_project_or_measure_evidence,battery_storage,Battery and energy storage,r036_fordmotor,FORD MOTOR,福特汽车公司,36,C,Manufacturing,ev_battery,EV batteries and battery plants,BlueOval City and BlueOval SK Battery Park,Planned investment in BlueOval City and BlueOval SK Battery Park,announced planned investment and development,2021 | 2024,$11.4B planned investment announced in 2021.,,accepted_project_cost_or_investment_evidence,,7,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,Ford Integrated Sustainability and Financial Report 2025,"2021 Announced $11.4B planned investment in BlueOval City and BlueOval SK Battery Park. Launched Ford Pro. Issued $2.5B inaugural Green Bond, the largest non-financial corporate green bond to date."
valid_project_evidence,,page_level_project_or_measure_evidence,battery_storage,Battery and energy storage,r264_riotintogroup,RIO TINTO GROUP,力拓集团,264,B,Mining,stationary_storage,Battery energy storage opportunity,Yindjibarndi Energy Corporation renewable energy project,"Project in development including 75 MW solar and potential wind, solar, and battery energy storage systems collaboration",in development and collaboration; not yet complete,2024,,,missing_project_cost_or_investment_evidence,,27,2024-RIO TINTO GROUP-annual-report.pdf,Rio Tinto Annual Report 2024,"Rio Tinto is exploring a renewable energy project with the Yindjibarndi Energy Corporation. Currently in development by YEC, the project includes 75 MW of solar on a greenfield site west of Millstream Chichester National Park on Yindjibarndi Country. It is the first project the parties are exploring together since signing an MOU to collaborate on potential renewable energy opportunities, including wind and solar power and battery energy storage systems."
valid_project_evidence,,page_level_project_or_measure_evidence,battery_storage,Battery and energy storage,r401_suncorenergy,SUNCOR ENERGY,森科能源公司,401,D,"Electricity, Heat, Gas and Water Production and Supply",flow_battery_vanadium,Vanadium electrolyte for flow batteries,Lower-cost vanadium for energy storage initiative,Using vanadium produced at coke-fired boilers as electrolyte input for flow batteries to support low-cost energy storage,initiative supported by Emissions Reduction Alberta,2023,Emissions Reduction Alberta invested USD 7 million through the Circular Economy Challenge to support the initiative.,,accepted_project_cost_or_investment_evidence,Report states the initiative should support integration of renewable electricity generation and contribute to low-cost storage needed for greater adoption of low-carbon electricity.,17,2023_SUNCOR ENERGY_sustainability_report.pdf,Suncor Energy Sustainability Report 2023,"Suncor reports that vanadium produced at coke-fired boilers produces the electrolyte used in flow batteries. Increasing the use of lower-cost vanadium for the energy storage industry is anticipated to support increased integration of renewable electricity generation into the energy system. Emissions Reduction Alberta invested USD 7 million through the Circular Economy Challenge to support the initiative, which is expected to contribute to low-cost energy storage solutions required for greater adoption of low-carbon electricity generation."
valid_project_evidence,,page_level_project_or_measure_evidence,carbon_management,"Carbon management, methane, CCUS, and removals",r176_巴西jbs公司,JBS,巴西JBS,176,C,Manufacturing,methane_capture_biodigesters,Methane capture through biodigesters,Lagoon-covering methane capture projects,Covering lagoons for methane capture through biodigesters and converting captured methane into clean fuel,project portfolio disclosed,2023 | 2030,,,missing_project_cost_or_investment_evidence,Report links the projects to methane capture and clean-fuel conversion; quantified CO2e abatement is not disclosed in this snippet.,21,JBS_Sustainability_Report_2023.pdf,JBS Sustainability Report 2023,"JBS reports monitoring indicators related to electricity and water consumption to optimize production processes and reduce usage, a target to achieve 60% renewable electricity use by 2030, and projects covering lagoons for methane capture through biodigesters, converting it into clean fuel."
valid_project_evidence,,page_level_project_or_measure_evidence,carbon_management,"Carbon management, methane, CCUS, and removals",r208_sumitomomitsuifinancialgroup,SUMITOMO MITSUI FINANCIAL GROUP,日本三井住友金融集团,208,J,Finance,ccs_infrastructure_finance,CCS infrastructure project finance,Net Zero Teesside Power and Northern Endurance Partnership,"Project finance for UK CCS infrastructure covering thermal power generation, carbon capture, carbon transportation and storage",project finance case study,2025,,Report names project finance for CCS infrastructure; financed amount is not disclosed in this snippet.,cost_not_disclosed_or_unquantified_review_note,Snippet states the infrastructure will supply low-carbon electricity to more than 1 million households.,27,SUMITOMO MITSUI FINANCIAL GROUP sustainability_report_e_2025.pdf,Sumitomo Mitsui Financial Group Sustainability Report 2025,"The Transition Finance Playbook case study lists project finance for CCS infrastructure in the UK: Net Zero Teesside Power for thermal power generation and carbon capture, and the Northern Endurance Partnership for carbon transportation and storage. The snippet states the project will supply low-carbon electricity to more than 1 million households and contribute to renewable energy expansion as an adjustment power source."
valid_project_evidence,,page_level_project_or_measure_evidence,carbon_management,"Carbon management, methane, CCUS, and removals",r401_suncorenergy,SUNCOR ENERGY,森科能源公司,401,D,"Electricity, Heat, Gas and Water Production and Supply",ccus,Carbon capture and storage project,Pathways Alliance carbon capture and storage project in northern Alberta,Proposed CCS project with Pathways Alliance and government agreement milestone,proposed project; critical milestone achieved,2024 | 2030,,,missing_project_cost_or_investment_evidence,Report links the net zero objective to an interim target of reducing emissions by 10 megatonnes by 2030 across the value chain.,5,2023_SUNCOR ENERGY_sustainability_report.pdf,Suncor Energy Report on Sustainability 2023,"Suncor states its net zero by 2050 objective, with an interim target of reducing emissions by 10 megatonnes by 2030 across its value chain, is well underway. The report describes a proposed carbon capture and storage (CCS) project in northern Alberta with the Pathways Alliance, a consortium of Canada's six largest oil sands producers, and states the Alliance's agreement with the Government of Alberta achieved a critical milestone."
valid_project_evidence,,page_level_project_or_measure_evidence,carbon_management,"Carbon management, methane, CCUS, and removals",r454_sompoholdings,SOMPO HOLDINGS,损保控股有限公司,454,J,Finance,methane_flaring,Methane leak detection from satellite images,Momentick methane leak satellite-image demonstration experiment,Sompo Japan Insurance and Sompo Risk Management demonstration experiment with Momentick Ltd. to analyze methane leaks from corporate facilities using satellite images,demonstration experiment started,2024,,,missing_project_cost_or_investment_evidence,The snippet describes detection and analysis of greenhouse gas methane leaks; quantified abatement is not disclosed.,52,2024_SOMPO HOLDINGS_sustainability_report.pdf,SOMPO Holdings Sustainability Report 2024,"Sompo states that Sompo Japan Insurance and Sompo Risk Management started a demonstration experiment with Momentick Ltd., an Israeli start-up with methane detection technology based on satellite information, to develop services and insurance using technology for analyzing greenhouse gas methane leaks from corporate facilities from satellite images."
valid_project_evidence,,page_level_project_or_measure_evidence,carbon_management,"Carbon management, methane, CCUS, and removals",r461_rabobankgroup,RABOBANK GROUP,荷兰合作银行集团,461,J,Finance,removals_offsets,Agroforestry carbon removal units,Acorn Agroforestry Carbon Removal Units program,Smallholder farmer agroforestry program generating Carbon Removal Units and certified nature-based carbon credits,program active and scaled,2024,,Report states 80% of carbon sales revenue goes to farmers.,cost_not_disclosed_or_unquantified_review_note,"Report states smallholder farmers switching to agroforestry can generate Carbon Removal Units through the Acorn program; 435,407 farmers were supported by Acorn.",16,rabobank_impact_report_2024.pdf,Rabobank Impact Report 2024,"Rabobank states that in 2024 it strengthened sustainability efforts through the Acorn program. Smallholder farmers in developing and emerging regions that switch to agroforestry can generate Carbon Removal Units through the Acorn program, Agroforestry Carbon Removal Units for the Organic Restoration of Nature. The report states 435,407 farmers were supported by Acorn and 80% of carbon sales revenue goes to farmers."
valid_project_evidence,,page_level_project_or_measure_evidence,electrified_transport,Electrified transport,r001_walmart,WALMART,沃尔玛,1,F,Wholesale and Retail Trade,fleet_ev,Heavy-duty battery EVs and electric yard trucks,Class 8 Heavy-Duty and Yard Truck Innovations,Piloting electric semi-trucks and using electric yard trucks at some facilities,piloting and in-use at some facilities,2024,,,missing_project_cost_or_investment_evidence,Report states electric yard trucks demonstrated over a 75% emissions reduction per hour of operation compared to diesel-powered vehicles.,31,FY2025-Walmart-ESG-Report.pdf,Walmart ESG Report FY2025,"Class 8 Heavy-Duty and Yard Truck Innovations: We support the development of new technologies like renewable diesel, battery-electric, and hydrogen fuels through feasibility testing and collaboration with manufacturers. For example, we are piloting electric semi-trucks in our fleet and currently use electric yard trucks at some facilities, which have demonstrated over a 75% emissions reduction, per hour of operation, compared to diesel-powered vehicles."
valid_project_evidence,,page_level_project_or_measure_evidence,electrified_transport,Electrified transport,r002_amazoncom,AMAZON.COM,亚马逊,2,F,Wholesale and Retail Trade,fleet_ev,Electric delivery vans and charging network,Electric delivery fleet expansion,Deploying electric delivery vans globally and chargers at delivery stations,deployed and expanding,2024 | 2025 | 2030,,,missing_project_cost_or_investment_evidence,Report describes the eActros 600 heavy goods vehicles joining Amazon's Europe network as zero-tailpipe-emission vehicles; no quantified CO2e avoided amount is disclosed in this snippet.,9,2024-amazon-sustainability-report.pdf,Amazon Sustainability Report 2024,"Expanding our electric delivery fleet by delivering 1.5 billion packages to customers using more than 31,400 electric delivery vans and other EVs. To support our expanding EV network, we installed 11,770 chargers at 50 delivery stations, creating the largest private charging network in the U.S. In early 2025, we also announced our largest order of zero-tailpipe-emission heavy goods vehicles, with more than 200 new Mercedes-Benz Trucks eActros 600 vehicles set to join our transportation network in Europe."
