batch_id,world500_rank,company_name_zh,company_name_en,report_id,source_file,topic,priority,suggested_action_zh,resolution_status,evidence_page,affected_batch,resolution_note_zh,resolution_note_en
batch_11,5,中国石油化工集团有限公司,SINOPEC GROUP,r005_sinopecgroup__20240__annualreport,Sinopec_Group_Annual_Report_2024_en.pdf,standard_basis,high,请补标并定位该报告中与「标准依据」相关的原文页码。,open_manual_review,,batch_11,已复核当前候选证据，现阶段不宜硬性补录，继续保留缺口。,Reviewed the current evidence candidates; the gap remains open because a forced backfill would be unsafe.
batch_01,18,Cencora公司,Cencora公司,r018_cencora公司__20240__other,Cencora-2024-ent-00435-crsummaryreport-fnl2.pdf,standard_basis,high,请补标并定位该报告中与「标准依据」相关的原文页码。,open_manual_review,,batch_01,已复核现有抽取文本，未发现足够强的显式标准/方法证据，继续保留为人工复核缺口。,Reviewed the current extracted text and did not find sufficiently explicit standard/method evidence; keep the gap open for manual review.
batch_11,58,房利美,FANNIE MAE,r058_fanniemae__20240__other,FannieMae_2024_Form10K.pdf,standard_basis,high,请补标并定位该报告中与「标准依据」相关的原文页码。,open_manual_review,,batch_11,已复核当前候选证据，现阶段不宜硬性补录，继续保留缺口。,Reviewed the current evidence candidates; the gap remains open because a forced backfill would be unsafe.
batch_03,104,法国兴业银行,SOCIÉTÉ GÉNÉRALE,r104_sociétégénérale__20250__other,SOCIÉTÉ GÉNÉRALE-ag-2025-bilan-social-2024-fr.pdf,standard_basis,high,请补标并定位该报告中与「标准依据」相关的原文页码。,open_manual_review,,batch_03,已复核现有抽取文本，未发现足够强的显式标准/方法证据，继续保留为人工复核缺口。,Reviewed the current extracted text and did not find sufficiently explicit standard/method evidence; keep the gap open for manual review.
batch_03,110,特斯拉,TESLA,r110_tesla__20240__impactreport,2024-tesla-impact-report-highlights.pdf,standard_basis,high,请补标并定位该报告中与「标准依据」相关的原文页码。,open_manual_review,,batch_03,已复核现有抽取文本，未发现足够强的显式标准/方法证据，继续保留为人工复核缺口。,Reviewed the current extracted text and did not find sufficiently explicit standard/method evidence; keep the gap open for manual review.
batch_04,152,艾伯森公司,ALBERTSONS,r152_albertsons__20200__other,ALBERTSONS-aci2020ada_download.pdf,standard_basis,high,请补标并定位该报告中与「标准依据」相关的原文页码。,open_manual_review,,batch_04,已复核现有抽取文本，未发现足够强的显式标准/方法证据，继续保留为人工复核缺口。,Reviewed the current extracted text and did not find sufficiently explicit standard/method evidence; keep the gap open for manual review.
batch_12,156,美国邮政,U.S. POSTAL SERVICE,r156_uspostalservice__20240__impactreport,usps-impact-report-2024.pdf,standard_basis,high,请补标并定位该报告中与「标准依据」相关的原文页码。,open_manual_review,,batch_12,已复核现有抽取文本，未发现足够强的显式标准/方法证据，继续保留为人工复核缺口。,Reviewed the current extracted text and did not find sufficiently explicit standard/method evidence; keep the gap open for manual review.
batch_10,453,莱纳公司,LENNAR,r453_lennar__20240__other,FINAL-2024_LENNAR-Social_Responsibility_Report.pdf,standard_basis,high,请补标并定位该报告中与「标准依据」相关的原文页码。,open_manual_review,,batch_10,已复核现有抽取文本，未发现足够强的显式标准/方法证据，继续保留为人工复核缺口。,Reviewed the current extracted text and did not find sufficiently explicit standard/method evidence; keep the gap open for manual review.
batch_03,110,特斯拉,TESLA,r110_tesla__20240__impactreport,2024-tesla-impact-report-highlights.pdf,data_quality_method,high,请补标并定位该报告中与「数据质量与核查方法」相关的原文页码。,open_manual_review,,batch_03,已复核现有抽取文本，未发现足够强的显式标准/方法证据，继续保留为人工复核缺口。,Reviewed the current extracted text and did not find sufficiently explicit standard/method evidence; keep the gap open for manual review.
batch_10,453,莱纳公司,LENNAR,r453_lennar__20240__other,FINAL-2024_LENNAR-Social_Responsibility_Report.pdf,data_quality_method,high,请补标并定位该报告中与「数据质量与核查方法」相关的原文页码。,open_manual_review,,batch_10,已复核现有抽取文本，未发现足够强的显式标准/方法证据，继续保留为人工复核缺口。,Reviewed the current extracted text and did not find sufficiently explicit standard/method evidence; keep the gap open for manual review.
