batch_id,standard_reference_id,report_id,company_id,company_name_zh,company_name_en,world500_rank,standard_name_en,standard_name_zh,standard_family_en,standard_family_zh,standard_role_en,standard_role_zh,referenced_content_en,referenced_content_zh,scope_relevance_en,scope_relevance_zh,emission_type_relevance_en,emission_type_relevance_zh,accounting_principle_en,accounting_principle_zh,is_gb_standard,gb_standard_code,referenced_snippet,evidence_page,review_status,confidence_level
batch_07,batch_07__r263_novartis__20240__integratedreport__gri,r263_novartis__20240__integratedreport,r263_novartis,诺华公司,NOVARTIS,263,GRI,GRI,ESG disclosure framework,ESG披露框架,Disclosure standard,披露标准,Sustainability disclosure index and emissions-related reporting indicators.,可持续披露指标索引及排放相关披露指标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Materiality|Comparability,重要性|可比性,no,,Code of Obligations 63 Task Force on Climate-related Financial Disclosures (TCFD) index 64 2024 climate scenario analysis in accordance with the recommendations of the Task Force on Climate-related Financial Disclosures (TCFD) 65 Global Rep,2,seed_batch_07,medium
batch_07,batch_07__r263_novartis__20240__integratedreport__tcfd,r263_novartis__20240__integratedreport,r263_novartis,诺华公司,NOVARTIS,263,TCFD,TCFD,Climate disclosure framework,气候信息披露框架,Disclosure recommendation,披露建议,"Climate governance, strategy, risk management, and metrics and targets.",气候治理、战略、风险管理以及指标与目标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Materiality|Consistency,重要性|一致性,no,,Code of Obligations 63 Task Force on Climate-related Financial Disclosures (TCFD) index 64 2024 climate scenario analysis in accordance with the recommendations of the Task Force on Climate-related Financial Disclosures (TCFD) 65 Global Rep,2,seed_batch_07,medium
batch_07,batch_07__r263_novartis__20240__integratedreport__sbti,r263_novartis__20240__integratedreport,r263_novartis,诺华公司,NOVARTIS,263,SBTi,SBTi,Climate target governance system,气候目标治理体系,Target validation guideline,目标审定指引,Science-based target setting and validation for Scope 1-3 targets.,针对Scope 1-3目标的科学碳目标设定与审定。,Scope 1|Scope 2|Scope 3,范围1|范围2|范围3,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Science-based ambition,科学目标约束,no,,"rgy solutions across our operations, and reduce consumption of natural resources. Our activities led to a reduction of our own emissions and those from purchased energy (Scope 1 and 2) by 20% from the prior year and 71% from a 2016 base yea",27,seed_batch_07,medium
batch_07,batch_07__r263_novartis__20240__integratedreport__ghg_protocol,r263_novartis__20240__integratedreport,r263_novartis,诺华公司,NOVARTIS,263,GHG Protocol,GHG Protocol,GHG accounting system,温室气体核算体系,Accounting standard,核算标准,"Corporate greenhouse-gas inventory, Scope 1-3 boundary and accounting rules.",企业温室气体清单、Scope 1-3边界及核算规则。,Scope 1|Scope 2|Scope 3,范围1|范围2|范围3,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Relevance|Completeness|Consistency|Transparency|Accuracy,相关性|完整性|一致性|透明性|准确性,no,,ta against these estimates will be restated for 2024 in our sustainability report the following year. 2022 and 2023 reflect full year actuals data. Data from the Novartis entity Abadia Retuerta is included in the 2024 environmental data 2 N,28,seed_batch_07,medium
batch_07,batch_07__r264_riotintogroup__20240__annualreport__gri,r264_riotintogroup__20240__annualreport,r264_riotintogroup,力拓集团,RIO TINTO GROUP,264,GRI,GRI,ESG disclosure framework,ESG披露框架,Disclosure standard,披露标准,Sustainability disclosure index and emissions-related reporting indicators.,可持续披露指标索引及排放相关披露指标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Materiality|Comparability,重要性|可比性,no,,"ities for, stakeholders. Our ESG materiality assessment considers our impacts externally and, conversely, the effect of external factors on our business. As an ICMM member, we commit to reporting on our ESG performance against the Global Re",35,seed_batch_07,medium
batch_07,batch_07__r264_riotintogroup__20240__annualreport__ifrs_s2,r264_riotintogroup__20240__annualreport,r264_riotintogroup,力拓集团,RIO TINTO GROUP,264,IFRS S2,IFRS S2,Climate disclosure standard,气候披露标准,Disclosure standard,披露标准,Climate-related financial disclosures and emissions metrics for investors.,面向投资者的气候相关财务披露及排放指标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Financial materiality|Comparability,财务重要性|可比性,no,,ts continue to be complemented by investment in nature-based solutions and the purchase of high-quality carbon credits. We are also applying our integrity screening criteria to the ACCUs we procure to meet our Safeguard Mechanism obligation,50,seed_batch_07,medium
batch_07,batch_07__r264_riotintogroup__20240__annualreport__ghg_protocol,r264_riotintogroup__20240__annualreport,r264_riotintogroup,力拓集团,RIO TINTO GROUP,264,GHG Protocol,GHG Protocol,GHG accounting system,温室气体核算体系,Accounting standard,核算标准,"Corporate greenhouse-gas inventory, Scope 1-3 boundary and accounting rules.",企业温室气体清单、Scope 1-3边界及核算规则。,Scope 1|Scope 2|Scope 3,范围1|范围2|范围3,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Relevance|Completeness|Consistency|Transparency|Accuracy,相关性|完整性|一致性|透明性|准确性,no,,red to find suitable sites and engage with Traditional Owners. We invest our own capital in renewable energy projects while also using other renewable energy procurement methods (such as PPAs and EACs) that align with global standards and p,55,seed_batch_07,medium
batch_07,batch_07__r264_riotintogroup__20240__annualreport__tcfd,r264_riotintogroup__20240__annualreport,r264_riotintogroup,力拓集团,RIO TINTO GROUP,264,TCFD,TCFD,Climate disclosure framework,气候信息披露框架,Disclosure recommendation,披露建议,"Climate governance, strategy, risk management, and metrics and targets.",气候治理、战略、风险管理以及指标与目标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Materiality|Consistency,重要性|一致性,no,,Task Force on Climate-related Financial Disclosures Index This section complies with the requirements of the Financial Conduct Authority’s Listing Rule UKLR 6.6.6(8)R by reporting in line with the Task Force on Climate-related Financial Dis,77,seed_batch_07,medium
batch_07,batch_07__r270_unitedairlinesholdings__20240__other__tcfd,r270_unitedairlinesholdings__20240__other,r270_unitedairlinesholdings,联合航空控股公司,UNITED AIRLINES HOLDINGS,270,TCFD,TCFD,Climate disclosure framework,气候信息披露框架,Disclosure recommendation,披露建议,"Climate governance, strategy, risk management, and metrics and targets.",气候治理、战略、风险管理以及指标与目标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Materiality|Consistency,重要性|一致性,no,,re we live and fly. Key issues include: • Responding to crisis • Building community: creating a sense of belonging • Customer support for good causes • Inspiring the next generation of leaders • Championing environmental sustainability Lear,3,seed_batch_07,medium
batch_07,batch_07__r270_unitedairlinesholdings__20240__other__sbti,r270_unitedairlinesholdings__20240__other,r270_unitedairlinesholdings,联合航空控股公司,UNITED AIRLINES HOLDINGS,270,SBTi,SBTi,Climate target governance system,气候目标治理体系,Target validation guideline,目标审定指引,Science-based target setting and validation for Scope 1-3 targets.,针对Scope 1-3目标的科学碳目标设定与审定。,Scope 1|Scope 2|Scope 3,范围1|范围2|范围3,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Science-based ambition,科学目标约束,no,,"onmental sustainability Community Appendix Cybersecurity People and human capital management Previous 2024 United Airlines Corporate Impact Report corporateimpact.united.com – 41 Next OUR ENVIRONMENTAL STRATEGY 1 United’s complete target, ",41,seed_batch_07,medium
batch_07,batch_07__r270_unitedairlinesholdings__20240__other__ghg_protocol,r270_unitedairlinesholdings__20240__other,r270_unitedairlinesholdings,联合航空控股公司,UNITED AIRLINES HOLDINGS,270,GHG Protocol,GHG Protocol,GHG accounting system,温室气体核算体系,Accounting standard,核算标准,"Corporate greenhouse-gas inventory, Scope 1-3 boundary and accounting rules.",企业温室气体清单、Scope 1-3边界及核算规则。,Scope 1|Scope 2|Scope 3,范围1|范围2|范围3,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Relevance|Completeness|Consistency|Transparency|Accuracy,相关性|完整性|一致性|透明性|准确性,no,,"reductions through investments in new aircraft, SAF and other decarbonization technologies. Our GHG emissions and carbon footprint in 20241 Tracking our progress toward a 100% reduction in GHG emissions on a net basis Our reporting methodol",43,seed_batch_07,medium
batch_07,batch_07__r270_unitedairlinesholdings__20240__other__esrs_csrd,r270_unitedairlinesholdings__20240__other,r270_unitedairlinesholdings,联合航空控股公司,UNITED AIRLINES HOLDINGS,270,ESRS/CSRD,ESRS/CSRD,EU sustainability disclosure regime,欧盟可持续披露体系,Disclosure standard,披露标准,EU sustainability reporting requirements including climate metrics and governance.,欧盟可持续报告要求，包括气候指标与治理要求。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Double materiality|Comparability,双重重要性|可比性,no,,"k United risk area(s) Potential impact of risk to United Timeframe/impact United’s risk response and management Anticipated increase of climate disclosure requirements, and therefore compliance risk, associated with GHG emissions and climat",87,seed_batch_07,medium
batch_07,batch_07__r273_iberdrola公司__20240__sustainabilityreport__esrs_csrd,r273_iberdrola公司__20240__sustainabilityreport,r273_iberdrola公司,Iberdrola公司,Iberdrola公司,273,ESRS/CSRD,ESRS/CSRD,EU sustainability disclosure regime,欧盟可持续披露体系,Disclosure standard,披露标准,EU sustainability reporting requirements including climate metrics and governance.,欧盟可持续报告要求，包括气候指标与治理要求。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Double materiality|Comparability,双重重要性|可比性,no,,"The Group’s Non-Financial Information Statement for the year ended 31 December 2024 has not been prepared, in all material respects, in accordance with prevailing mercantile legislation and selected criteria of the European Sustainability R",5,seed_batch_07,medium
batch_07,batch_07__r273_iberdrola公司__20240__sustainabilityreport__sasb,r273_iberdrola公司__20240__sustainabilityreport,r273_iberdrola公司,Iberdrola公司,Iberdrola公司,273,SASB,SASB,Industry disclosure framework,行业披露框架,Disclosure guideline,披露指引,Industry-specific sustainability metrics and investor-facing climate indicators.,行业特定可持续指标及投资者导向的气候指标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Financial materiality,财务重要性,no,,tion 2020/852 on the establishment of a framework to facilitate sustainable investment and the rules in implementation thereof1. The Company has also reported on the disclosure requirements and recommendations of the Sustainability Accounti,15,seed_batch_07,medium
batch_07,batch_07__r273_iberdrola公司__20240__sustainabilityreport__ifrs_s2,r273_iberdrola公司__20240__sustainabilityreport,r273_iberdrola公司,Iberdrola公司,Iberdrola公司,273,IFRS S2,IFRS S2,Climate disclosure standard,气候披露标准,Disclosure standard,披露标准,Climate-related financial disclosures and emissions metrics for investors.,面向投资者的气候相关财务披露及排放指标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Financial materiality|Comparability,财务重要性|可比性,no,,tion 2020/852 on the establishment of a framework to facilitate sustainable investment and the rules in implementation thereof1. The Company has also reported on the disclosure requirements and recommendations of the Sustainability Accounti,15,seed_batch_07,medium
batch_07,batch_07__r273_iberdrola公司__20240__sustainabilityreport__gri,r273_iberdrola公司__20240__sustainabilityreport,r273_iberdrola公司,Iberdrola公司,Iberdrola公司,273,GRI,GRI,ESG disclosure framework,ESG披露框架,Disclosure standard,披露标准,Sustainability disclosure index and emissions-related reporting indicators.,可持续披露指标索引及排放相关披露指标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Materiality|Comparability,重要性|可比性,no,,wing table on a consolidated basis: Financial assistance (millions of euros) Financial assistance 2024 2023 Capital subsidies 87 9 Operating subsidies 4 5 Investment tax credits7 126 0 Production tax credits8 248 234 Assistance for other it,51,seed_batch_07,medium
