closure_id,series_id,series_name_en,series_name_zh,zero_accepted_status,promotion_allowed,company_id,company_name_en,world500_rank,match_status,evidence_gate,pages,source_files,not_acceptance_reason_code,not_acceptance_reason_en,not_acceptance_reason_zh,required_next_evidence_en,safe_decision_en,sample_snippet_en
GHGP-ZERO-0001,ghg_land_sector_removals_standard,GHG Protocol Land Sector and Removals Standard,GHG Protocol 土地部门与碳移除标准,zero_accepted_review_only,false,r007_apple,APPLE,7,contextual_scope_inventory_mapping,no_explicit_whitelisted_series_name_in_page_text,100,Apple_Environmental_Progress_Report_2025.pdf,contextual_or_generic_ghg_without_exact_standard_use,The row is contextual or generic GHG evidence. It does not explicitly name this exact GHGP standard with use/adoption/calculation/reporting context.,该行为上下文或泛化 GHG 证据，没有明确命名该具体 GHGP 标准并体现使用、采纳、计算或报告语境。,"Only page-level PDF text that explicitly names this controlled GHGP standard and shows adoption, use, calculation, reporting, or assurance context may create an accepted edge.",Keep out of the accepted standard-company graph until new page-level evidence satisfies the evidence gate.,"ee data center in Iowa, bringing our total Apple-owned data center count to eight. We worked with local partners, including the City of Waukee and MidAmerican Energy, to source and provide wind energy for the site. 4 Emissions avoided are c"
GHGP-ZERO-0002,ghg_land_sector_removals_standard,GHG Protocol Land Sector and Removals Standard,GHG Protocol 土地部门与碳移除标准,zero_accepted_review_only,false,r117_adm公司,ADM,117,contextual_overmapped_review,no_explicit_whitelisted_series_name_in_page_text,25,final_archer-daniels-midland-adm_2023-corporate-sustainability-report.pdf,monitoring_awaiting_finalization_not_adoption,"The snippet references monitoring or awaiting finalization of related GHGP land/removals guidance; it does not show adoption, use, calculation, or reporting under the standard.",片段只是监测/等待相关土地与移除指南定稿，不证明企业已采用、使用、计算或按该标准报告。,"Only page-level PDF text that explicitly names this controlled GHGP standard and shows adoption, use, calculation, reporting, or assurance context may create an accepted edge.",Keep out of the accepted standard-company graph until new page-level evidence satisfies the evidence gate.,"Scope 3 ADM continues to monitor the evolving landscape of GHG accounting best practices as we await the finalization of the GHG Protocol’s Land Sector and Removals Guidance, expected to be released in late 2024, and potential subsequent up"
GHGP-ZERO-0003,ghg_land_sector_removals_standard,GHG Protocol Land Sector and Removals Standard,GHG Protocol 土地部门与碳移除标准,zero_accepted_review_only,false,r123_pepsico,PEPSICO,123,contextual_scope_inventory_mapping,no_explicit_whitelisted_series_name_in_page_text,21,PEPSICO-2024-esg-summary-esg-performance-metrics.pdf,contextual_or_generic_ghg_without_exact_standard_use,The row is contextual or generic GHG evidence. It does not explicitly name this exact GHGP standard with use/adoption/calculation/reporting context.,该行为上下文或泛化 GHG 证据，没有明确命名该具体 GHGP 标准并体现使用、采纳、计算或报告语境。,"Only page-level PDF text that explicitly names this controlled GHGP standard and shows adoption, use, calculation, reporting, or assurance context may create an accepted edge.",Keep out of the accepted standard-company graph until new page-level evidence satisfies the evidence gate.,"Structured standard tag: GHG Protocol; Standard role: Accounting standard ith industry standards, advocating for supportive government policies and understanding the views of diverse stakeholders will influence the progress we are able to make in working towards our targets. 1 Goal tracks Scope 1 and 2 emissions PEPSICO-2024-esg-summary-esg-performance-metr…"
GHGP-ZERO-0004,ghg_land_sector_removals_standard,GHG Protocol Land Sector and Removals Standard,GHG Protocol 土地部门与碳移除标准,zero_accepted_review_only,false,r140_tesco,TESCO,140,contextual_scope_inventory_mapping,no_explicit_whitelisted_series_name_in_page_text,10,tesco-sustainability-report-2025.pdf,contextual_or_generic_ghg_without_exact_standard_use,The row is contextual or generic GHG evidence. It does not explicitly name this exact GHGP standard with use/adoption/calculation/reporting context.,该行为上下文或泛化 GHG 证据，没有明确命名该具体 GHGP 标准并体现使用、采纳、计算或报告语境。,"Only page-level PDF text that explicitly names this controlled GHGP standard and shows adoption, use, calculation, reporting, or assurance context may create an accepted edge.",Keep out of the accepted standard-company graph until new page-level evidence satisfies the evidence gate.,"Structured standard tag: GHG Protocol; Standard role: Accounting standard Scope 3 methodology We continually work to improve our footprint data to comply with the SBTi guidelines and the GHG Protocol. Our footprint calculations were mainly based on secondary emissions factors, in line with the industry, but we’re tesco-sustainability-report-2025.pdf The pil…"
GHGP-ZERO-0005,ghg_land_sector_removals_standard,GHG Protocol Land Sector and Removals Standard,GHG Protocol 土地部门与碳移除标准,zero_accepted_review_only,false,r367_canadianimperialbankofcommerce,CANADIAN IMPERIAL BANK OF COMMERCE,367,contextual_scope_inventory_mapping,no_explicit_whitelisted_series_name_in_page_text,100,CANADIAN IMPERIAL BANK OF COMMERCE-sustainability-report-2024-en.pdf,contextual_or_generic_ghg_without_exact_standard_use,The row is contextual or generic GHG evidence. It does not explicitly name this exact GHGP standard with use/adoption/calculation/reporting context.,该行为上下文或泛化 GHG 证据，没有明确命名该具体 GHGP 标准并体现使用、采纳、计算或报告语境。,"Only page-level PDF text that explicitly names this controlled GHGP standard and shows adoption, use, calculation, reporting, or assurance context may create an accepted edge.",Keep out of the accepted standard-company graph until new page-level evidence satisfies the evidence gate.,(1) 2024 purchased carbon removals relate to reforestation projects that adhere to the AB32 Compliance; Climate Action Reserve voluntary market standard. (2) All Scope 3 emissions are calculated and disclosed using the following reporting s
GHGP-ZERO-0006,ghg_land_sector_removals_standard,GHG Protocol Land Sector and Removals Standard,GHG Protocol 土地部门与碳移除标准,zero_accepted_review_only,false,r425_olamgroup,OLAM GROUP,425,contextual_scope_inventory_mapping,no_explicit_whitelisted_series_name_in_page_text,99,OLAM GROUP_annual_report_2024.pdf,contextual_or_generic_ghg_without_exact_standard_use,The row is contextual or generic GHG evidence. It does not explicitly name this exact GHGP standard with use/adoption/calculation/reporting context.,该行为上下文或泛化 GHG 证据，没有明确命名该具体 GHGP 标准并体现使用、采纳、计算或报告语境。,"Only page-level PDF text that explicitly names this controlled GHGP standard and shows adoption, use, calculation, reporting, or assurance context may create an accepted edge.",Keep out of the accepted standard-company graph until new page-level evidence satisfies the evidence gate.,"Structured standard tag: GHG Protocol; Standard role: Accounting standard ions by 30.3% by 2030. Measuring Olam Group’s carbon footprint is the first step in informing our climate transition approach. To improve the accuracy of carbon footprint measurements, we use corporate footprint accounting tools and process OLAM GROUP_annual_report_2024.pdf In June, a…"
GHGP-ZERO-0007,ghg_land_sector_removals_standard,GHG Protocol Land Sector and Removals Standard,GHG Protocol 土地部门与碳移除标准,zero_accepted_review_only,false,r461_rabobankgroup,RABOBANK GROUP,461,contextual_scope_inventory_mapping,no_explicit_whitelisted_series_name_in_page_text,47,rabobank_impact_report_2024.pdf,contextual_or_generic_ghg_without_exact_standard_use,The row is contextual or generic GHG evidence. It does not explicitly name this exact GHGP standard with use/adoption/calculation/reporting context.,该行为上下文或泛化 GHG 证据，没有明确命名该具体 GHGP 标准并体现使用、采纳、计算或报告语境。,"Only page-level PDF text that explicitly names this controlled GHGP standard and shows adoption, use, calculation, reporting, or assurance context may create an accepted edge.",Keep out of the accepted standard-company graph until new page-level evidence satisfies the evidence gate.,"ects. Concurrently, we will intensify our efforts to reduce our own operational emissions, striving for greater efficiency and lower carbon footprints. We recognize the importance of carbon removals and will update our policy in alignment w"
GHGP-ZERO-0008,ghg_land_sector_removals_standard,GHG Protocol Land Sector and Removals Standard,GHG Protocol 土地部门与碳移除标准,zero_accepted_review_only,false,r492_emiratesgroup,EMIRATES GROUP,492,contextual_scope_inventory_mapping,no_explicit_whitelisted_series_name_in_page_text,71,2023-2024-EMIRATES GROUP-annual-report.pdf,contextual_or_generic_ghg_without_exact_standard_use,The row is contextual or generic GHG evidence. It does not explicitly name this exact GHGP standard with use/adoption/calculation/reporting context.,该行为上下文或泛化 GHG 证据，没有明确命名该具体 GHGP 标准并体现使用、采纳、计算或报告语境。,"Only page-level PDF text that explicitly names this controlled GHGP standard and shows adoption, use, calculation, reporting, or assurance context may create an accepted edge.",Keep out of the accepted standard-company graph until new page-level evidence satisfies the evidence gate.,"Structured standard tag: GHG Protocol; Standard role: Accounting standard tions and the management of the Dubai Desert Conservation Reserve, during the financial year ended 31 March 2024. All other businesses of Emirates are excluded in the below metrics. References to Scope 1 and 2 emissions below are based on d 2023-2024-EMIRATES GROUP-annual-report.pdf E…"
GHGP-ZERO-0009,ghg_cities_gpc,Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,社区规模温室气体排放清单全球协议（GPC）,zero_accepted_no_current_evidence,false,,,,,,,,no_current_page_level_source_text,No current workbench row names this controlled GHGP standard at page level; no company-standard edge can be drawn.,当前工作台没有页级原文命名该 GHGP 受控标准，不能生成企业-标准边。,"Only page-level PDF text that explicitly names this controlled GHGP standard and shows adoption, use, calculation, reporting, or assurance context may create an accepted edge.",Keep out of the accepted standard-company graph until new page-level evidence satisfies the evidence gate.,
GHGP-ZERO-0010,ghg_mitigation_goal_standard,GHG Protocol Mitigation Goal Standard,GHG Protocol 减缓目标标准,zero_accepted_no_current_evidence,false,,,,,,,,no_current_page_level_source_text,No current workbench row names this controlled GHGP standard at page level; no company-standard edge can be drawn.,当前工作台没有页级原文命名该 GHGP 受控标准，不能生成企业-标准边。,"Only page-level PDF text that explicitly names this controlled GHGP standard and shows adoption, use, calculation, reporting, or assurance context may create an accepted edge.",Keep out of the accepted standard-company graph until new page-level evidence satisfies the evidence gate.,
GHGP-ZERO-0011,ghg_policy_action_standard,GHG Protocol Policy and Action Standard,GHG Protocol 政策与行动标准,zero_accepted_no_current_evidence,false,,,,,,,,no_current_page_level_source_text,No current workbench row names this controlled GHGP standard at page level; no company-standard edge can be drawn.,当前工作台没有页级原文命名该 GHGP 受控标准，不能生成企业-标准边。,"Only page-level PDF text that explicitly names this controlled GHGP standard and shows adoption, use, calculation, reporting, or assurance context may create an accepted edge.",Keep out of the accepted standard-company graph until new page-level evidence satisfies the evidence gate.,
GHGP-ZERO-0012,ghg_grid_connected_electricity_projects,GHG Protocol Guidelines for Grid-Connected Electricity Projects,GHG Protocol 并网电力项目指南,zero_accepted_no_current_evidence,false,,,,,,,,no_current_page_level_source_text,No current workbench row names this controlled GHGP standard at page level; no company-standard edge can be drawn.,当前工作台没有页级原文命名该 GHGP 受控标准，不能生成企业-标准边。,"Only page-level PDF text that explicitly names this controlled GHGP standard and shows adoption, use, calculation, reporting, or assurance context may create an accepted edge.",Keep out of the accepted standard-company graph until new page-level evidence satisfies the evidence gate.,
