series_id,series_name_en,series_name_zh,accepted_company_count,review_company_count,evidence_count,current_status,audit_decision_en,audit_decision_zh,review_basis_en,review_basis_zh,candidate_company_ids,candidate_pages,candidate_source_files,sample_snippet_en
ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,GHG Protocol 企业核算与报告标准,99,117,949,has_accepted_edges,Not a zero-accepted standard. Accepted edges remain governed by the fine-series acceptance ledger.,不是 0 accepted 标准；已采信边继续受细分标准采信台账约束。,accepted_count_positive,accepted 数量大于 0,r001_walmart | r002_amazoncom | r004_saudiaramco | r007_apple | r008_unitedhealthgroup | r010_cvshealth公司 | r011_volkswagen | r012_exxonmobil,7 | 16 | 2 | 100 | 33 | 80 | 36 | 90,FY2025-Walmart-ESG-Report.pdf | 2024-amazon-sustainability-report.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | Apple_Environmental_Progress_Report_2025.pdf | UNITEDHEALTH GROUP—2024-sustainability-report.pdf,"pleteness|Consistency|Transparency|Accuracy 相关性|完整性|一致性|透明性|准确性 rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard rting Walmart Inc. calculates its GHG emissions footpr… | mber of services, regions, and time periods, and this transparency allows customers to identify areas of higher emissions and implement targeted optimizations to reduce their footprint. We continued to advocate for updated carbon accounting"
ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,68,118,680,has_accepted_edges,Not a zero-accepted standard. Accepted edges remain governed by the fine-series acceptance ledger.,不是 0 accepted 标准；已采信边继续受细分标准采信台账约束。,accepted_count_positive,accepted 数量大于 0,r001_walmart | r002_amazoncom | r004_saudiaramco | r005_sinopecgroup | r007_apple | r008_unitedhealthgroup | r010_cvshealth公司 | r011_volkswagen,7 | 34 | 16 | 2 | 6 | 100 | 106 | 33,FY2025-Walmart-ESG-Report.pdf | 2024-amazon-sustainability-report.pdf | 2024-saudi-aramco-sustainability-report-full-en.pdf | Sinopec_Group_Annual_Report_2024_en.pdf | Apple_Environmental_Progress_Report_2025.pdf,"|准确性 rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol… | mber of services, regions, and time periods, and this transparency allows customers to identify areas of higher emissions and implement targeted optimizations to reduce their footprint. We continued to advocate for updated carbon accounting"
ghg_land_sector_removals_standard,GHG Protocol Land Sector and Removals Standard,GHG Protocol 土地部门与碳移除标准,0,8,12,zero_accepted_review_only,"Current rows are contextual or possible overmapping review leads. They do not explicitly show adoption/use of this exact standard, so they remain outside the accepted graph.",当前行只是上下文或疑似过度映射复核线索，未明确证明企业采用/使用该具体标准，因此不进入 accepted 图谱。,review_or_contextual_rows_exist_but_no_explicit_accepted_use,存在复核/上下文行，但没有可采信的明确使用证据,r007_apple | r117_adm公司 | r123_pepsico | r140_tesco | r367_canadianimperialbankofcommerce | r425_olamgroup | r461_rabobankgroup | r492_emiratesgroup,100 | 25 | 21 | 10 | 99 | 47 | 71,Apple_Environmental_Progress_Report_2025.pdf | final_archer-daniels-midland-adm_2023-corporate-sustainability-report.pdf | PEPSICO-2024-esg-summary-esg-performance-metrics.pdf | tesco-sustainability-report-2025.pdf | CANADIAN IMPERIAL BANK OF COMMERCE-sustainability-report-2024-en.pdf,"ee data center in Iowa, bringing our total Apple-owned data center count to eight. We worked with local partners, including the City of Waukee and MidAmerican Energy, to source and provide wind energy for the site. 4 Emissions avoided are c | Scope 3 ADM continues to monitor the evolving landscape of GHG accounting best practices as we await the finalization of the GHG Protocol’s Land Sector and Removals Guidance, expected to be released in late 2024, and potential subsequent up"
ghg_product_standard,GHG Protocol Product Life Cycle Accounting and Reporting Standard,GHG Protocol 产品生命周期核算与报告标准,1,17,26,has_accepted_edges,Not a zero-accepted standard. Accepted edges remain governed by the fine-series acceptance ledger.,不是 0 accepted 标准；已采信边继续受细分标准采信台账约束。,accepted_count_positive,accepted 数量大于 0,r007_apple | r011_volkswagen | r013_shell | r027_cardinalhealth | r049_electricitédefrance | r061_valeroenergy | r128_sony | r166_vinci,100 | 62 | 99 | 54 | 193 | 14 | 115 | 19,Apple_Environmental_Progress_Report_2025.pdf | 2023_Volkswagen_Group_Sustainability_Report.pdf | shell-annual-report-2024.pdf | cardinal-health-fy24-ESG-report.pdf | edf-urd-annual-financial-report-2024-en-accessible.pdf,"ee data center in Iowa, bringing our total Apple-owned data center count to eight. We worked with local partners, including the City of Waukee and MidAmerican Energy, to source and provide wind energy for the site. 4 Emissions avoided are c | inum content (since 2022). Transparency on CO₂ Emissions as a Basis for Improvements Every year, we calculate the Group’s carbon footprint using the Scope 1 to 3 inventory, in line with the requirements of the internationally accepted Green"
ghg_cities_gpc,Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,社区规模温室气体排放清单全球协议（GPC）,0,0,0,zero_accepted_no_current_evidence,No page-level source text in the current workbench names this controlled GHGP standard. Keep zero accepted; do not create company-standard edges without new PDF evidence.,当前 workbench 中没有页级原文命名该 GHGP 受控标准。保持 0 accepted；没有新增 PDF 证据前不得生成企业-标准边。,no_current_workbench_rows,当前工作台没有命中行,,,,
ghg_mitigation_goal_standard,GHG Protocol Mitigation Goal Standard,GHG Protocol 减缓目标标准,0,0,0,zero_accepted_no_current_evidence,No page-level source text in the current workbench names this controlled GHGP standard. Keep zero accepted; do not create company-standard edges without new PDF evidence.,当前 workbench 中没有页级原文命名该 GHGP 受控标准。保持 0 accepted；没有新增 PDF 证据前不得生成企业-标准边。,no_current_workbench_rows,当前工作台没有命中行,,,,
ghg_policy_action_standard,GHG Protocol Policy and Action Standard,GHG Protocol 政策与行动标准,0,0,0,zero_accepted_no_current_evidence,No page-level source text in the current workbench names this controlled GHGP standard. Keep zero accepted; do not create company-standard edges without new PDF evidence.,当前 workbench 中没有页级原文命名该 GHGP 受控标准。保持 0 accepted；没有新增 PDF 证据前不得生成企业-标准边。,no_current_workbench_rows,当前工作台没有命中行,,,,
ghg_scope2_guidance,GHG Protocol Scope 2 Guidance,GHG Protocol Scope 2 指南,39,122,513,has_accepted_edges,Not a zero-accepted standard. Accepted edges remain governed by the fine-series acceptance ledger.,不是 0 accepted 标准；已采信边继续受细分标准采信台账约束。,accepted_count_positive,accepted 数量大于 0,r001_walmart | r002_amazoncom | r007_apple | r008_unitedhealthgroup | r010_cvshealth公司 | r011_volkswagen | r012_exxonmobil | r013_shell,7 | 16 | 100 | 33 | 36 | 62 | 72 | 102,FY2025-Walmart-ESG-Report.pdf | 2024-amazon-sustainability-report.pdf | Apple_Environmental_Progress_Report_2025.pdf | UNITEDHEALTH GROUP—2024-sustainability-report.pdf | CVS Health-2024-Impact-Report-Appendix.pdf,"rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard | mber of services, regions, and time periods, and this transparency allows customers to identify areas of higher emissions and implement targeted optimizations to reduce their footprint. We continued to advocate for updated carbon accounting"
ghg_scope3_calculation_guidance,GHG Protocol Scope 3 Calculation Guidance,GHG Protocol Scope 3 计算指南,16,130,317,has_accepted_edges,Not a zero-accepted standard. Accepted edges remain governed by the fine-series acceptance ledger.,不是 0 accepted 标准；已采信边继续受细分标准采信台账约束。,accepted_count_positive,accepted 数量大于 0,r001_walmart | r002_amazoncom | r007_apple | r008_unitedhealthgroup | r010_cvshealth公司 | r011_volkswagen | r012_exxonmobil | r013_shell,7 | 16 | 100 | 33 | 36 | 62 | 72 | 99,FY2025-Walmart-ESG-Report.pdf | 2024-amazon-sustainability-report.pdf | Apple_Environmental_Progress_Report_2025.pdf | UNITEDHEALTH GROUP—2024-sustainability-report.pdf | CVS Health-2024-Impact-Report-Appendix.pdf,"Structured standard tag: GHG Protocol; Standard role: Accounting standard rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard FY2025-Walmart-ESG-Report.pdf INTRODUCTION O… | mber of services, regions, and time periods, and this transparency allows customers to identify areas of higher emissions and implement targeted optimizations to reduce their footprint. We continued to advocate for updated carbon accounting"
ghg_financial_industry_standard,Global GHG Accounting and Reporting Standard for the Financial Industry,金融行业全球温室气体核算与报告标准,41,0,224,has_accepted_edges,Not a zero-accepted standard. Accepted edges remain governed by the fine-series acceptance ledger.,不是 0 accepted 标准；已采信边继续受细分标准采信台账约束。,accepted_count_positive,accepted 数量大于 0,r008_unitedhealthgroup | r021_jpmorganchase | r038_bankofamerica | r062_bancosantander | r067_hsbcholdings | r082_allianz | r111_morganstanley | r113_brookfield,33 | 35 | 82 | 25 | 29 | 50 | 73 | 120,UNITEDHEALTH GROUP—2024-sustainability-report.pdf | JPMORGAN CHASE-Climate-Report-2024.pdf | BankOfAmerica_Sustainability_2024_Report.pdf | BANCO SANTANDER-estado-sostenibilidad-2024-es.pdf | HSBC HOLDINGS-250219-annual-report-and-accounts-2024.pdf,"lity-report.pdf Scope 3 范围 3 Expanded from source page text for direct-use Scope evidence. ons primarily from products sold by UHG’s retail pharmacy operations. 9 In line with the Partnership for Carbon Accounting Financials (PCAF) standard, estimated emissions are composed of asset classes such as corporate bonds, loans, equities, and sovereign debt and as… | ns measurement to inform our methodology. While we believe that our approach correlates with real-world emissions performance, we also disclose a version of this metric aligned to PCAF within the appendix section of this report (refer to pages 32–33). For more information on our approach, refer to the “Absolute Financed Emissions” section in our Carbon Comp…"
ghg_project_protocol,GHG Protocol Project Protocol,GHG Protocol 项目减排核算协议,3,3,15,has_accepted_edges,Not a zero-accepted standard. Accepted edges remain governed by the fine-series acceptance ledger.,不是 0 accepted 标准；已采信边继续受细分标准采信台账约束。,accepted_count_positive,accepted 数量大于 0,r061_valeroenergy | r096_nestlé | r195_americanexpress | r198_wilmarinternational | r234_panasonicholdings | r468_netflix公司,14 | 21 | 41 | 66 | 24 | 17 | 5 | 44,VALERO ENERGY-2024 ESG Report 0823 FINAL pages.pdf | NESTLÉ-non-financial-statement-2024.pdf | AMERICAN EXPRESS_AXP_2023_2024_ESG_Report.pdf | 24_0151_wilmar_2024_sr-v7-27-may.pdf | 2025_Sustainability Date Book PANASONIC HOLDINGS.pdf,"f the consolidated entities that we operate. Scope 4: this calculation of avoided GHG emissions is used only in the 2050 Long-Term Ambition. It is informed by the GHG Protocol for Project Accounting and does not follow the LCA methodology. The calculation is based upon Valero's total production of, blending of and credits from ethanol, and sales of, blendin… | nd Standards: – By following internationally recognized standards such as the Intergovernmental Panel on Climate Change (IPCC) and the World Resources Institute’s GHG Protocol for Project Accounting, accuracy, reproducibility and alignment with global reporting requirements is ensured. – For carbon credits, investments adhere to standards such as the VCS or…"
ghg_grid_connected_electricity_projects,GHG Protocol Guidelines for Grid-Connected Electricity Projects,GHG Protocol 并网电力项目指南,0,0,0,zero_accepted_no_current_evidence,No page-level source text in the current workbench names this controlled GHGP standard. Keep zero accepted; do not create company-standard edges without new PDF evidence.,当前 workbench 中没有页级原文命名该 GHGP 受控标准。保持 0 accepted；没有新增 PDF 证据前不得生成企业-标准边。,no_current_workbench_rows,当前工作台没有命中行,,,,
