world500_rank,company_id,company_name_en,company_name_zh,pcaf_asset_class_en,pcaf_asset_class_zh,current_cat15_value_mtco2e,current_cat15_evidence_page,current_cat15_source_file,required_action_zh,reviewer_status,reported_value_mtco2e,evidence_page,source_file,reviewer_note_zh
8,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,business_loans_unlisted_equity,商业贷款和非上市股权,,,,确认报告是否按 PCAF 披露该资产类别的投融资排放；不得用总 financed emissions 直接替代资产类别拆分。,,,,,
8,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,commercial_real_estate,商业房地产,,,,确认报告是否按 PCAF 披露该资产类别的投融资排放；不得用总 financed emissions 直接替代资产类别拆分。,,,,,
8,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,listed_equity_corporate_bonds,上市股权和公司债,,,,确认报告是否按 PCAF 披露该资产类别的投融资排放；不得用总 financed emissions 直接替代资产类别拆分。,,,,,
8,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,mortgages,住房按揭,,,,确认报告是否按 PCAF 披露该资产类别的投融资排放；不得用总 financed emissions 直接替代资产类别拆分。,,,,,
8,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,motor_vehicle_loans,机动车贷款,,,,确认报告是否按 PCAF 披露该资产类别的投融资排放；不得用总 financed emissions 直接替代资产类别拆分。,,,,,
8,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,project_finance,项目融资,,,,确认报告是否按 PCAF 披露该资产类别的投融资排放；不得用总 financed emissions 直接替代资产类别拆分。,,,,,
9,r009_berkshirehathaway,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,business_loans_unlisted_equity,商业贷款和非上市股权,,,,确认报告是否按 PCAF 披露该资产类别的投融资排放；不得用总 financed emissions 直接替代资产类别拆分。,,,,,
9,r009_berkshirehathaway,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,commercial_real_estate,商业房地产,,,,确认报告是否按 PCAF 披露该资产类别的投融资排放；不得用总 financed emissions 直接替代资产类别拆分。,,,,,
9,r009_berkshirehathaway,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,listed_equity_corporate_bonds,上市股权和公司债,,,,确认报告是否按 PCAF 披露该资产类别的投融资排放；不得用总 financed emissions 直接替代资产类别拆分。,,,,,
9,r009_berkshirehathaway,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,mortgages,住房按揭,,,,确认报告是否按 PCAF 披露该资产类别的投融资排放；不得用总 financed emissions 直接替代资产类别拆分。,,,,,
