retrieval_priority_rank,world500_rank,company_id,company_name_en,company_name_zh,gap_class,recommended_action_en,recommended_action_zh,acceptance_criteria_zh,forbidden_match_patterns_zh,confirmed_source_file,confirmed_source_path,confirmed_report_year,reviewer_decision,reviewer_note
356,3,r003_stategrid,STATE GRID,国家电网有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
357,9,r009_berkshirehathaway,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
358,40,r040_elevancehealth公司,Elevance Health公司,Elevance Health公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
359,43,r043_chinarailwayconstruction,CHINA RAILWAY CONSTRUCTION,中国铁道建筑集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
360,51,r051_kroger,KROGER,克罗格,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
361,64,r064_bnpparibas,BNP PARIBAS,法国巴黎银行,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
362,75,r075_shandongenergygroup,SHANDONG ENERGY GROUP,山东能源集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
363,76,r076_comcast,COMCAST,美国康卡斯特电信公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
364,80,r080_wellsfargo,WELLS FARGO,美国富国银行,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
365,81,r081_hengligroup,HENGLI GROUP,恒力集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
366,83,r083_chinapostgroup,CHINA POST GROUP,中国邮政集团有限公司,,"Add a parent-company ESG/sustainability/climate report PDF, then update report catalog or match override.",补母公司级 ESG/可持续发展/气候报告 PDF，再更新报告目录或匹配 override。,必须是母公司主报告；需记录源文件名、完整路径、报告年份、报告标题；不得使用子公司/关联主体报告替代。,不得用简称误配、银行/能源常见缩写误配、子公司报告、供应商报告、年度财报中无 ESG/碳披露的文件替代。,,,,,
