company_id,world500_rank,company_name_en,company_name_zh,industry_section_code,industry_section_en,industry_section_zh,series_id,series_name_en,series_name_zh,category_en,category_zh,role_en,role_zh,principle_en,principle_zh,language_policy_en,language_policy_zh,match_status,evidence_gate,matched_aliases,evidence_count,pages,source_files,sample_review_status,sample_confidence,sample_snippet_en,sample_snippet_zh,recommended_use_en,recommended_use_zh
r001_walmart,1,WALMART,沃尔玛,F,Wholesale and Retail Trade,批发和零售业,ghg_scope2_guidance,GHG Protocol Scope 2 Guidance,GHG Protocol Scope 2 指南,Guidance,指南,Purchased electricity and energy method guidance,外购电力与能源口径指南,Location-based and market-based Scope 2 reporting are separated when cited.,原文显式引用时区分位置法与市场法 Scope 2 披露。,Scope 2 market-based and location-based language is treated as GHG-specific.,Scope 2 市场法/位置法术语只在 GHG Protocol 语境下使用。,contextual_overmapped_review,no_explicit_whitelisted_series_name_in_page_text,,4,7,FY2025-Walmart-ESG-Report.pdf,seed_batch_01,medium,rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard,rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standa...,Review only: keep out of accepted standard-company conclusions until page-level evidence explicitly names the series.,仅供复核：页级证据明确命名具体系列前，不进入已采信标准-企业结论。
r001_walmart,1,WALMART,沃尔玛,F,Wholesale and Retail Trade,批发和零售业,ghg_scope3_calculation_guidance,GHG Protocol Scope 3 Calculation Guidance,GHG Protocol Scope 3 计算指南,Guidance,指南,Scope 3 inventory calculation guidance,Scope 3 清单计算指南,Companion calculation guidance for completing Scope 3 inventories.,配套计算指南，用于完成 Scope 3 清单。,Scope 3 categories are GHG-specific and only shown when the source uses that wording.,Scope 3 类别是 GHG 特有口径，仅在原文如此使用时展示。,contextual_overmapped_review,no_explicit_whitelisted_series_name_in_page_text,,1,7,FY2025-Walmart-ESG-Report.pdf,pdf_contextual_scope_inventory_mapping,pdf_page_backfill,Structured standard tag: GHG Protocol; Standard role: Accounting standard rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard FY2025-Walmart-ESG-Report.pdf INTRODUCTION O…,Structured standard tag: GHG Protocol; Standard role: Accounting standard rting Walmart Inc. calculates its GHG emissions footprint estimates in alignment with the Greenhouse Gas Protocol’s Corporate Accounting and Reporting Standard as well as the Corporate Value Chain (Scope 3) Accounting and Reporting Standard FY2025-Walmart-ESG-Report.pdf INTRODUCTION O…,Review only: keep out of accepted standard-company conclusions until page-level evidence explicitly names the series.,仅供复核：页级证据明确命名具体系列前，不进入已采信标准-企业结论。
r002_amazoncom,2,AMAZON.COM,亚马逊,F,Wholesale and Retail Trade,批发和零售业,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,GHG Protocol 企业核算与报告标准,Standard,标准,Corporate inventory accounting standard,企业组织层面清单核算标准,"Relevance, completeness, consistency, transparency, and accuracy.",相关性、完整性、一致性、透明性和准确性。,"Within GHG Protocol evidence, this may define Scope 1 and Scope 2 corporate inventory boundaries.",仅在 GHG Protocol 证据下使用 Scope 1/2 的组织层面清单口径。,contextual_scope_inventory_mapping,no_explicit_whitelisted_series_name_in_page_text,,3,16,2024-amazon-sustainability-report.pdf,seed_batch_13,medium,"mber of services, regions, and time periods, and this transparency allows customers to identify areas of higher emissions and implement targeted optimizations to reduce their footprint. We continued to advocate for updated carbon accounting","mber of services, regions, and time periods, and this transparency allows customers to identify areas of higher emissions and implement targeted optimization...",Review only: keep out of accepted standard-company conclusions until page-level evidence explicitly names the series.,仅供复核：页级证据明确命名具体系列前，不进入已采信标准-企业结论。
r002_amazoncom,2,AMAZON.COM,亚马逊,F,Wholesale and Retail Trade,批发和零售业,ghg_scope2_guidance,GHG Protocol Scope 2 Guidance,GHG Protocol Scope 2 指南,Guidance,指南,Purchased electricity and energy method guidance,外购电力与能源口径指南,Location-based and market-based Scope 2 reporting are separated when cited.,原文显式引用时区分位置法与市场法 Scope 2 披露。,Scope 2 market-based and location-based language is treated as GHG-specific.,Scope 2 市场法/位置法术语只在 GHG Protocol 语境下使用。,contextual_scope_inventory_mapping,no_explicit_whitelisted_series_name_in_page_text,,3,16,2024-amazon-sustainability-report.pdf,seed_batch_13,medium,"mber of services, regions, and time periods, and this transparency allows customers to identify areas of higher emissions and implement targeted optimizations to reduce their footprint. We continued to advocate for updated carbon accounting","mber of services, regions, and time periods, and this transparency allows customers to identify areas of higher emissions and implement targeted optimization...",Review only: keep out of accepted standard-company conclusions until page-level evidence explicitly names the series.,仅供复核：页级证据明确命名具体系列前，不进入已采信标准-企业结论。
r002_amazoncom,2,AMAZON.COM,亚马逊,F,Wholesale and Retail Trade,批发和零售业,ghg_scope3_calculation_guidance,GHG Protocol Scope 3 Calculation Guidance,GHG Protocol Scope 3 计算指南,Guidance,指南,Scope 3 inventory calculation guidance,Scope 3 清单计算指南,Companion calculation guidance for completing Scope 3 inventories.,配套计算指南，用于完成 Scope 3 清单。,Scope 3 categories are GHG-specific and only shown when the source uses that wording.,Scope 3 类别是 GHG 特有口径，仅在原文如此使用时展示。,contextual_scope_inventory_mapping,no_explicit_whitelisted_series_name_in_page_text,,3,16,2024-amazon-sustainability-report.pdf,seed_batch_13,medium,"mber of services, regions, and time periods, and this transparency allows customers to identify areas of higher emissions and implement targeted optimizations to reduce their footprint. We continued to advocate for updated carbon accounting","mber of services, regions, and time periods, and this transparency allows customers to identify areas of higher emissions and implement targeted optimization...",Review only: keep out of accepted standard-company conclusions until page-level evidence explicitly names the series.,仅供复核：页级证据明确命名具体系列前，不进入已采信标准-企业结论。
r002_amazoncom,2,AMAZON.COM,亚马逊,F,Wholesale and Retail Trade,批发和零售业,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,Standard,标准,Value-chain emissions accounting standard,价值链排放核算标准,Scope 3 categories are GHG Protocol-specific category language.,Scope 3 类别是 GHG Protocol 特有的类别口径。,Scope 3 and Scope 3 category names are only used for GHG Protocol evidence.,Scope 3 及十五类类别口径只在 GHG Protocol 证据下使用。,contextual_scope_inventory_mapping,no_explicit_whitelisted_series_name_in_page_text,,3,16,2024-amazon-sustainability-report.pdf,seed_batch_13,medium,"mber of services, regions, and time periods, and this transparency allows customers to identify areas of higher emissions and implement targeted optimizations to reduce their footprint. We continued to advocate for updated carbon accounting","mber of services, regions, and time periods, and this transparency allows customers to identify areas of higher emissions and implement targeted optimization...",Review only: keep out of accepted standard-company conclusions until page-level evidence explicitly names the series.,仅供复核：页级证据明确命名具体系列前，不进入已采信标准-企业结论。
r004_saudiaramco,4,SAUDI ARAMCO,沙特阿美公司,B,Mining,采矿业,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,GHG Protocol 企业核算与报告标准,Standard,标准,Corporate inventory accounting standard,企业组织层面清单核算标准,"Relevance, completeness, consistency, transparency, and accuracy.",相关性、完整性、一致性、透明性和准确性。,"Within GHG Protocol evidence, this may define Scope 1 and Scope 2 corporate inventory boundaries.",仅在 GHG Protocol 证据下使用 Scope 1/2 的组织层面清单口径。,contextual_scope_inventory_mapping,no_explicit_whitelisted_series_name_in_page_text,,1,2,2024-saudi-aramco-sustainability-report-full-en.pdf,pdf_contextual_scope_inventory_mapping,pdf_page_backfill,Structured standard tag: GHG Protocol; Standard role: Accounting standard Report has been prepared with reference to and/or guidance from the following: • International Petroleum Industry Environmental Conservation Association (Ipieca) sustainability reporting guidelines; • Greenhouse gas (GHG) emissions measurem 2024-saudi-aramco-sustainability-report-full…,Structured standard tag: GHG Protocol; Standard role: Accounting standard Report has been prepared with reference to and/or guidance from the following: • International Petroleum Industry Environmental Conservation Association (Ipieca) sustainability reporting guidelines; • Greenhouse gas (GHG) emissions measurem 2024-saudi-aramco-sustainability-report-full…,Review only: keep out of accepted standard-company conclusions until page-level evidence explicitly names the series.,仅供复核：页级证据明确命名具体系列前，不进入已采信标准-企业结论。
r004_saudiaramco,4,SAUDI ARAMCO,沙特阿美公司,B,Mining,采矿业,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,Standard,标准,Value-chain emissions accounting standard,价值链排放核算标准,Scope 3 categories are GHG Protocol-specific category language.,Scope 3 类别是 GHG Protocol 特有的类别口径。,Scope 3 and Scope 3 category names are only used for GHG Protocol evidence.,Scope 3 及十五类类别口径只在 GHG Protocol 证据下使用。,contextual_scope_inventory_mapping,no_explicit_whitelisted_series_name_in_page_text,,1,2,2024-saudi-aramco-sustainability-report-full-en.pdf,pdf_contextual_scope_inventory_mapping,pdf_page_backfill,Structured standard tag: GHG Protocol; Standard role: Accounting standard Report has been prepared with reference to and/or guidance from the following: • International Petroleum Industry Environmental Conservation Association (Ipieca) sustainability reporting guidelines; • Greenhouse gas (GHG) emissions measurem 2024-saudi-aramco-sustainability-report-full…,Structured standard tag: GHG Protocol; Standard role: Accounting standard Report has been prepared with reference to and/or guidance from the following: • International Petroleum Industry Environmental Conservation Association (Ipieca) sustainability reporting guidelines; • Greenhouse gas (GHG) emissions measurem 2024-saudi-aramco-sustainability-report-full…,Review only: keep out of accepted standard-company conclusions until page-level evidence explicitly names the series.,仅供复核：页级证据明确命名具体系列前，不进入已采信标准-企业结论。
r005_sinopecgroup,5,SINOPEC GROUP,中国石油化工集团有限公司,C,Manufacturing,制造业,ghg_scope3_standard,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,Standard,标准,Value-chain emissions accounting standard,价值链排放核算标准,Scope 3 categories are GHG Protocol-specific category language.,Scope 3 类别是 GHG Protocol 特有的类别口径。,Scope 3 and Scope 3 category names are only used for GHG Protocol evidence.,Scope 3 及十五类类别口径只在 GHG Protocol 证据下使用。,contextual_scope_inventory_mapping,no_explicit_whitelisted_series_name_in_page_text,,1,6,Sinopec_Group_Annual_Report_2024_en.pdf,pdf_contextual_scope_inventory_mapping,pdf_page_backfill,"Structured standard tag: GHG Protocol; Standard role: Accounting standard nan Sinopec_Group_Annual_Report_2024_en.pdf 国内生产经营 CHINA PETROCHEMICAL CORPORATION ANNUAL REPORT 2024 04 05 China Petrochemical Corporation (the Company) was established in July 1998 on the basis of the former China Pet- rochemical Corporation, a move by the central government to stra…","Structured standard tag: GHG Protocol; Standard role: Accounting standard nan Sinopec_Group_Annual_Report_2024_en.pdf 国内生产经营 CHINA PETROCHEMICAL CORPORATION ANNUAL REPORT 2024 04 05 China Petrochemical Corporation (the Company) was established in July 1998 on the basis of the former China Pet- rochemical Corporation, a move by the central government to stra…",Review only: keep out of accepted standard-company conclusions until page-level evidence explicitly names the series.,仅供复核：页级证据明确命名具体系列前，不进入已采信标准-企业结论。
r007_apple,7,APPLE,苹果公司,C,Manufacturing,制造业,ghg_corporate_standard,GHG Protocol Corporate Accounting and Reporting Standard,GHG Protocol 企业核算与报告标准,Standard,标准,Corporate inventory accounting standard,企业组织层面清单核算标准,"Relevance, completeness, consistency, transparency, and accuracy.",相关性、完整性、一致性、透明性和准确性。,"Within GHG Protocol evidence, this may define Scope 1 and Scope 2 corporate inventory boundaries.",仅在 GHG Protocol 证据下使用 Scope 1/2 的组织层面清单口径。,contextual_scope_inventory_mapping,no_explicit_whitelisted_series_name_in_page_text,,3,100,Apple_Environmental_Progress_Report_2025.pdf,seed_batch_01,medium,"ee data center in Iowa, bringing our total Apple-owned data center count to eight. We worked with local partners, including the City of Waukee and MidAmerican Energy, to source and provide wind energy for the site. 4 Emissions avoided are c","ee data center in Iowa, bringing our total Apple-owned data center count to eight. We worked with local partners, including the City of Waukee and MidAmerica...",Review only: keep out of accepted standard-company conclusions until page-level evidence explicitly names the series.,仅供复核：页级证据明确命名具体系列前，不进入已采信标准-企业结论。
