standard_system,standard_id,standard_name_zh,standard_name_en,company_id,company_name_zh,company_name_en,world500_rank,industry_section_code,industry_section_name_zh,industry_section_name_en,current_company_workbench_code,current_company_workbench_name_zh,industry_consistency_status,decision_bucket,evidence_status,evidence_page,source_file,snippet,enters_sankey,review_note
ISO,iso_14067,ISO 14067,ISO 14067,r004_saudiaramco,沙特阿美公司,SAUDI ARAMCO,4,B,采矿业,Mining,B,采矿业,consistent_with_company_workbench,review,review,23,2024-saudi-aramco-sustainability-report-full-en.pdf,"North America to Asia. The next entity in the value chain of this pilot, Motiva’s Port Arthur Manufacturing Complex, made progress in their measurement of th...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14040_14044,ISO 14040/14044,ISO 14040/14044,r011_volkswagen,大众公司,VOLKSWAGEN,11,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,61,2023_Volkswagen_Group_Sustainability_Report.pdf,"cycling emissions, have been verified externally and inde­ pendently in accordance with the ISO 14040 and ISO 14044 standards. Scope 3 also includes emission...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r013_shell,壳牌公司,SHELL,13,B,采矿业,Mining,B,采矿业,consistent_with_company_workbench,review,review,103,shell-annual-report-2024.pdf,ry 11 remained unchanged at 878 million tonnes CO2e. Revisions did not impact Category 11 emissions from the use of oil products. Biogenic emissions CO2 emis...,false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14040_14044,ISO 14040/14044,ISO 14040/14044,r017_alphabet公司,Alphabet,Alphabet,17,I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",I,信息传输、软件和信息技术服务业,consistent_with_company_workbench,review,review,99,google-2025-environmental-report.pdf,"d offices, and additional capital goods purchased for Alphabet’s operations. We use a combination of the average-data, and spend-based methods, as defined by...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14067,ISO 14067,ISO 14067,r017_alphabet公司,Alphabet,Alphabet,17,I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",I,信息传输、软件和信息技术服务业,consistent_with_company_workbench,review,review,99,google-2025-environmental-report.pdf,"d offices, and additional capital goods purchased for Alphabet’s operations. We use a combination of the average-data, and spend-based methods, as defined by...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r022_industrialandcommercialbankofchina,中国工商银行股份有限公司,INDUSTRIAL & COMMERCIAL BANK OF CHINA,22,J,金融业,Finance,J,金融业,consistent_with_company_workbench,review,review,73,ICBC_2024_Sustainability_Report.pdf,"e branches, tier-two branches, sub-branches, outlets, directly managed institutions, and domestic subsidiaries (including Bank of Jinzhou). 2. The Bank’s car...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r028_stellantis集团,Stellantis,Stellantis,28,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,6,Stellantis-2024-Climate-Policy-Report.pdf,"to our automotive business and strategic plan, decarbonisation and alignment with global climate agreements. In future reports, we will endeavour to widen an...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r031_samsungelectronics,三星电子,SAMSUNG ELECTRONICS,31,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,62,SAMSUNG ELECTRONICS_Sustainability_report_2024_en.pdf,"nnes CO₂e 489 530 540 HFCs 1,000 tonnes CO₂e 902 679 314 PFCs 1,000 tonnes CO₂e 4,787 3,333 1,533 SF6 1,000 tonnes CO₂e 214 173 124 1) GHG emissions from bu...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r032_honhaiprecisionindustry,鸿海精密工业股份有限公司,HON HAI PRECISION INDUSTRY,32,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,119,鸿海精密工业股份有限公司2024 - 中文完整版.pdf,支挝。 at2: 以深圳能革刻区作为试点，半入无人机空气品质监控系统，透过整合无人机、微型气体感测器、雪端物联网与AI大数据分析技术，建构出3D全方位的动态空气品质监控架构，协助厂区即时辨识民常排放、漳源污染源薄迅速与现场稽查联动， 避免因延误应对而产生环保国除。相较传统方式晒著提升稽查精准度与即时反应能力，大幅...,false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r036_fordmotor,福特汽车公司,FORD MOTOR,36,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,67,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,"nd-of-Life | Air, Water, and Soil Pollution | Water Resources | Biodiversity and Ecosystems Climate Change — Achieving Carbon Neutrality — continued Ford Int...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r047_jdcom,京东集团股份有限公司,JD.COM,47,F,批发和零售业,Wholesale and Retail Trade,F,批发和零售业,consistent_with_company_workbench,review,review,31,2024_京东集团股份有限公司ESG报告.pdf,握供应链与物流市场的发展机遇。   京东自有的物流体系使供应链与物流环节减排能更好地集中管理，更有机会在产业链减排上 取得优势。 中期、长期 通过数智化为企业 提供节能降碳服务   节能环保政策的持续出台及市场对绿色产品及服务的偏好转向使更多的企业产生节能降碳服 务的需求。若京东集团能有效回应市场需求，...,false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r049_electricitédefrance,法国电力公司,ELECTRICITÉ DE FRANCE,49,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",I,电力、热力、燃气及水生产和供应业,corrected_by_gbt4754_code_name_rule,review,review,207,edf-urd-annual-financial-report-2024-en-accessible.pdf,"spread over their accounting lifespan. This makes it possible to smooth out the indirect emissions over the lifespan of the equipment, while retaining the in...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14040_14044,ISO 14040/14044,ISO 14040/14044,r054_sinochemholdings,中国中化控股有限责任公司,SINOCHEM HOLDINGS,54,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,29,2024中国中化控股有限责任公司ESG报告.pdf,"including mixed methylcyclosiloxane, formic acid, polycarbonate, and electrode paste, were subject to carbon footprint accounting, and some products obtained...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14067,ISO 14067,ISO 14067,r054_sinochemholdings,中国中化控股有限责任公司,SINOCHEM HOLDINGS,54,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,29,2024中国中化控股有限责任公司ESG报告.pdf,"including mixed methylcyclosiloxane, formic acid, polycarbonate, and electrode paste, were subject to carbon footprint accounting, and some products obtained...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r090_target,塔吉特公司,TARGET,90,L,租赁和商务服务业,Leasing and Business Services,L,租赁和商务服务业,consistent_with_company_workbench,review,review,7,TARGET-2024-Sustainability-and-Governance-Report-Appendix.pdf,ivalent (mtCO 2 e) or Giga Joules (GJ). The reductions in GHG emissions occurred in direct (scope 1) and indirect (scope 2) emissions. Gases included in the ...,false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r098_eni,埃尼石油公司,ENI,98,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",D,电力、热力、燃气及水生产和供应业,consistent_with_company_workbench,review,review,239,ENI-Annual-Report-2024.pdf,re lower than the greenhouse gas emissions in the life cycle of equivalent primary form plastics manufactured from fossil fuels. Greenhouse gas emissions ove...,false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14067,ISO 14067,ISO 14067,r098_eni,埃尼石油公司,ENI,98,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",D,电力、热力、燃气及水生产和供应业,consistent_with_company_workbench,review,review,239,ENI-Annual-Report-2024.pdf,re lower than the greenhouse gas emissions in the life cycle of equivalent primary form plastics manufactured from fossil fuels. Greenhouse gas emissions ove...,false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r103_huaweiinvestmentandholding,华为投资控股有限公司,HUAWEI INVESTMENT & HOLDING,103,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,75,Huawei_2024_Annual_Report.pdf,"defect management, lean manufacturing, and intelligent manufacturing. Together, we aspire to create world-class quality brands. – ISO 9001 – TL 9000 – IATF 1...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14067,ISO 14067,ISO 14067,r105_boschgroup,博世集团,BOSCH GROUP,105,C,制造业,Manufacturing,C,制造业,consistent_with_company_workbench,review,review,42,bosch-sustainability-report-2024.pdf,"venue. It is therefore 13 Unless otherwise stated, carbon footprint takes into account all greenhouse gas emissions ranging from raw materials extraction to ...",false,page_traceable_standard_source_row_not_ghg_fine_series_gate
ISO,iso_14064,ISO 14064,ISO 14064,r116_indianoil,印度石油公司,INDIAN OIL,116,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",D,电力、热力、燃气及水生产和供应业,consistent_with_company_workbench,review,review,56,INDIAN OIL-IOCL-Sustainability-Report-2023-24.pdf,ntal regulations. Our commitment to environmental leadership includes biodiversity conservation and ecosystem restoration. IndianOil integrates sustainabilit...,false,page_traceable_standard_source_row_not_ghg_fine_series_gate
