queue_id,company_id,report_id,inventory_year,scope_en,gas,disclosed_gwp_version_en,candidate_gwp_version_en,time_horizon_years,standard_basis_en,fossil_or_biogenic_ch4_basis,applies_to_factor_id,applies_to_emission_record_id,evidence_page,source_file,extraction_snippet,review_decision,reviewer_note,confidence_level
gwp_00001,r001_walmart,,,Scope 1,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r001_walmart_Scope 1__1,106,FY2025-Walmart-ESG-Report.pdf,MMT CO2e; CY2024 values in FY2025 ESG report.,,,
gwp_00002,r001_walmart,,,Scope 2,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r001_walmart_Scope 2__2,106,FY2025-Walmart-ESG-Report.pdf,MMT CO2e; market-based.,,,
gwp_00003,r001_walmart,,,Scope 3,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r001_walmart_Scope 3__3,106,FY2025-Walmart-ESG-Report.pdf,MMT CO2e; estimated Scope 3 footprint.,,,
gwp_00004,r002_amazoncom,,,Scope 1,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r002_amazoncom_Scope 1__4,50,2024-amazon-sustainability-report.pdf,MMT CO2e; direct operations.,,,
gwp_00005,r002_amazoncom,,,Scope 2,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r002_amazoncom_Scope 2__5,50,2024-amazon-sustainability-report.pdf,MMT CO2e; market-based.,,,
gwp_00006,r002_amazoncom,,,Scope 3,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r002_amazoncom_Scope 3__6,50,2024-amazon-sustainability-report.pdf,MMT CO2e; market-based indirect sources.,,,
gwp_00007,r007_apple,,,Scope 1,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r007_apple_Scope 1__7,104,Apple_Environmental_Progress_Report_2025.pdf,"Auto-verified from page 104; value 55,200 tCO2e.",,,
gwp_00008,r007_apple,,,Scope 1,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r007_apple_Scope 1__8,99,Apple_Environmental_Progress_Report_2025.pdf,Mt CO2e; total direct emissions in corporate facilities table.,,,
gwp_00009,r007_apple,,,Scope 2,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r007_apple_Scope 2__9,104,Apple_Environmental_Progress_Report_2025.pdf,"market-based Auto-verified from page 104; value 1,224,500 tCO2e.",,,
gwp_00010,r007_apple,,,Scope 2,,,IPCC AR6 / 100-year default unless report states AR4/AR5/AR6,100,,,,r007_apple_Scope 2__10,99,Apple_Environmental_Progress_Report_2025.pdf,"Mt CO2e; market-based purchased steam, heating, and cooling. Purchased electricity is reported as zero.",,,
