batch_id,validation_status,technology_id,company_id,company_name_en,world500_rank,project_name_en,measure_name_en,timeline_years,cost_or_investment_en,abatement_effect_en,evidence_page,source_file,snippet_en,decision_reason_en
TECH-COST-P0-0001,accepted_strict_cost_or_investment_evidence,battery_storage,r036_fordmotor,,,BlueOval City and BlueOval SK Battery Park,Planned investment in BlueOval City and BlueOval SK Battery Park,2021 | 2024,$11.4B planned investment announced in 2021.,,7,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,"2021 Announced $11.4B planned investment in BlueOval City and BlueOval SK Battery Park. Launched Ford Pro. Issued $2.5B inaugural Green Bond, the largest non-financial corporate green bond to date.",Accepted as technology-path cost/investment evidence with page-level source binding.
TECH-COST-P0-0002,accepted_strict_cost_or_investment_evidence,low_carbon_fuels,r208_sumitomomitsuifinancialgroup,,,Green loan to Twelve SAF production project,"Providing a USD 20 million green loan to Twelve, a company that converts CO2 into chemical products, supporting a SAF production project",2025,USD 20 million green loan.,Report snippet states SAF has a 90% reduction in CO2 emissions; boundary and baseline require project-level follow-up.,27,SUMITOMO MITSUI FINANCIAL GROUP sustainability_report_e_2025.pdf,"The Transition Finance Playbook case study states that SMFG is providing a green loan of USD 20 million to Twelve, a company with technology that converts CO2 into chemical products, supporting a SAF production project. The same snippet states SAF has a 90% reduction in CO2 emissions.",Accepted as technology-path cost/investment evidence with page-level source binding.
TECH-COST-P0-0003,accepted_strict_cost_or_investment_evidence,energy_efficiency,r261_intel,,,Intel Green Bond project allocation,"Allocating green bond proceeds to HVAC upgrades, heat recovery, greenhouse gas abatement systems and water reclaim facility upgrades",2022 | 2024,"Cumulative USD 639 million allocation, about 51% of a USD 1.25 billion green bond issued in 2022.","Project areas include energy efficiency, renewable electricity and greenhouse gas abatement systems; quantified CO2e abatement is not disclosed in this snippet.",6,INTEL CSR-2024-25-Full-Report.pdf,"Intel states that in its second Annual Green Bond Report, published in 2024, it outlined the allocation of a cumulative USD 639 million, approximately 51% of a USD 1.25 billion green bond issued in 2022. Eligible project areas include pollution prevention and control, water stewardship, energy efficiency, renewable electricity, circular economy and waste management, and green buildings. Recent projects included HVAC upgrades and heat recovery projects, purchases of greenhouse gas abatement systems, and upgrades of water reclaim facilities in Arizona and Oregon.",Accepted as technology-path cost/investment evidence with page-level source binding.
TECH-COST-P0-0004,accepted_strict_cost_or_investment_evidence,battery_storage,r401_suncorenergy,,,Lower-cost vanadium for energy storage initiative,Using vanadium produced at coke-fired boilers as electrolyte input for flow batteries to support low-cost energy storage,2023,Emissions Reduction Alberta invested USD 7 million through the Circular Economy Challenge to support the initiative.,Report states the initiative should support integration of renewable electricity generation and contribute to low-cost storage needed for greater adoption of low-carbon electricity.,17,2023_SUNCOR ENERGY_sustainability_report.pdf,"Suncor reports that vanadium produced at coke-fired boilers produces the electrolyte used in flow batteries. Increasing the use of lower-cost vanadium for the energy storage industry is anticipated to support increased integration of renewable electricity generation into the energy system. Emissions Reduction Alberta invested USD 7 million through the Circular Economy Challenge to support the initiative, which is expected to contribute to low-cost energy storage solutions required for greater adoption of low-carbon electricity generation.",Accepted as technology-path cost/investment evidence with page-level source binding.
TECH-COST-P0-0005,accepted_strict_cost_or_investment_evidence,renewable_power,r101_eon,,,"Energy Retail solar, home energy management, and eMobility investment","Offering solar, home energy management, and eMobility solutions to decarbonize energy supply for customers, cities, and municipalities",2024,"Report states that a large proportion of 2024 investments, totaling EUR 0.5 billion, went to the Energy Retail business division.","Report states the business division helps decarbonize energy supply for business customers, cities, and municipalities; quantified CO2e abatement is not disclosed in this snippet.",29,E.ON-GB24-gesamt-EN_final.pdf,"E.ON reports that the Energy Retail business division helps decarbonize the energy supply of business customers, cities, and municipalities, with offerings including solar, home energy management, and eMobility. The report states that digitalization is founded on technological standards and a cloud strategy, and that a large proportion of investments in 2024, which totaled EUR 0.5 billion, went to this business division.",Accepted as technology-path cost/investment evidence with page-level source binding.
TECH-COST-P0-0006,accepted_strict_cost_or_investment_evidence,energy_efficiency,r261_intel,,,Intel Green Bond eligible green projects,"Allocating green bond proceeds to HVAC upgrades, heat recovery projects, GHG abatement systems, renewable electricity, and green buildings",2022 | 2024,"Report discloses cumulative allocation of USD 639 million, approximately 51% of a USD 1.25 billion green bond issued in 2022.","Report identifies energy efficiency, renewable electricity, green buildings, HVAC upgrades, heat recovery, and greenhouse gas abatement systems as eligible or recent projects; quantified project CO2e abatement is not disclosed in this snippet.",6,INTEL CSR-2024-25-Full-Report.pdf,"Intel reports USD 639 million for green projects in its second Annual Green Bond Report, published in 2024, representing approximately 51% of a USD 1.25 billion green bond issued in 2022. Eligible project areas include pollution prevention and control, water stewardship, energy efficiency, renewable electricity, circular economy and waste management, and green buildings. Recent projects included HVAC upgrades and heat recovery projects, purchases of greenhouse gas abatement systems, and upgrades of water reclaim facilities in Arizona and Oregon.",Accepted as technology-path cost/investment evidence with page-level source binding.
TECH-COST-P0-0007,accepted_strict_cost_or_investment_evidence,low_carbon_fuels,r208_sumitomomitsuifinancialgroup,,,Green loan to Twelve for SAF production,"Providing a green loan to Twelve, a company converting CO2 into chemical products, to support a SAF production project",2025,Report discloses a green loan of USD 20 million to Twelve.,Report states SAF has 90% CO2 emissions reduction in the case-study snippet.,27,SUMITOMO MITSUI FINANCIAL GROUP sustainability_report_e_2025.pdf,"SMFG reports project finance for CCS infrastructure in the UK and a green loan for a new technology venture in the US. The page states SMFG provided a green loan of USD 20 million to Twelve, a company with technology that converts CO2 into chemical products, supporting a SAF production project. The same case-study snippet states SAF has 90% reduction in CO2 emissions.",Accepted as technology-path cost/investment evidence with page-level source binding.
TECH-COST-P0-0008,accepted_strict_cost_or_investment_evidence,renewable_power,r246_ciscosystems,,,Cisco US$39 million decarbonization investment bundle,Investing in renewable energy projects as part of a bundled Scope 1 and 2 reduction plan,2023,"Approximately US$39 million is disclosed for the combined renewable energy, energy efficiency, and building and fleet electrification project bundle; the snippet does not allocate cost by technology.",Report snippet states the investment is intended to reduce Scope 1 and 2 emissions and support near-term target progress; quantified CO2e abatement is not disclosed in this snippet.,31,CISCO SYSTEMS purpose-report-2024.pdf,"To reduce Scope 1 and 2 emissions and make progress on our near-term target, we plan to invest approximately US$39 million in renewable energy, energy efficiency, and building and fleet electrification projects from fiscal 2023 onward.",Accepted as bundled cost/investment evidence; do not read as technology-specific allocated cost.
TECH-COST-P0-0009,accepted_strict_cost_or_investment_evidence,energy_efficiency,r246_ciscosystems,,,Cisco US$39 million decarbonization investment bundle,Investing in energy-efficiency projects as part of a bundled Scope 1 and 2 reduction plan,2023,"Approximately US$39 million is disclosed for the combined renewable energy, energy efficiency, and building and fleet electrification project bundle; the snippet does not allocate cost by technology.",Report snippet states the investment is intended to reduce Scope 1 and 2 emissions and support near-term target progress; quantified CO2e abatement is not disclosed in this snippet.,31,CISCO SYSTEMS purpose-report-2024.pdf,"To reduce Scope 1 and 2 emissions and make progress on our near-term target, we plan to invest approximately US$39 million in renewable energy, energy efficiency, and building and fleet electrification projects from fiscal 2023 onward.",Accepted as bundled cost/investment evidence; do not read as technology-specific allocated cost.
TECH-COST-P0-0010,accepted_strict_cost_or_investment_evidence,electrified_transport,r246_ciscosystems,,,Cisco US$39 million decarbonization investment bundle,Investing in building and fleet electrification projects as part of a bundled Scope 1 and 2 reduction plan,2023,"Approximately US$39 million is disclosed for the combined renewable energy, energy efficiency, and building and fleet electrification project bundle; the snippet does not allocate cost by technology.",Report snippet states the investment is intended to reduce Scope 1 and 2 emissions and support near-term target progress; quantified CO2e abatement is not disclosed in this snippet.,31,CISCO SYSTEMS purpose-report-2024.pdf,"To reduce Scope 1 and 2 emissions and make progress on our near-term target, we plan to invest approximately US$39 million in renewable energy, energy efficiency, and building and fleet electrification projects from fiscal 2023 onward.",Accepted as bundled cost/investment evidence; do not read as technology-specific allocated cost.
